time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;3.9;3.7;9.9;0.9
1;0.0;3.6;3.1;9.9;1.2
2;0.0;3.2;1.8;9.8;1.5
3;0.0;2.4;0.1;9.8;1.4
4;0.0;1.4;-1.2;9.7;1.0
5;0.0;0.0;-2.2;9.6;0.0
6;0.0;-0.8;-3.1;9.5;0.2
7;0.0;-0.7;-0.9;9.3;0.1
8;0.0;1.6;3.9;9.1;0.0
9;0.0;4.1;6.9;9.0;0.2
10;0.0;6.3;8.8;8.9;0.6
11;0.0;7.2;9.8;9.0;1.7
12;0.0;7.7;10.1;9.0;2.3
13;0.0;7.8;10.2;9.2;1.6
14;0.0;7.8;10.0;9.3;0.9
15;0.0;7.2;8.0;9.4;1.2
16;0.0;6.6;6.7;9.6;0.0
17;0.0;5.7;4.7;9.7;0.0
18;0.0;5.1;3.8;9.7;0.7
19;0.0;4.7;3.9;9.8;1.8
20;0.0;4.7;4.3;9.7;2.5
21;0.0;5.1;4.7;9.7;3.1
22;0.0;5.4;5.1;9.6;3.7
23;0.0;5.6;5.3;9.6;4.0
