A	B	C	time
1	1	1	54.02
1	2	1	60.74
1	1	2	37.56
1	2	2	46.4
1	1	3	40.54
1	2	3	50.56
1	1	4	47.08
1	2	4	47.68
2	1	1	47
2	2	1	51.3
2	1	2	59.82
2	2	2	52.2
2	1	3	68.46
2	2	3	82.78
2	1	4	75.14
2	2	4	82.38
3	1	1	35.78
3	2	1	56.06
3	1	2	20.6
3	2	2	21.38
3	1	3	45.06
3	2	3	50.24
3	1	4	44.54
3	2	4	63.42
1	1	1	49.64
1	2	1	70.66
1	1	2	43.72
1	2	2	42.04
1	1	3	41.6
1	2	3	45.44
1	1	4	44.28
1	2	4	60.22
2	1	1	58.74
2	2	1	53.96
2	1	2	45.66
2	2	2	57.82
2	1	3	59.86
2	2	3	57.16
2	1	4	90.82
2	2	4	75.38
3	1	1	30.34
3	2	1	38.3
3	1	2	22.18
3	2	2	21.5
3	1	3	43.18
3	2	3	56.74
3	1	4	69.96
3	2	4	49.66
