shelf	color	sales
1	1	70.1
1	1	72.25
1	1	78.05
1	1	61.5
1	2	65.75
1	2	69.45
1	2	75.15
1	2	64.8
2	1	94.1
2	1	104.85
2	1	109.1
2	1	59.9
2	2	88.95
2	2	100.6
2	2	98.7
2	2	62.5
3	1	92.6
3	1	100.55
3	1	111.95
3	1	61.4
3	2	97.35
3	2	120.65
3	2	118.1
3	2	70.3
1	1	68
1	1	71.9
1	1	74.85
1	1	62.1
1	2	62.35
1	2	71.05
1	2	70.7
1	2	60.85
2	1	90.2
2	1	99.55
2	1	105.8
2	1	62.5
2	2	91.1
2	2	94.05
2	2	99.9
2	2	53.85
3	1	88.8
3	1	102.15
3	1	108.25
3	1	65.2
3	2	98.7
3	2	115.45
3	2	116.35
3	2	65.05
1	1	69.5
1	1	74.4
1	1	82.6
1	1	59.15
1	2	68.6
1	2	75.45
1	2	71.25
1	2	59.9
2	1	88.05
2	1	96.8
2	1	112.6
2	1	54.75
2	2	90.15
2	2	101.35
2	2	96.75
2	2	59.4
3	1	85.5
3	1	99.1
3	1	109.45
3	1	59.7
3	2	92.6
3	2	108.65
3	2	121.9
3	2	71.4
