A	B	C	conduct
1	1	1	0.99
1	1	2	1.15
1	2	1	0.97
1	2	2	0.87
1	3	1	0.95
1	3	2	0.91
2	1	1	1
2	1	2	1.12
2	2	1	0.99
2	2	2	0.96
2	3	1	0.97
2	3	2	0.94
3	1	1	1.24
3	1	2	1.12
3	2	1	1.15
3	2	2	1.11
3	3	1	1.03
3	3	2	1.12
4	1	1	1.24
4	1	2	1.32
4	2	1	1.14
4	2	2	1.2
4	3	1	1.02
4	3	2	1.02
1	1	1	0.93
1	1	2	0.99
1	2	1	0.91
1	2	2	0.86
1	3	1	0.86
1	3	2	0.85
2	1	1	1.17
2	1	2	1.13
2	2	1	1.04
2	2	2	0.98
2	3	1	0.95
2	3	2	0.99
3	1	1	1.22
3	1	2	1.15
3	2	1	0.95
3	2	2	0.95
3	3	1	1.01
3	3	2	0.96
4	1	1	1.2
4	1	2	1.24
4	2	1	1.1
4	2	2	1.19
4	3	1	1.01
4	3	2	1
