Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.799441,    -0.002209
  1610.050,     0.369971,    -0.000628
  1610.100,    -0.061331,     0.000455
  1610.150,    -0.428104,     0.001265
  1610.200,    -0.679976,     0.001118
  1610.250,    -0.742099,     0.002163
  1610.300,    -0.630022,     0.001842
  1610.350,    -0.373932,     0.002603
  1610.400,    -0.013212,     0.000508
  1610.450,     0.359354,    -0.000722
  1610.500,     0.729814,    -0.000352
  1610.550,     1.053383,    -0.001360
  1610.600,     1.327042,    -0.001974
  1610.650,     1.510154,    -0.002076
  1610.700,     1.613936,    -0.001904
  1610.750,     1.651856,     0.000901
  1610.800,     1.643946,     0.000736
  1610.850,     1.593590,     0.001041
  1610.900,     1.530592,     0.002378
  1610.950,     1.460982,     0.001371
  1611.000,     1.385555,     0.002073
  1611.050,     1.329845,     0.001148
  1611.100,     1.285515,     0.001273
  1611.150,     1.253393,     0.000791
  1611.200,     1.242014,    -0.001877
  1611.250,     1.212056,    -0.000933
  1611.300,     1.186561,    -0.000958
  1611.350,     1.157983,    -0.002548
  1611.400,     1.122514,    -0.000328
  1611.450,     1.089113,    -0.000880
  1611.500,     1.052774,    -0.000121
  1611.550,     1.020738,     0.000616
  1611.600,     0.988774,     0.000548
  1611.650,     0.978151,     0.000896
  1611.700,     0.955171,     0.000215
  1611.750,     0.956367,     0.001541
  1611.800,     0.954636,     0.000982
  1611.850,     0.949837,     0.001510
  1611.900,     0.954762,    -0.000526
  1611.950,     0.956488,     0.000113
  1612.000,     0.951664,    -0.001445
  1612.050,     0.953096,    -0.002025
  1612.100,     0.951769,    -0.002415
  1612.150,     0.947504,    -0.002342
  1612.200,     0.944452,    -0.001684
  1612.250,     0.938193,     0.000657
  1612.300,     0.945715,    -0.000115
  1612.350,     0.942876,     0.001852
  1612.400,     0.942160,     0.001812
  1612.450,     0.927138,     0.001990
  1612.500,     0.913062,     0.002030
  1612.550,     0.876119,     0.002606
  1612.600,     0.819732,     0.001598
  1612.650,     0.734678,     0.000803
  1612.700,     0.640958,     0.000659
  1612.750,     0.525230,     0.000180
  1612.800,     0.423678,    -0.000426
  1612.850,     0.353237,    -0.001857
  1612.900,     0.331668,    -0.002137
  1612.950,     0.369455,    -0.002254
  1613.000,     0.458004,    -0.002429
  1613.050,     0.581694,    -0.000479
  1613.100,     0.703567,    -0.000064
  1613.150,     0.809211,    -0.000064
  1613.200,     0.865175,     0.001306
  1613.250,     0.874558,     0.002919
  1613.300,     0.859067,     0.003028
  1613.350,     0.802726,     0.000141
  1613.400,     0.722017,     0.001867
  1613.450,     0.629480,     0.000382
  1613.500,     0.528674,    -0.000043
  1613.550,     0.451231,     0.000714
  1613.600,     0.382979,    -0.001092
  1613.650,     0.348297,    -0.001692
  1613.700,     0.328221,    -0.001058
  1613.750,     0.328546,    -0.000798
  1613.800,     0.348871,    -0.002226
  1613.850,     0.372918,    -0.002865
  1613.900,     0.408357,    -0.000843
  1613.950,     0.443040,     0.000260
  1614.000,     0.482756,    -0.000127
