Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.686048E-3,    -3.14159,          NaN,         NaN,  2.705229E-4,    -0.00000,          NaN,         NaN
     1.0,  7.216608E-3,    -3.73303,          NaN,         NaN,  6.733577E-4,    -0.46422,          NaN,         NaN
     2.0,  1.099629E-2,    -3.92264,          NaN,         NaN,  9.668524E-4,    -0.63039,          NaN,         NaN
     3.0,  1.526255E-2,    -3.93388,          NaN,         NaN,  1.317109E-3,    -0.62853,          NaN,         NaN
     4.0,  1.960145E-2,    -3.87668,          NaN,         NaN,  1.687944E-3,    -0.55408,          NaN,         NaN
     5.0,  2.386281E-2,    -3.78828,          NaN,         NaN,  2.066607E-3,    -0.44527,          NaN,         NaN
     6.0,  2.796693E-2,    -3.68349,          NaN,         NaN,  2.447214E-3,    -0.31856,          NaN,         NaN
     7.0,  3.185946E-2,    -3.56927,          NaN,         NaN,  2.826113E-3,    -0.18195,          NaN,         NaN
     8.0,  3.549811E-2,    -3.44926,          NaN,         NaN,  3.200399E-3,    -0.03981,          NaN,         NaN
     9.0,  3.884812E-2,    -3.32562,          NaN,         NaN,  3.567355E-3,     0.10526,          NaN,         NaN
    10.0,  4.188049E-2,    -3.19968,          NaN,         NaN,  3.924240E-3,     0.25162,          NaN,         NaN
    11.0,  4.457136E-2,    -3.07236,          NaN,         NaN,  4.268220E-3,     0.39816,          NaN,         NaN
    12.0,  4.690174E-2,    -2.94433,          NaN,         NaN,  4.596363E-3,     0.54407,          NaN,         NaN
    13.0,  4.885748E-2,    -2.81611,          NaN,         NaN,  4.905685E-3,     0.68877,          NaN,         NaN
    14.0,  5.042932E-2,    -2.68811,          NaN,         NaN,  5.193209E-3,     0.83178,          NaN,         NaN
    15.0,  5.161289E-2,    -2.56072,          NaN,         NaN,  5.456043E-3,     0.97270,          NaN,         NaN
    16.0,  5.240878E-2,    -2.43429,          NaN,         NaN,  5.691476E-3,     1.11120,          NaN,         NaN
    17.0,  5.282258E-2,    -2.30918,          NaN,         NaN,  5.897067E-3,     1.24694,          NaN,         NaN
    18.0,  5.286483E-2,    -2.18574,          NaN,         NaN,  6.070753E-3,     1.37961,          NaN,         NaN
    19.0,  5.255107E-2,    -2.06435,          NaN,         NaN,  6.210950E-3,     1.50887,          NaN,         NaN
    20.0,  5.190178E-2,    -1.94545,          NaN,         NaN,  6.316659E-3,     1.63436,          NaN,         NaN
    21.0,  5.094238E-2,    -1.82950,          NaN,         NaN,  6.387579E-3,     1.75570,          NaN,         NaN
    22.0,  4.970316E-2,    -1.71702,          NaN,         NaN,  6.424210E-3,     1.87244,          NaN,         NaN
    23.0,  4.821931E-2,    -1.60860,          NaN,         NaN,  6.427967E-3,     1.98411,          NaN,         NaN
    24.0,  4.653088E-2,    -1.50494,          NaN,         NaN,  6.401290E-3,     2.09017,          NaN,         NaN
    25.0,  4.468282E-2,    -1.40676,          NaN,         NaN,  6.347741E-3,     2.19004,          NaN,         NaN
    26.0,  4.272487E-2,    -1.31490,          NaN,         NaN,  6.272097E-3,     2.28313,          NaN,         NaN
    27.0,  4.071148E-2,    -1.23021,          NaN,         NaN,  6.180411E-3,     2.36884,          NaN,         NaN
    28.0,  3.870140E-2,    -1.15355,          NaN,         NaN,  6.080011E-3,     2.44665,          NaN,         NaN
    29.0,  3.675681E-2,    -1.08567,          NaN,         NaN,  5.979413E-3,     2.51621,          NaN,         NaN
    30.0,  3.494167E-2,    -1.02705,          NaN,         NaN,  5.888080E-3,     2.57745,          NaN,         NaN
