Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,    -0.001341,     0.000481
  1610.050,    -0.000034,    -0.000290
  1610.100,    -0.000369,    -0.001353
  1610.150,     0.002140,     0.001070
  1610.200,    -0.000395,     0.000092
  1610.250,     0.008519,     0.001060
  1610.300,     0.006786,     0.000917
  1610.350,     0.007041,     0.000847
  1610.400,     0.007783,     0.002603
  1610.450,     0.005813,     0.002987
  1610.500,     0.001198,     0.003589
  1610.550,    -0.004749,     0.002873
  1610.600,    -0.011756,     0.004127
  1610.650,    -0.021709,     0.003792
  1610.700,    -0.025993,     0.002113
  1610.750,    -0.035536,     0.000802
  1610.800,    -0.046829,     0.001007
  1610.850,    -0.041769,    -0.000129
  1610.900,    -0.043221,    -0.000731
  1610.950,    -0.045669,    -0.001027
  1611.000,    -0.043822,    -0.000366
  1611.050,    -0.043696,    -0.000876
  1611.100,    -0.051797,     0.000909
  1611.150,    -0.050205,     0.002303
  1611.200,    -0.050399,     0.001417
  1611.250,    -0.052952,     0.004063
  1611.300,    -0.068054,     0.002458
  1611.350,    -0.069110,     0.004881
  1611.400,    -0.073977,     0.001901
  1611.450,    -0.076943,     0.002944
  1611.500,    -0.083079,     0.003129
  1611.550,    -0.089716,     0.000489
  1611.600,    -0.094626,     0.002301
  1611.650,    -0.085345,    -0.001138
  1611.700,    -0.095702,     0.000901
  1611.750,    -0.094338,    -0.000369
  1611.800,    -0.098092,    -0.000077
  1611.850,    -0.094458,    -0.001588
  1611.900,    -0.099232,    -0.002074
  1611.950,    -0.098837,     0.003109
  1612.000,    -0.097882,     0.001487
  1612.050,    -0.102736,     0.001014
  1612.100,    -0.103998,     0.003841
  1612.150,    -0.104662,     0.001595
  1612.200,    -0.104449,     0.002286
  1612.250,    -0.104638,     0.003451
  1612.300,    -0.110230,     0.003654
  1612.350,    -0.110097,     0.001317
  1612.400,    -0.110551,     0.002546
  1612.450,    -0.113205,     0.002391
  1612.500,    -0.103609,     0.001175
  1612.550,    -0.106997,    -0.001262
  1612.600,    -0.109384,     0.000742
  1612.650,    -0.101368,     0.001608
  1612.700,    -0.099207,    -0.001809
  1612.750,    -0.095361,    -0.000603
  1612.800,    -0.093226,    -0.000331
  1612.850,    -0.084183,    -0.001415
  1612.900,    -0.076434,    -0.000249
  1612.950,    -0.064984,    -0.001842
  1613.000,    -0.051623,     0.001731
  1613.050,    -0.041787,     0.002559
  1613.100,    -0.028277,     0.001885
  1613.150,    -0.009413,     0.003957
  1613.200,    -0.005699,     0.004196
  1613.250,     0.016703,     0.002095
  1613.300,     0.035074,     0.002965
  1613.350,     0.058884,     0.004476
  1613.400,     0.086345,     0.003645
  1613.450,     0.111687,     0.002816
  1613.500,     0.152015,     0.001405
  1613.550,     0.184102,     0.001083
  1613.600,     0.211584,     0.001270
  1613.650,     0.231860,     0.000262
  1613.700,     0.234472,    -0.000463
  1613.750,     0.207651,     0.000798
  1613.800,     0.133583,    -0.000519
  1613.850,     0.010541,     0.001009
  1613.900,    -0.187936,    -0.002133
  1613.950,    -0.432832,     0.001330
  1614.000,    -0.724750,     0.001043
  1614.050,    -1.016766,     0.001425
  1614.100,    -1.251785,     0.003214
  1614.150,    -1.397816,     0.001879
  1614.200,    -1.407943,     0.003030
  1614.250,    -1.298335,     0.003185
  1614.300,    -1.103056,     0.002028
  1614.350,    -0.868879,     0.003626
  1614.400,    -0.621669,     0.003149
  1614.450,    -0.396525,     0.002839
  1614.500,    -0.196101,     0.003044
  1614.550,    -0.043030,     0.003981
  1614.600,     0.058460,     0.001845
  1614.650,     0.106472,     0.001200
  1614.700,     0.109986,     0.000247
  1614.750,     0.089101,     0.001212
  1614.800,     0.047543,    -0.001049
  1614.850,     0.001130,    -0.001048
  1614.900,    -0.052641,     0.000459
  1614.950,    -0.096140,    -0.000783
  1615.000,    -0.142344,     0.001313
  1615.050,    -0.167325,     0.000281
  1615.100,    -0.178806,     0.000332
  1615.150,    -0.187622,     0.001433
  1615.200,    -0.203972,     0.002553
  1615.250,    -0.222185,     0.002797
  1615.300,    -0.242561,     0.003525
  1615.350,    -0.262509,     0.003974
  1615.400,    -0.281077,     0.003124
  1615.450,    -0.301589,     0.002688
  1615.500,    -0.314375,     0.004850
  1615.550,    -0.319921,     0.002278
  1615.600,    -0.322406,     0.001826
  1615.650,    -0.319522,     0.002076
  1615.700,    -0.309916,     0.003845
  1615.750,    -0.296703,     0.003242
  1615.800,    -0.286226,     0.000839
  1615.850,    -0.273034,     0.000259
  1615.900,    -0.269122,    -0.000185
  1615.950,    -0.269430,    -0.001585
  1616.000,    -0.270494,    -0.001053
  1616.050,    -0.269775,    -0.000299
  1616.100,    -0.274812,    -0.000667
  1616.150,    -0.277785,     0.000077
  1616.200,    -0.288273,     0.001591
  1616.250,    -0.294028,     0.000774
  1616.300,    -0.289130,     0.000759
  1616.350,    -0.292322,     0.001201
  1616.400,    -0.297842,     0.002174
  1616.450,    -0.310704,     0.003985
  1616.500,    -0.338053,     0.004033
  1616.550,    -0.368568,     0.004619
  1616.600,    -0.413004,     0.005159
  1616.650,    -0.463727,     0.002455
  1616.700,    -0.526836,     0.002009
  1616.750,    -0.576422,     0.002522
  1616.800,    -0.605168,     0.002162
  1616.850,    -0.616125,     0.001623
  1616.900,    -0.588932,     0.001712
  1616.950,    -0.522170,     0.002555
  1617.000,    -0.447958,     0.000170
  1617.050,    -0.385573,     0.000851
  1617.100,    -0.334253,     0.000941
  1617.150,    -0.301142,     0.000334
  1617.200,    -0.293628,    -0.000816
  1617.250,    -0.302015,     0.000315
  1617.300,    -0.331576,    -0.000562
  1617.350,    -0.362227,    -0.001576
  1617.400,    -0.403063,    -0.000741
  1617.450,    -0.441234,     0.001552
  1617.500,    -0.458563,     0.001893
  1617.550,    -0.478634,     0.002235
  1617.600,    -0.486475,     0.000947
  1617.650,    -0.484843,     0.002470
  1617.700,    -0.471650,     0.002773
  1617.750,    -0.457181,     0.002948
  1617.800,    -0.437808,     0.003249
  1617.850,    -0.419429,     0.003112
  1617.900,    -0.395204,     0.003714
  1617.950,    -0.372866,     0.003046
  1618.000,    -0.347752,     0.005044
  1618.050,    -0.317755,     0.002935
  1618.100,    -0.276123,     0.001747
  1618.150,    -0.220148,     0.002279
  1618.200,    -0.145372,     0.001397
  1618.250,    -0.073549,     0.000335
  1618.300,     0.026510,     0.001329
  1618.350,     0.127084,     0.000270
  1618.400,     0.233806,     0.001637
  1618.450,     0.324163,    -0.000354
  1618.500,     0.386078,     0.000320
  1618.550,     0.375021,     0.002238
  1618.600,     0.230915,    -0.000103
  1618.650,    -0.124778,     0.001380
  1618.700,    -0.784661,     0.001411
  1618.750,    -1.851099,     0.001919
  1618.800,    -3.343869,     0.003538
  1618.850,    -5.210728,     0.000409
  1618.900,    -7.203733,     0.000749
  1618.950,    -8.916987,     0.002614
  1619.000,    -9.871263,     0.000223
  1619.050,    -9.620573,     0.000077
