Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.009777,     0.001512
  1610.050,     0.002333,    -0.001605
  1610.100,    -0.002325,    -0.003112
  1610.150,    -0.005542,     0.001592
  1610.200,    -0.004243,     0.001614
  1610.250,    -0.005840,    -0.002458
  1610.300,    -0.011589,    -0.002469
  1610.350,    -0.007831,    -0.000557
  1610.400,    -0.009789,     0.000442
  1610.450,    -0.008695,    -0.001313
  1610.500,    -0.020643,    -0.003614
  1610.550,    -0.010646,    -0.001717
  1610.600,    -0.012569,     0.001461
  1610.650,    -0.011243,    -0.001019
  1610.700,    -0.010436,    -0.002885
  1610.750,    -0.010938,    -0.002104
  1610.800,    -0.012503,     0.000559
  1610.850,    -0.007987,    -0.000064
  1610.900,    -0.007818,    -0.002601
  1610.950,    -0.011891,    -0.002542
  1611.000,    -0.007083,    -0.000166
  1611.050,    -0.005818,     0.000627
  1611.100,    -0.011370,    -0.000961
  1611.150,    -0.024787,    -0.002906
  1611.200,    -0.027170,    -0.000231
  1611.250,    -0.036381,     0.001172
  1611.300,    -0.043178,    -0.000087
  1611.350,    -0.048953,    -0.001503
  1611.400,    -0.055885,    -0.003417
  1611.450,    -0.053571,    -0.000410
  1611.500,    -0.051999,     0.000727
  1611.550,    -0.052413,    -0.000315
  1611.600,    -0.056971,    -0.002165
  1611.650,    -0.049431,    -0.001319
  1611.700,    -0.055663,     0.000079
  1611.750,    -0.050536,     0.002384
  1611.800,    -0.055812,    -0.000598
  1611.850,    -0.054377,    -0.000530
  1611.900,    -0.063090,    -0.001542
  1611.950,    -0.066324,     0.000676
  1612.000,    -0.069933,     0.000529
  1612.050,    -0.072437,    -0.001566
  1612.100,    -0.077380,     0.000407
  1612.150,    -0.080350,    -0.001826
  1612.200,    -0.083380,    -0.001124
  1612.250,    -0.082145,    -0.001928
  1612.300,    -0.087367,    -0.000505
  1612.350,    -0.084182,    -0.001889
  1612.400,    -0.087027,    -0.000367
  1612.450,    -0.087341,    -0.001341
  1612.500,    -0.094669,    -0.000111
  1612.550,    -0.093413,    -0.000245
  1612.600,    -0.093332,     0.000132
