Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.719739E-3,    -3.14159,          NaN,         NaN,  9.139796E-4,    -0.00000,          NaN,         NaN
     1.0,  6.062634E-3,    -3.97025,          NaN,         NaN,  1.971789E-3,    -0.23264,          NaN,         NaN
     2.0,  1.052102E-2,    -4.10165,          NaN,         NaN,  2.348788E-3,    -0.37570,          NaN,         NaN
     3.0,  1.520363E-2,    -4.06781,          NaN,         NaN,  2.862878E-3,    -0.42378,          NaN,         NaN
     4.0,  1.985170E-2,    -3.98341,          NaN,         NaN,  3.445736E-3,    -0.40632,          NaN,         NaN
     5.0,  2.437361E-2,    -3.87780,          NaN,         NaN,  4.058985E-3,    -0.34810,          NaN,         NaN
     6.0,  2.871361E-2,    -3.76151,          NaN,         NaN,  4.680994E-3,    -0.26452,          NaN,         NaN
     7.0,  3.282863E-2,    -3.63928,          NaN,         NaN,  5.298488E-3,    -0.16477,          NaN,         NaN
     8.0,  3.668241E-2,    -3.51355,          NaN,         NaN,  5.902462E-3,    -0.05442,          NaN,         NaN
     9.0,  4.024358E-2,    -3.38572,          NaN,         NaN,  6.486247E-3,     0.06298,          NaN,         NaN
    10.0,  4.348520E-2,    -3.25670,          NaN,         NaN,  7.044563E-3,     0.18509,          NaN,         NaN
    11.0,  4.638461E-2,    -3.12712,          NaN,         NaN,  7.573051E-3,     0.31028,          NaN,         NaN
    12.0,  4.892350E-2,    -2.99742,          NaN,         NaN,  8.068033E-3,     0.43739,          NaN,         NaN
    13.0,  5.108803E-2,    -2.86798,          NaN,         NaN,  8.526396E-3,     0.56554,          NaN,         NaN
    14.0,  5.286892E-2,    -2.73912,          NaN,         NaN,  8.945541E-3,     0.69406,          NaN,         NaN
    15.0,  5.426156E-2,    -2.61113,          NaN,         NaN,  9.323373E-3,     0.82241,          NaN,         NaN
    16.0,  5.526611E-2,    -2.48429,          NaN,         NaN,  9.658307E-3,     0.95013,          NaN,         NaN
    17.0,  5.588749E-2,    -2.35888,          NaN,         NaN,  9.949290E-3,     1.07684,          NaN,         NaN
    18.0,  5.613547E-2,    -2.23520,          NaN,         NaN,  1.019582E-2,     1.20222,          NaN,         NaN
    19.0,  5.602457E-2,    -2.11358,          NaN,         NaN,  1.039797E-2,     1.32597,          NaN,         NaN
    20.0,  5.557408E-2,    -1.99436,          NaN,         NaN,  1.055639E-2,     1.44781,          NaN,         NaN
    21.0,  5.480802E-2,    -1.87793,          NaN,         NaN,  1.067236E-2,     1.56750,          NaN,         NaN
    22.0,  5.375501E-2,    -1.76472,          NaN,         NaN,  1.074772E-2,     1.68482,          NaN,         NaN
    23.0,  5.244825E-2,    -1.65520,          NaN,         NaN,  1.078490E-2,     1.79957,          NaN,         NaN
    24.0,  5.092540E-2,    -1.54992,          NaN,         NaN,  1.078686E-2,     1.91156,          NaN,         NaN
    25.0,  4.922846E-2,    -1.44945,          NaN,         NaN,  1.075703E-2,     2.02064,          NaN,         NaN
    26.0,  4.740360E-2,    -1.35441,          NaN,         NaN,  1.069925E-2,     2.12669,          NaN,         NaN
    27.0,  4.550089E-2,    -1.26545,          NaN,         NaN,  1.061765E-2,     2.22963,          NaN,         NaN
    28.0,  4.357379E-2,    -1.18319,          NaN,         NaN,  1.051652E-2,     2.32942,          NaN,         NaN
    29.0,  4.167831E-2,    -1.10816,          NaN,         NaN,  1.040018E-2,     2.42608,          NaN,         NaN
    30.0,  3.987169E-2,    -1.04075,          NaN,         NaN,  1.027277E-2,     2.51968,          NaN,         NaN
    31.0,  3.821025E-2,    -0.98102,          NaN,         NaN,  1.013814E-2,     2.61036,          NaN,         NaN
    32.0,  3.674644E-2,    -0.92865,          NaN,         NaN,  9.999592E-3,     2.69833,          NaN,         NaN
    33.0,  3.552496E-2,    -0.88274,          NaN,         NaN,  9.859782E-3,     2.78385,          NaN,         NaN
    34.0,  3.457849E-2,    -0.84188,          NaN,         NaN,  9.720546E-3,     2.86722,          NaN,         NaN
    35.0,  3.392384E-2,    -0.80411,          NaN,         NaN,  9.582817E-3,     2.94879,          NaN,         NaN
    36.0,  3.355953E-2,    -0.76720,          NaN,         NaN,  9.446592E-3,     3.02889,          NaN,         NaN
    37.0,  3.346584E-2,    -0.72892,          NaN,         NaN,  9.310952E-3,     3.10786,          NaN,         NaN
