Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.010546,     0.001596
  1610.050,     0.006995,     0.001401
  1610.100,    -0.000872,     0.000057
  1610.150,    -0.005887,    -0.001825
  1610.200,    -0.010782,    -0.001229
  1610.250,    -0.015978,    -0.001367
  1610.300,    -0.016084,    -0.000969
  1610.350,    -0.027040,     0.000264
  1610.400,    -0.029018,     0.001054
  1610.450,    -0.034902,     0.001027
  1610.500,    -0.049981,     0.002647
  1610.550,    -0.057134,     0.003562
  1610.600,    -0.069448,     0.004523
  1610.650,    -0.077451,     0.004191
  1610.700,    -0.081513,     0.004746
  1610.750,    -0.086119,     0.003420
  1610.800,    -0.089014,     0.002096
  1610.850,    -0.091338,     0.001343
  1610.900,    -0.083264,     0.000675
  1610.950,    -0.090592,    -0.000732
  1611.000,    -0.093391,     0.000597
  1611.050,    -0.094528,    -0.001569
  1611.100,    -0.096425,    -0.000981
  1611.150,    -0.098176,    -0.002301
  1611.200,    -0.102892,    -0.001012
  1611.250,    -0.105081,     0.000106
  1611.300,    -0.113568,    -0.000493
  1611.350,    -0.110841,     0.004424
  1611.400,    -0.123488,     0.003824
  1611.450,    -0.115369,     0.003315
  1611.500,    -0.126272,     0.005231
  1611.550,    -0.122783,     0.004048
  1611.600,    -0.127485,     0.004533
  1611.650,    -0.130887,     0.004685
  1611.700,    -0.135539,     0.002565
  1611.750,    -0.137711,     0.001090
  1611.800,    -0.134131,    -0.001424
  1611.850,    -0.138862,    -0.001013
  1611.900,    -0.137224,    -0.000809
  1611.950,    -0.142627,    -0.001114
  1612.000,    -0.140674,    -0.002095
  1612.050,    -0.147752,    -0.000052
  1612.100,    -0.148524,    -0.000903
  1612.150,    -0.146797,    -0.002083
  1612.200,    -0.152370,     0.000103
  1612.250,    -0.155269,     0.000948
  1612.300,    -0.158947,     0.001842
  1612.350,    -0.162560,     0.003365
  1612.400,    -0.163509,     0.003710
  1612.450,    -0.167102,     0.003531
  1612.500,    -0.171243,     0.004294
  1612.550,    -0.184704,     0.003110
  1612.600,    -0.185987,     0.003794
  1612.650,    -0.187664,     0.003343
  1612.700,    -0.195739,     0.003113
  1612.750,    -0.201415,     0.002441
  1612.800,    -0.199558,     0.000676
  1612.850,    -0.203101,    -0.000365
  1612.900,    -0.201580,    -0.001388
  1612.950,    -0.200015,    -0.001370
  1613.000,    -0.187948,    -0.001978
  1613.050,    -0.178656,    -0.001638
  1613.100,    -0.165735,    -0.000443
  1613.150,    -0.143505,     0.000939
  1613.200,    -0.123197,     0.001086
  1613.250,    -0.088678,     0.000658
  1613.300,    -0.055697,     0.001491
  1613.350,    -0.027937,     0.003559
  1613.400,     0.008365,     0.004680
  1613.450,     0.044577,     0.003620
  1613.500,     0.079722,     0.004100
  1613.550,     0.105540,     0.003674
  1613.600,     0.117171,     0.003531
  1613.650,     0.111580,     0.004126
  1613.700,     0.068984,     0.002511
  1613.750,    -0.018626,     0.001397
  1613.800,    -0.166769,     0.000826
  1613.850,    -0.383433,     0.001415
  1613.900,    -0.634835,    -0.001139
  1613.950,    -0.911660,    -0.001494
  1614.000,    -1.172004,    -0.001294
  1614.050,    -1.358625,    -0.001498
  1614.100,    -1.427516,    -0.000451
  1614.150,    -1.362121,    -0.000186
  1614.200,    -1.190363,     0.000491
  1614.250,    -0.947289,     0.000416
  1614.300,    -0.674123,     0.000787
  1614.350,    -0.412759,     0.000314
  1614.400,    -0.175001,     0.002098
  1614.450,     0.036693,     0.002726
  1614.500,     0.204352,     0.003113
  1614.550,     0.316817,     0.002692
  1614.600,     0.383772,     0.004201
  1614.650,     0.409345,     0.003804
  1614.700,     0.421518,     0.002261
  1614.750,     0.424752,     0.002155
  1614.800,     0.431841,     0.001068
  1614.850,     0.422452,     0.001089
  1614.900,     0.426504,     0.001119
  1614.950,     0.445671,     0.000200
  1615.000,     0.471901,     0.001144
  1615.050,     0.505743,    -0.000607
  1615.100,     0.545176,    -0.001402
  1615.150,     0.577047,    -0.000496
  1615.200,     0.613756,    -0.000762
  1615.250,     0.638419,    -0.001130
  1615.300,     0.666132,    -0.001082
  1615.350,     0.697190,     0.000416
  1615.400,     0.732610,     0.000667
  1615.450,     0.765978,     0.002320
  1615.500,     0.813442,     0.002552
  1615.550,     0.864470,     0.003301
  1615.600,     0.923787,     0.002129
  1615.650,     0.984178,     0.004530
  1615.700,     1.031101,     0.005074
  1615.750,     1.077706,     0.005385
  1615.800,     1.110265,     0.004250
  1615.850,     1.130637,     0.001944
  1615.900,     1.148549,     0.001792
  1615.950,     1.138122,     0.001325
  1616.000,     1.117096,     0.001199
  1616.050,     1.083232,     0.000427
  1616.100,     1.027594,     0.000764
  1616.150,     0.959432,    -0.001330
  1616.200,     0.863039,    -0.001193
  1616.250,     0.754584,    -0.000689
  1616.300,     0.633276,    -0.000857
  1616.350,     0.496810,    -0.000712
  1616.400,     0.359718,    -0.001047
  1616.450,     0.209452,    -0.001404
  1616.500,     0.092230,    -0.000316
  1616.550,    -0.011491,     0.001834
  1616.600,    -0.088344,     0.001089
  1616.650,    -0.114900,     0.000900
  1616.700,    -0.102291,     0.001961
  1616.750,    -0.026836,     0.002993
  1616.800,     0.096350,     0.003460
  1616.850,     0.271057,     0.003775
  1616.900,     0.480976,     0.004356
  1616.950,     0.688320,     0.002923
  1617.000,     0.887527,     0.003853
  1617.050,     1.076709,     0.001975
  1617.100,     1.241388,     0.001289
  1617.150,     1.386031,     0.001264
  1617.200,     1.515852,    -0.000492
  1617.250,     1.619551,    -0.002084
  1617.300,     1.708404,     0.000217
  1617.350,     1.764542,    -0.000509
  1617.400,     1.782610,    -0.000180
  1617.450,     1.743711,     0.000708
  1617.500,     1.640998,    -0.000897
  1617.550,     1.465543,    -0.000003
  1617.600,     1.197082,    -0.000440
  1617.650,     0.833008,    -0.000295
  1617.700,     0.372645,     0.001271
  1617.750,    -0.180382,     0.002514
  1617.800,    -0.815441,     0.001559
  1617.850,    -1.501642,     0.002538
  1617.900,    -2.215221,     0.003411
  1617.950,    -2.917774,     0.003548
  1618.000,    -3.591834,     0.004107
  1618.050,    -4.213431,     0.003816
  1618.100,    -4.762218,     0.002797
  1618.150,    -5.253030,     0.003280
  1618.200,    -5.690990,     0.002930
  1618.250,    -6.091630,     0.002584
  1618.300,    -6.472666,     0.002483
  1618.350,    -6.851311,     0.001925
  1618.400,    -7.246424,     0.001649
  1618.450,    -7.679860,     0.001135
  1618.500,    -8.194334,    -0.000203
  1618.550,    -8.831562,    -0.000206
  1618.600,    -9.668472,     0.001476
  1618.650,   -10.762060,    -0.000044
  1618.700,   -12.146126,    -0.000040
  1618.750,   -13.804639,     0.000896
  1618.800,   -15.584889,     0.001231
  1618.850,   -17.155776,     0.002163
  1618.900,   -18.084090,     0.002935
  1618.950,   -17.890481,     0.002974
  1619.000,   -16.273756,     0.004420
  1619.050,   -13.258772,     0.003780
  1619.100,    -9.255438,     0.003302
  1619.150,    -4.966098,     0.004628
  1619.200,    -1.105122,     0.005514
  1619.250,     1.880623,     0.003783
  1619.300,     3.842282,     0.003154
  1619.350,     4.861692,     0.002853
  1619.400,     5.083267,     0.001650
  1619.450,     4.623926,     0.002104
  1619.500,     3.663476,     0.001103
  1619.550,     2.493262,     0.000508
  1619.600,     1.493341,     0.000015
  1619.650,     0.917040,    -0.000212
  1619.700,     0.768679,     0.000897
  1619.750,     0.940566,    -0.000945
  1619.800,     1.335438,    -0.000549
  1619.850,     1.942166,    -0.001246
  1619.900,     2.744178,    -0.001072
  1619.950,     3.620246,    -0.000934
  1620.000,     4.401041,     0.000281
  1620.050,     5.007104,    -0.000192
  1620.100,     5.431347,     0.000202
  1620.150,     5.727459,    -0.000443
  1620.200,     5.941077,    -0.000205
  1620.250,     6.103150,     0.001143
  1620.300,     6.250831,     0.002650
  1620.350,     6.441282,     0.002963
  1620.400,     6.688077,     0.002237
  1620.450,     7.028232,     0.002948
  1620.500,     7.467922,     0.002871
  1620.550,     7.994360,     0.001684
  1620.600,     8.581588,     0.002267
  1620.650,     9.212428,     0.001433
  1620.700,     9.892164,    -0.000855
  1620.750,    10.638925,    -0.000826
  1620.800,    11.475869,    -0.000213
  1620.850,    12.439299,    -0.000233
  1620.900,    13.568601,    -0.001370
  1620.950,    14.915437,    -0.002248
  1621.000,    16.515347,    -0.001937
  1621.050,    18.403801,    -0.001592
  1621.100,    20.615580,    -0.002982
  1621.150,    23.133034,    -0.005179
  1621.200,    25.986896,    -0.004222
  1621.250,    29.184275,    -0.003147
  1621.300,    32.755030,    -0.003465
  1621.350,    36.729512,    -0.003623
  1621.400,    41.165438,    -0.004240
  1621.450,    46.099050,    -0.003792
  1621.500,    51.519444,    -0.005049
  1621.550,    57.384232,    -0.005088
  1621.600,    63.550349,    -0.004076
  1621.650,    69.749010,    -0.004674
  1621.700,    75.492843,    -0.002772
  1621.750,    79.898719,    -0.001413
  1621.800,    81.537242,    -0.001501
  1621.850,    78.178319,     0.000826
  1621.900,    66.598966,     0.006475
  1621.950,    42.585973,     0.010864
  1622.000,     1.330051,     0.016250
  1622.050,   -61.494624,     0.022293
  1622.100,  -147.711001,     0.026421
  1622.150,  -254.226725,     0.028945
  1622.200,  -370.971060,     0.027050
  1622.250,  -480.350117,     0.023413
  1622.300,  -559.344580,     0.016865
  1622.350,  -584.969654,     0.011768
  1622.400,  -543.065804,     0.013872
  1622.450,  -436.445549,     0.018095
  1622.500,  -285.241374,     0.021629
  1622.550,  -117.622673,     0.022436
  1622.600,    42.020018,     0.019736
  1622.650,   178.862371,     0.013712
  1622.700,   285.293620,     0.006740
  1622.750,   355.954246,    -0.000765
  1622.800,   386.517129,    -0.009158
  1622.850,   377.068758,    -0.011572
  1622.900,   335.957463,    -0.012788
  1622.950,   277.893110,    -0.013966
  1623.000,   216.595205,    -0.014387
  1623.050,   159.205098,    -0.013280
  1623.100,   107.638786,    -0.011452
  1623.150,    63.699690,    -0.010172
  1623.200,    31.095071,    -0.007560
  1623.250,    12.379690,    -0.007773
  1623.300,     5.491335,    -0.006345
  1623.350,     4.945774,    -0.003296
  1623.400,     5.796767,    -0.003129
  1623.450,     5.760436,    -0.003077
  1623.500,     4.258810,    -0.002514
