Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.165185E-3,    -3.14159,  6.818399E-3,    -3.14159,  3.585347E-3,    -0.00000,          NaN,         NaN
     1.0,  2.382109E-3,    -2.81691,  1.373429E-2,    -2.98700,  7.223788E-3,     0.05510,          NaN,         NaN
     2.0,  2.530305E-3,    -2.50959,  1.402566E-2,    -2.83319,  7.380161E-3,     0.11427,          NaN,         NaN
     3.0,  2.757588E-3,    -2.22966,  1.450766E-2,    -2.68085,  7.631743E-3,     0.18090,          NaN,         NaN
     4.0,  3.043502E-3,    -1.97886,  1.517504E-2,    -2.53044,  7.966983E-3,     0.25730,          NaN,         NaN
     5.0,  3.369667E-3,    -1.75401,  1.602076E-2,    -2.38219,  8.372868E-3,     0.34463,          NaN,         NaN
     6.0,  3.721518E-3,    -1.55032,  1.703619E-2,    -2.23611,  8.836681E-3,     0.44309,          NaN,         NaN
     7.0,  4.088072E-3,    -1.36323,  1.821129E-2,    -2.09207,  9.347200E-3,     0.55226,          NaN,         NaN
     8.0,  4.461106E-3,    -1.18893,  1.953476E-2,    -1.94980,  9.895337E-3,     0.67134,          NaN,         NaN
     9.0,  4.834377E-3,    -1.02447,  2.099413E-2,    -1.80900,  1.047435E-2,     0.79936,          NaN,         NaN
    10.0,  5.203018E-3,    -0.86759,  2.257591E-2,    -1.66936,  1.107979E-2,     0.93529,          NaN,         NaN
    11.0,  5.563135E-3,    -0.71657,  2.426565E-2,    -1.53059,  1.170926E-2,     1.07814,          NaN,         NaN
    12.0,  5.911519E-3,    -0.57009,  2.604807E-2,    -1.39242,  1.236213E-2,     1.22693,          NaN,         NaN
    13.0,  6.245475E-3,    -0.42714,  2.790721E-2,    -1.25462,  1.303915E-2,     1.38077,          NaN,         NaN
    14.0,  6.562693E-3,    -0.28691,  2.982657E-2,    -1.11699,  1.374207E-2,     1.53878,          NaN,         NaN
    15.0,  6.861173E-3,    -0.14878,  3.178923E-2,    -0.97936,  1.447324E-2,     1.70016,          NaN,         NaN
    16.0,  7.139176E-3,    -0.01222,  3.377806E-2,    -0.84160,  1.523520E-2,     1.86412,          NaN,         NaN
    17.0,  7.395185E-3,     0.12318,  3.577586E-2,    -0.70358,  1.603031E-2,     2.02996,          NaN,         NaN
    18.0,  7.627891E-3,     0.25779,  3.776558E-2,    -0.56519,  1.686038E-2,     2.19700,          NaN,         NaN
    19.0,  7.836177E-3,     0.39190,  3.973047E-2,    -0.42636,  1.772643E-2,     2.36463,          NaN,         NaN
    20.0,  8.019117E-3,     0.52579,  4.165423E-2,    -0.28700,  1.862842E-2,     2.53231,          NaN,         NaN
    21.0,  8.175969E-3,     0.65968,  4.352127E-2,    -0.14704,  1.956515E-2,     2.69956,          NaN,         NaN
    22.0,  8.306179E-3,     0.79379,  4.531678E-2,    -0.00640,  2.053415E-2,     2.86598,          NaN,         NaN
    23.0,  8.409383E-3,     0.92832,  4.702698E-2,     0.13498,  2.153169E-2,     3.03126,          NaN,         NaN
    24.0,  8.485415E-3,     1.06346,  4.863921E-2,     0.27717,  2.255288E-2,     3.19512,          NaN,         NaN
    25.0,  8.534306E-3,     1.19939,  5.014212E-2,     0.42023,  2.359175E-2,     3.35739,          NaN,         NaN
    26.0,  8.556296E-3,     1.33628,  5.152575E-2,     0.56423,  2.464140E-2,     3.51793,          NaN,         NaN
    27.0,  8.551835E-3,     1.47432,  5.278171E-2,     0.70924,  2.569421E-2,     3.67665,          NaN,         NaN
    28.0,  8.521591E-3,     1.61370,  5.390324E-2,     0.85533,  2.674201E-2,     3.83353,          NaN,         NaN
    29.0,  8.466456E-3,     1.75460,  5.488532E-2,     1.00257,  2.777630E-2,     3.98857,          NaN,         NaN
    30.0,  8.387551E-3,     1.89721,  5.572471E-2,     1.15105,  2.878842E-2,     4.14178,          NaN,         NaN
    31.0,  8.286229E-3,     2.04176,  5.642005E-2,     1.30083,  2.976978E-2,     4.29323,          NaN,         NaN
