Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.017210,     0.007615,    -0.006234,
  1600.050,    -0.011187,    -0.004646,     0.000072,
  1600.100,    -0.004965,     0.011497,    -0.001150,
  1600.150,     0.000625,    -0.005388,     0.002255,
  1600.200,    -0.001683,    -0.009079,     0.005057,
  1600.250,     0.002225,    -0.022884,     0.003686,
  1600.300,    -0.002089,    -0.011605,     0.004281,
  1600.350,     0.004229,     0.000561,     0.005043,
  1600.400,    -0.015246,     0.010459,     0.006575,
  1600.450,     0.011989,     0.008771,     0.007091,
  1600.500,    -0.007520,    -0.000034,     0.007309,
  1600.550,     0.000201,    -0.009125,    -0.002682,
  1600.600,    -0.004252,    -0.021215,     0.000240,
  1600.650,    -0.005458,    -0.028924,    -0.000066,
  1600.700,    -0.000499,    -0.024922,    -0.003482,
  1600.750,    -0.009769,    -0.033412,    -0.006658,
  1600.800,    -0.005535,    -0.027306,    -0.000757,
  1600.850,    -0.020115,    -0.001638,    -0.004307,
  1600.900,    -0.034323,    -0.017430,    -0.004785,
  1600.950,    -0.025308,    -0.006954,    -0.009458,
  1601.000,    -0.036191,    -0.025601,     0.004923,
  1601.050,    -0.033970,    -0.025349,    -0.012395,
  1601.100,    -0.023711,    -0.009534,    -0.002141,
  1601.150,    -0.027038,    -0.028449,    -0.002387,
  1601.200,    -0.006151,    -0.018410,    -0.004335,
  1601.250,    -0.012532,    -0.022588,     0.000687,
  1601.300,    -0.024288,    -0.037640,     0.005631,
  1601.350,     0.005644,    -0.024145,     0.001128,
  1601.400,    -0.011598,    -0.019708,    -0.001165,
  1601.450,    -0.022117,    -0.036830,    -0.002819,
  1601.500,    -0.017220,    -0.020360,    -0.001290,
  1601.550,     0.004758,    -0.021295,    -0.000312,
  1601.600,    -0.034423,    -0.019094,     0.004962,
  1601.650,     0.005240,    -0.038961,     0.002488,
  1601.700,    -0.008003,    -0.039712,    -0.000984,
  1601.750,     0.008043,    -0.046448,     0.000312,
  1601.800,     0.001687,    -0.049859,     0.002956,
  1601.850,    -0.004638,    -0.056273,     0.003871,
  1601.900,     0.005959,    -0.066449,     0.003294,
  1601.950,    -0.007311,    -0.072077,    -0.003153,
  1602.000,     0.008423,    -0.063971,    -0.005246,
  1602.050,    -0.013467,    -0.049452,     0.001179,
  1602.100,    -0.001938,    -0.059367,    -0.006610,
  1602.150,     0.001587,    -0.063293,    -0.000517,
  1602.200,    -0.004082,    -0.057947,    -0.008705,
  1602.250,    -0.024408,    -0.047525,    -0.008398,
  1602.300,    -0.010140,    -0.066134,    -0.003909,
  1602.350,    -0.008393,    -0.074133,    -0.001139,
  1602.400,    -0.003651,    -0.077379,    -0.002320,
  1602.450,    -0.006132,    -0.060169,    -0.000363,
  1602.500,     0.002913,    -0.080268,     0.003137,
  1602.550,    -0.024861,    -0.067907,     0.001551,
  1602.600,    -0.010156,    -0.099132,     0.004293,
  1602.650,     0.003977,    -0.079462,     0.001114,
  1602.700,    -0.016568,    -0.061615,    -0.000288,
  1602.750,    -0.009162,    -0.055587,     0.006292,
  1602.800,    -0.012967,    -0.049285,     0.006292,
  1602.850,    -0.015276,    -0.061351,     0.005828,
  1602.900,    -0.021636,    -0.051576,     0.010932,
  1602.950,    -0.024101,    -0.030425,     0.007344,
  1603.000,    -0.021293,    -0.045516,     0.010858,
  1603.050,    -0.021553,    -0.046597,     0.005508,
  1603.100,     0.001970,    -0.041525,    -0.004295,
  1603.150,    -0.030022,    -0.058770,     0.000051,
  1603.200,    -0.021698,    -0.067038,    -0.001772,
  1603.250,    -0.022006,    -0.060943,    -0.003681,
  1603.300,    -0.029866,    -0.046130,    -0.003486,
  1603.350,    -0.025793,    -0.044856,    -0.005094,
  1603.400,    -0.032693,    -0.048941,    -0.005611,
  1603.450,    -0.029970,    -0.057768,    -0.008322,
  1603.500,    -0.036007,    -0.061647,    -0.007152,
  1603.550,    -0.040527,    -0.072860,    -0.001138,
  1603.600,    -0.038605,    -0.050958,    -0.005265,
  1603.650,    -0.028927,    -0.058043,    -0.009412,
  1603.700,    -0.019745,    -0.046480,    -0.005843,
  1603.750,    -0.041549,    -0.039911,    -0.005364,
  1603.800,    -0.036969,    -0.055079,    -0.006007,
  1603.850,    -0.044944,    -0.055890,    -0.000285,
  1603.900,    -0.026118,    -0.060794,    -0.004518,
  1603.950,    -0.045308,    -0.056321,    -0.001683,
  1604.000,    -0.046049,    -0.053461,     0.001442,
  1604.050,    -0.029417,    -0.061511,     0.003432,
  1604.100,    -0.038787,    -0.073083,     0.003137,
  1604.150,    -0.020588,    -0.058812,     0.007283,
  1604.200,    -0.028684,    -0.056921,     0.003288,
  1604.250,    -0.029430,    -0.052816,     0.009052,
  1604.300,    -0.021402,    -0.051204,     0.008919,
  1604.350,    -0.022595,    -0.050098,     0.008051,
  1604.400,    -0.034845,    -0.051308,     0.006812,
  1604.450,    -0.041063,    -0.055452,     0.002202,
  1604.500,    -0.027777,    -0.068069,     0.000327,
  1604.550,    -0.017332,    -0.050001,     0.000007,
  1604.600,    -0.012409,    -0.060544,     0.001545,
  1604.650,    -0.017924,    -0.066102,     0.001936,
  1604.700,    -0.026368,    -0.067510,     0.001886,
  1604.750,    -0.028620,    -0.069713,    -0.001421,
  1604.800,    -0.010556,    -0.075049,    -0.003651,
  1604.850,    -0.008411,    -0.068252,    -0.007431,
