Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.007615,     0.007615,     0.005816,
  1600.050,    -0.004646,    -0.004646,     0.003438,
  1600.100,     0.011497,     0.011497,    -0.004813,
  1600.150,    -0.005388,    -0.005388,    -0.003181,
  1600.200,    -0.009079,    -0.009079,    -0.001259,
  1600.250,    -0.022884,    -0.022884,    -0.000239,
  1600.300,    -0.011605,    -0.011605,     0.002638,
  1600.350,     0.000561,     0.000561,     0.002950,
  1600.400,     0.010459,     0.010459,     0.010237,
  1600.450,     0.008771,     0.008771,     0.007150,
  1600.500,    -0.000034,    -0.000034,     0.003372,
  1600.550,    -0.009125,    -0.009125,     0.004580,
  1600.600,    -0.021215,    -0.021215,     0.002743,
  1600.650,    -0.028924,    -0.028924,    -0.009191,
  1600.700,    -0.024922,    -0.024922,    -0.004015,
  1600.750,    -0.033412,    -0.033412,    -0.009657,
  1600.800,    -0.027306,    -0.027306,    -0.000683,
  1600.850,    -0.001638,    -0.001638,    -0.009239,
  1600.900,    -0.017430,    -0.017430,     0.005743,
  1600.950,    -0.006954,    -0.006954,     0.005614,
  1601.000,    -0.025601,    -0.025601,     0.009609,
  1601.050,    -0.025349,    -0.025349,     0.003043,
  1601.100,    -0.009534,    -0.009534,     0.008678,
  1601.150,    -0.028449,    -0.028449,     0.006041,
  1601.200,    -0.018410,    -0.018410,    -0.002707,
  1601.250,    -0.022588,    -0.022588,     0.001544,
  1601.300,    -0.037640,    -0.037640,    -0.002691,
  1601.350,    -0.024145,    -0.024145,    -0.007037,
  1601.400,    -0.019708,    -0.019708,    -0.004817,
  1601.450,    -0.036830,    -0.036830,    -0.001304,
  1601.500,    -0.020360,    -0.020360,    -0.002241,
  1601.550,    -0.021295,    -0.021295,     0.007524,
  1601.600,    -0.019094,    -0.019094,     0.007697,
  1601.650,    -0.038961,    -0.038961,     0.006693,
  1601.700,    -0.039712,    -0.039712,     0.004580,
  1601.750,    -0.046448,    -0.046448,    -0.002001,
  1601.800,    -0.049859,    -0.049859,     0.003697,
  1601.850,    -0.056273,    -0.056273,    -0.002781,
  1601.900,    -0.066449,    -0.066449,     0.004009,
  1601.950,    -0.072077,    -0.072077,    -0.005914,
  1602.000,    -0.063971,    -0.063971,    -0.003600,
  1602.050,    -0.049452,    -0.049452,     0.001351,
  1602.100,    -0.059367,    -0.059367,     0.004689,
  1602.150,    -0.063293,    -0.063293,     0.000781,
  1602.200,    -0.057947,    -0.057947,     0.005414,
  1602.250,    -0.047525,    -0.047525,     0.007111,
  1602.300,    -0.066134,    -0.066134,     0.001622,
  1602.350,    -0.074133,    -0.074133,     0.006487,
  1602.400,    -0.077379,    -0.077379,     0.003433,
  1602.450,    -0.060169,    -0.060169,    -0.004446,
  1602.500,    -0.080268,    -0.080268,     0.000566,
  1602.550,    -0.067907,    -0.067907,    -0.000765,
  1602.600,    -0.099132,    -0.099132,    -0.006170,
  1602.650,    -0.079462,    -0.079462,    -0.007513,
  1602.700,    -0.061615,    -0.061615,    -0.002680,
  1602.750,    -0.055587,    -0.055587,     0.002708,
  1602.800,    -0.049285,    -0.049285,     0.003259,
  1602.850,    -0.061351,    -0.061351,     0.005503,
  1602.900,    -0.051576,    -0.051576,     0.004673,
  1602.950,    -0.030425,    -0.030425,     0.010226,
  1603.000,    -0.045516,    -0.045516,     0.000765,
  1603.050,    -0.046597,    -0.046597,     0.002099,
  1603.100,    -0.041525,    -0.041525,    -0.000196,
  1603.150,    -0.058770,    -0.058770,    -0.000461,
  1603.200,    -0.067038,    -0.067038,     0.000059,
  1603.250,    -0.060943,    -0.060943,    -0.001200,
  1603.300,    -0.046130,    -0.046130,    -0.006396,
  1603.350,    -0.044856,    -0.044856,    -0.002124,
  1603.400,    -0.048941,    -0.048941,    -0.001889,
  1603.450,    -0.057768,    -0.057768,    -0.002639,
  1603.500,    -0.061647,    -0.061647,     0.001783,
  1603.550,    -0.072860,    -0.072860,     0.006135,
  1603.600,    -0.050958,    -0.050958,     0.006796,
  1603.650,    -0.058043,    -0.058043,     0.004326,
  1603.700,    -0.046480,    -0.046480,     0.007153,
  1603.750,    -0.039911,    -0.039911,     0.006148,
  1603.800,    -0.055079,    -0.055079,     0.006652,
  1603.850,    -0.055890,    -0.055890,     0.001855,
  1603.900,    -0.060794,    -0.060794,    -0.002503,
  1603.950,    -0.056321,    -0.056321,     0.003108,
  1604.000,    -0.053461,    -0.053461,    -0.000514,
  1604.050,    -0.061511,    -0.061511,    -0.006127,
  1604.100,    -0.073083,    -0.073083,    -0.003460,
  1604.150,    -0.058812,    -0.058812,    -0.001136,
  1604.200,    -0.056921,    -0.056921,     0.002716,
  1604.250,    -0.052816,    -0.052816,    -0.000878,
  1604.300,    -0.051204,    -0.051204,     0.005580,
  1604.350,    -0.050098,    -0.050098,     0.006403,
  1604.400,    -0.051308,    -0.051308,     0.000459,
  1604.450,    -0.055452,    -0.055452,     0.003055,
  1604.500,    -0.068069,    -0.068069,     0.003569,
  1604.550,    -0.050001,    -0.050001,     0.008624,
  1604.600,    -0.060544,    -0.060544,    -0.002218,
  1604.650,    -0.066102,    -0.066102,     0.003998,
  1604.700,    -0.067510,    -0.067510,    -0.002398,
  1604.750,    -0.069713,    -0.069713,     0.004618,
  1604.800,    -0.075049,    -0.075049,     0.002680,
  1604.850,    -0.068252,    -0.068252,    -0.002173,
  1604.900,    -0.068048,    -0.068048,    -0.000885,
  1604.950,    -0.057182,    -0.057182,     0.000534,
  1605.000,    -0.074073,    -0.074073,     0.001854,
  1605.050,    -0.073767,    -0.073767,     0.004922,
  1605.100,    -0.058804,    -0.058804,     0.005877,
  1605.150,    -0.074817,    -0.074817,     0.002772,
  1605.200,    -0.054424,    -0.054424,     0.000493,
  1605.250,    -0.059604,    -0.059604,     0.000235,
  1605.300,    -0.073760,    -0.073760,     0.002375,
  1605.350,    -0.080658,    -0.080658,     0.003230,
  1605.400,    -0.064059,    -0.064059,    -0.002051,
  1605.450,    -0.066206,    -0.066206,     0.007616,
  1605.500,    -0.061892,    -0.061892,     0.007247,
  1605.550,    -0.056416,    -0.056416,     0.004225,
  1605.600,    -0.060449,    -0.060449,    -0.002564,
  1605.650,    -0.062375,    -0.062375,    -0.002148,
  1605.700,    -0.064690,    -0.064690,    -0.001608,
  1605.750,    -0.067201,    -0.067201,    -0.002134,
  1605.800,    -0.053317,    -0.053317,    -0.002219,
  1605.850,    -0.075328,    -0.075328,    -0.002872,
  1605.900,    -0.081720,    -0.081720,     0.000897,
  1605.950,    -0.084957,    -0.084957,     0.002615,
  1606.000,    -0.063255,    -0.063255,    -0.000692,
  1606.050,    -0.061329,    -0.061329,     0.007159,
  1606.100,    -0.043735,    -0.043735,     0.002187,
  1606.150,    -0.050841,    -0.050841,     0.003867,
  1606.200,    -0.062682,    -0.062682,     0.002492,
  1606.250,    -0.048538,    -0.048538,     0.005396,
  1606.300,    -0.051206,    -0.051206,     0.002581,
  1606.350,    -0.056931,    -0.056931,    -0.001999,
  1606.400,    -0.061721,    -0.061721,     0.000853,
  1606.450,    -0.077838,    -0.077838,    -0.002019,
  1606.500,    -0.075351,    -0.075351,     0.001655,
  1606.550,    -0.045355,    -0.045355,     0.001419,
  1606.600,    -0.075436,    -0.075436,     0.000490,
  1606.650,    -0.075216,    -0.075216,    -0.003264,
  1606.700,    -0.067222,    -0.067222,     0.004779,
  1606.750,    -0.063340,    -0.063340,     0.003756,
  1606.800,    -0.069187,    -0.069187,    -0.000474,
  1606.850,    -0.065506,    -0.065506,     0.001466,
  1606.900,    -0.051772,    -0.051772,     0.008686,
  1606.950,    -0.049198,    -0.049198,     0.006915,
  1607.000,    -0.044549,    -0.044549,     0.003344,
  1607.050,    -0.057717,    -0.057717,     0.006508,
  1607.100,    -0.057853,    -0.057853,     0.008923,
  1607.150,    -0.075347,    -0.075347,     0.000377,
  1607.200,    -0.075670,    -0.075670,     0.002259,
  1607.250,    -0.067853,    -0.067853,     0.004417,
  1607.300,    -0.065862,    -0.065862,    -0.001633,
  1607.350,    -0.091792,    -0.091792,    -0.003527,
  1607.400,    -0.095613,    -0.095613,    -0.000397,
  1607.450,    -0.089350,    -0.089350,    -0.000271,
  1607.500,    -0.075400,    -0.075400,    -0.000305,
  1607.550,    -0.104859,    -0.104859,    -0.002308,
  1607.600,    -0.098777,    -0.098777,     0.002049,
  1607.650,    -0.092790,    -0.092790,     0.003037,
  1607.700,    -0.102410,    -0.102410,    -0.001608,
  1607.750,    -0.103796,    -0.103796,    -0.001757,
  1607.800,    -0.101278,    -0.101278,     0.001023,
  1607.850,    -0.124529,    -0.124529,     0.002993,
  1607.900,    -0.136633,    -0.136633,     0.006433,
  1607.950,    -0.124998,    -0.124998,     0.004720,
  1608.000,    -0.137278,    -0.137278,     0.003736,
  1608.050,    -0.131250,    -0.131250,     0.003834,
  1608.100,    -0.141260,    -0.141260,     0.004213,
  1608.150,    -0.161652,    -0.161652,     0.002349,
  1608.200,    -0.162870,    -0.162870,    -0.004322,
  1608.250,    -0.156415,    -0.156415,    -0.005070,
  1608.300,    -0.147483,    -0.147483,     0.001189,
  1608.350,    -0.147606,    -0.147606,    -0.002478,
  1608.400,    -0.157783,    -0.157783,     0.006257,
  1608.450,    -0.149063,    -0.149063,    -0.000504,
  1608.500,    -0.130967,    -0.130967,     0.000256,
  1608.550,    -0.132564,    -0.132564,     0.006236,
  1608.600,    -0.131408,    -0.131408,     0.002369,
  1608.650,    -0.119437,    -0.119437,     0.006112,
  1608.700,    -0.132012,    -0.132012,     0.007719,
  1608.750,    -0.130531,    -0.130531,     0.002916,
  1608.800,    -0.127366,    -0.127366,    -0.001616,
  1608.850,    -0.114349,    -0.114349,     0.007096,
  1608.900,    -0.118084,    -0.118084,     0.009113,
  1608.950,    -0.108535,    -0.108535,    -0.006000,
