Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  6.735897E-3,    -3.14159,  6.818399E-3,    -3.14159,  4.672625E-3,    -0.00000,          NaN,         NaN
     1.0,  1.357031E-2,    -2.99465,  1.373429E-2,    -2.98700,  1.046344E-2,     0.58176,          NaN,         NaN
     2.0,  1.386489E-2,    -2.84818,  1.402566E-2,    -2.83319,  1.325513E-2,     1.01885,          NaN,         NaN
     3.0,  1.435262E-2,    -2.70256,  1.450766E-2,    -2.68085,  1.689010E-2,     1.33040,          NaN,         NaN
     4.0,  1.502873E-2,    -2.55806,  1.517504E-2,    -2.53044,  2.090574E-2,     1.56885,          NaN,         NaN
     5.0,  1.588670E-2,    -2.41481,  1.602076E-2,    -2.38219,  2.508788E-2,     1.76638,          NaN,         NaN
     6.0,  1.691835E-2,    -2.27280,  1.703619E-2,    -2.23611,  2.933039E-2,     1.93988,          NaN,         NaN
     7.0,  1.811400E-2,    -2.13193,  1.821129E-2,    -2.09207,  3.357343E-2,     2.09849,          NaN,         NaN
     8.0,  1.946253E-2,    -1.99203,  1.953476E-2,    -1.94980,  3.777864E-2,     2.24741,          NaN,         NaN
     9.0,  2.095151E-2,    -1.85292,  2.099413E-2,    -1.80900,  4.191848E-2,     2.38981,          NaN,         NaN
    10.0,  2.256736E-2,    -1.71438,  2.257591E-2,    -1.66936,  4.597139E-2,     2.52769,          NaN,         NaN
    11.0,  2.429542E-2,    -1.57625,  2.426565E-2,    -1.53059,  4.991932E-2,     2.66240,          NaN,         NaN
    12.0,  2.612012E-2,    -1.43835,  2.604807E-2,    -1.39242,  5.374653E-2,     2.79489,          NaN,         NaN
    13.0,  2.802515E-2,    -1.30053,  2.790721E-2,    -1.25462,  5.743888E-2,     2.92584,          NaN,         NaN
    14.0,  2.999357E-2,    -1.16266,  2.982657E-2,    -1.11699,  6.098350E-2,     3.05575,          NaN,         NaN
    15.0,  3.200804E-2,    -1.02465,  3.178923E-2,    -0.97936,  6.436857E-2,     3.18501,          NaN,         NaN
    16.0,  3.405096E-2,    -0.88638,  3.377806E-2,    -0.84160,  6.758328E-2,     3.31395,          NaN,         NaN
    17.0,  3.610468E-2,    -0.74779,  3.577586E-2,    -0.70358,  7.061778E-2,     3.44279,          NaN,         NaN
    18.0,  3.815164E-2,    -0.60878,  3.776558E-2,    -0.56519,  7.346324E-2,     3.57177,          NaN,         NaN
    19.0,  4.017461E-2,    -0.46931,  3.973047E-2,    -0.42636,  7.611185E-2,     3.70105,          NaN,         NaN
    20.0,  4.215683E-2,    -0.32930,  4.165423E-2,    -0.28700,  7.855695E-2,     3.83080,          NaN,         NaN
    21.0,  4.408222E-2,    -0.18869,  4.352127E-2,    -0.14704,  8.079304E-2,     3.96115,          NaN,         NaN
    22.0,  4.593553E-2,    -0.04743,  4.531678E-2,    -0.00640,  8.281594E-2,     4.09222,          NaN,         NaN
    23.0,  4.770252E-2,     0.09455,  4.702698E-2,     0.13498,  8.462278E-2,     4.22414,          NaN,         NaN
    24.0,  4.937010E-2,     0.23730,  4.863921E-2,     0.27717,  8.621218E-2,     4.35702,          NaN,         NaN
    25.0,  5.092651E-2,     0.38088,  5.014212E-2,     0.42023,  8.758422E-2,     4.49095,          NaN,         NaN
    26.0,  5.236141E-2,     0.52537,  5.152575E-2,     0.56423,  8.874060E-2,     4.62605,          NaN,         NaN
    27.0,  5.366603E-2,     0.67082,  5.278171E-2,     0.70924,  8.968463E-2,     4.76240,          NaN,         NaN
    28.0,  5.483327E-2,     0.81730,  5.390324E-2,     0.85533,  9.042129E-2,     4.90010,          NaN,         NaN
    29.0,  5.585779E-2,     0.96489,  5.488532E-2,     1.00257,  9.095728E-2,     5.03925,          NaN,         NaN
    30.0,  5.673606E-2,     1.11367,  5.572471E-2,     1.15105,  9.130095E-2,     5.17992,          NaN,         NaN
    31.0,  5.746646E-2,     1.26370,  5.642005E-2,     1.30083,  9.146238E-2,     5.32222,          NaN,         NaN
