Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  6.698706E-3,    -3.14159,  6.818399E-3,    -3.14159,  1.847533E-2,    -0.00000,          NaN,         NaN
     1.0,  1.349539E-2,    -2.99382,  1.373429E-2,    -2.98700,  3.721385E-2,     0.22437,          NaN,         NaN
     2.0,  1.378835E-2,    -2.84654,  1.402566E-2,    -2.83319,  3.798991E-2,     0.44527,          NaN,         NaN
     3.0,  1.427338E-2,    -2.70016,  1.450766E-2,    -2.68085,  3.924093E-2,     0.65980,          NaN,         NaN
     4.0,  1.494575E-2,    -2.55498,  1.517504E-2,    -2.53044,  4.091135E-2,     0.86602,          NaN,         NaN
     5.0,  1.579897E-2,    -2.41111,  1.602076E-2,    -2.38219,  4.293610E-2,     1.06297,          NaN,         NaN
     6.0,  1.682493E-2,    -2.26857,  1.703619E-2,    -2.23611,  4.524781E-2,     1.25056,          NaN,         NaN
     7.0,  1.801402E-2,    -2.12724,  1.821129E-2,    -2.09207,  4.778169E-2,     1.42925,          NaN,         NaN
     8.0,  1.935523E-2,    -1.98695,  1.953476E-2,    -1.94980,  5.047822E-2,     1.59986,          NaN,         NaN
     9.0,  2.083629E-2,    -1.84749,  2.099413E-2,    -1.80900,  5.328403E-2,     1.76335,          NaN,         NaN
    10.0,  2.244376E-2,    -1.70867,  2.257591E-2,    -1.66936,  5.615182E-2,     1.92068,          NaN,         NaN
    11.0,  2.416315E-2,    -1.57028,  2.426565E-2,    -1.53059,  5.903972E-2,     2.07279,          NaN,         NaN
    12.0,  2.597908E-2,    -1.43216,  2.604807E-2,    -1.39242,  6.191049E-2,     2.22050,          NaN,         NaN
    13.0,  2.787544E-2,    -1.29414,  2.790721E-2,    -1.25462,  6.473078E-2,     2.36457,          NaN,         NaN
    14.0,  2.983551E-2,    -1.15609,  2.982657E-2,    -1.11699,  6.747049E-2,     2.50565,          NaN,         NaN
    15.0,  3.184216E-2,    -1.01790,  3.178923E-2,    -0.97936,  7.010221E-2,     2.64430,          NaN,         NaN
    16.0,  3.387799E-2,    -0.87947,  3.377806E-2,    -0.84160,  7.260088E-2,     2.78102,          NaN,         NaN
    17.0,  3.592557E-2,    -0.74072,  3.577586E-2,    -0.70358,  7.494351E-2,     2.91623,          NaN,         NaN
    18.0,  3.796755E-2,    -0.60157,  3.776558E-2,    -0.56519,  7.710903E-2,     3.05032,          NaN,         NaN
    19.0,  3.998691E-2,    -0.46195,  3.973047E-2,    -0.42636,  7.907821E-2,     3.18361,          NaN,         NaN
    20.0,  4.196708E-2,    -0.32180,  4.165423E-2,    -0.28700,  8.083367E-2,     3.31639,          NaN,         NaN
    21.0,  4.389215E-2,    -0.18106,  4.352127E-2,    -0.14704,  8.235992E-2,     3.44895,          NaN,         NaN
    22.0,  4.574705E-2,    -0.03966,  4.531678E-2,    -0.00640,  8.364347E-2,     3.58152,          NaN,         NaN
    23.0,  4.751768E-2,     0.10244,  4.702698E-2,     0.13498,  8.467292E-2,     3.71434,          NaN,         NaN
    24.0,  4.919109E-2,     0.24532,  4.863921E-2,     0.27717,  8.543917E-2,     3.84762,          NaN,         NaN
    25.0,  5.075560E-2,     0.38902,  5.014212E-2,     0.42023,  8.593555E-2,     3.98159,          NaN,         NaN
    26.0,  5.220095E-2,     0.53361,  5.152575E-2,     0.56423,  8.615801E-2,     4.11645,          NaN,         NaN
    27.0,  5.351844E-2,     0.67916,  5.278171E-2,     0.70924,  8.610533E-2,     4.25243,          NaN,         NaN
    28.0,  5.470096E-2,     0.82574,  5.390324E-2,     0.85533,  8.577932E-2,     4.38975,          NaN,         NaN
    29.0,  5.574316E-2,     0.97340,  5.488532E-2,     1.00257,  8.518506E-2,     4.52865,          NaN,         NaN
    30.0,  5.664147E-2,     1.12224,  5.572471E-2,     1.15105,  8.433106E-2,     4.66937,          NaN,         NaN
    31.0,  5.739414E-2,     1.27231,  5.642005E-2,     1.30083,  8.322954E-2,     4.81219,          NaN,         NaN
    32.0,  5.800134E-2,     1.42370,  5.697186E-2,     1.45201,  8.189666E-2,     4.95739,          NaN,         NaN
    33.0,  5.846507E-2,     1.57650,  5.738254E-2,     1.60467,  8.035268E-2,     5.10529,          NaN,         NaN
    34.0,  5.878925E-2,     1.73077,  5.765640E-2,     1.75889,  7.862226E-2,     5.25622,          NaN,         NaN
