Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.270637E-3,    -3.14159,  6.818399E-3,    -3.14159,  4.547338E-4,    -3.14159,          NaN,         NaN
     1.0,  6.700926E-3,    -2.80112,  1.373429E-2,    -2.98700,  4.271931E-3,    -4.39935,          NaN,         NaN
     2.0,  7.156003E-3,    -2.48053,  1.402566E-2,    -2.83319,  8.368293E-3,    -4.40651,          NaN,         NaN
     3.0,  7.848400E-3,    -2.19069,  1.450766E-2,    -2.68085,  1.243842E-2,    -4.34378,          NaN,         NaN
     4.0,  8.711502E-3,    -1.93269,  1.517504E-2,    -2.53044,  1.642979E-2,    -4.26320,          NaN,         NaN
     5.0,  9.687144E-3,    -1.70234,  1.602076E-2,    -2.38219,  2.030953E-2,    -4.17548,          NaN,         NaN
     6.0,  1.073032E-2,    -1.49405,  1.703619E-2,    -2.23611,  2.404893E-2,    -4.08426,          NaN,         NaN
     7.0,  1.180769E-2,    -1.30277,  1.821129E-2,    -2.09207,  2.762122E-2,    -3.99109,          NaN,         NaN
     8.0,  1.289453E-2,    -1.12442,  1.953476E-2,    -1.94980,  3.100129E-2,    -3.89677,          NaN,         NaN
     9.0,  1.397221E-2,    -0.95590,  2.099413E-2,    -1.80900,  3.416560E-2,    -3.80176,          NaN,         NaN
    10.0,  1.502626E-2,    -0.79489,  2.257591E-2,    -1.66936,  3.709230E-2,    -3.70636,          NaN,         NaN
    11.0,  1.604516E-2,    -0.63964,  2.426565E-2,    -1.53059,  3.976137E-2,    -3.61074,          NaN,         NaN
    12.0,  1.701950E-2,    -0.48882,  2.604807E-2,    -1.39242,  4.215473E-2,    -3.51507,          NaN,         NaN
    13.0,  1.794145E-2,    -0.34141,  2.790721E-2,    -1.25462,  4.425638E-2,    -3.41946,          NaN,         NaN
    14.0,  1.880443E-2,    -0.19661,  2.982657E-2,    -1.11699,  4.605250E-2,    -3.32401,          NaN,         NaN
    15.0,  1.960291E-2,    -0.05378,  3.178923E-2,    -0.97936,  4.753154E-2,    -3.22882,          NaN,         NaN
    16.0,  2.033222E-2,     0.08761,  3.377806E-2,    -0.84160,  4.868435E-2,    -3.13398,          NaN,         NaN
    17.0,  2.098849E-2,     0.22797,  3.577586E-2,    -0.70358,  4.950420E-2,    -3.03958,          NaN,         NaN
    18.0,  2.156859E-2,     0.36768,  3.776558E-2,    -0.56519,  4.998686E-2,    -2.94575,          NaN,         NaN
    19.0,  2.207009E-2,     0.50705,  3.973047E-2,    -0.42636,  5.013066E-2,    -2.85260,          NaN,         NaN
    20.0,  2.249125E-2,     0.64637,  4.165423E-2,    -0.28700,  4.993653E-2,    -2.76026,          NaN,         NaN
    21.0,  2.283100E-2,     0.78589,  4.352127E-2,    -0.14704,  4.940798E-2,    -2.66893,          NaN,         NaN
    22.0,  2.308896E-2,     0.92586,  4.531678E-2,    -0.00640,  4.855120E-2,    -2.57879,          NaN,         NaN
    23.0,  2.326544E-2,     1.06650,  4.702698E-2,     0.13498,  4.737505E-2,    -2.49011,          NaN,         NaN
    24.0,  2.336143E-2,     1.20803,  4.863921E-2,     0.27717,  4.589114E-2,    -2.40320,          NaN,         NaN
    25.0,  2.337863E-2,     1.35069,  5.014212E-2,     0.42023,  4.411390E-2,    -2.31850,          NaN,         NaN
    26.0,  2.331948E-2,     1.49469,  5.152575E-2,     0.56423,  4.206074E-2,    -2.23653,          NaN,         NaN
    27.0,  2.318715E-2,     1.64027,  5.278171E-2,     0.70924,  3.975235E-2,    -2.15803,          NaN,         NaN
    28.0,  2.298555E-2,     1.78766,  5.390324E-2,     0.85533,  3.721312E-2,    -2.08397,          NaN,         NaN
    29.0,  2.271937E-2,     1.93712,  5.488532E-2,     1.00257,  3.447196E-2,    -2.01570,          NaN,         NaN
    30.0,  2.239411E-2,     2.08891,  5.572471E-2,     1.15105,  3.156366E-2,    -1.95517,          NaN,         NaN
    31.0,  2.201603E-2,     2.24330,  5.642005E-2,     1.30083,  2.853126E-2,    -1.90517,          NaN,         NaN
    32.0,  2.159223E-2,     2.40059,  5.697186E-2,     1.45201,  2.543034E-2,    -1.86986,          NaN,         NaN
    33.0,  2.113062E-2,     2.56106,  5.738254E-2,     1.60467,  2.233666E-2,    -1.85549,          NaN,         NaN
    34.0,  2.063993E-2,     2.72503,  5.765640E-2,     1.75889,  1.935995E-2,    -1.87141,          NaN,         NaN
    35.0,  2.012964E-2,     2.89277,  5.779958E-2,     1.91476,  1.666703E-2,    -1.93068,          NaN,         NaN
    36.0,  1.961000E-2,     3.06458,  5.782002E-2,     2.07236,  1.451090E-2,    -2.04756,          NaN,         NaN
    37.0,  1.909187E-2,     3.24070,  5.772735E-2,     2.23177,  1.322926E-2,    -2.22505,          NaN,         NaN
    38.0,  1.858659E-2,     3.42129,  5.753276E-2,     2.39307,  1.312031E-2,    -2.43411,          NaN,         NaN
    39.0,  1.810577E-2,     3.60647,  5.724885E-2,     2.55631,  1.421545E-2,    -2.62028,          NaN,         NaN
    40.0,  1.766094E-2,     3.79619,  5.688944E-2,     2.72154,  1.624999E-2,    -2.74792,          NaN,         NaN
