Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.017983,     0.007615,     0.000831,
  1600.050,    -0.002305,    -0.004646,     0.003707,
  1600.100,    -0.015036,     0.011497,     0.000514,
  1600.150,    -0.011189,    -0.005388,     0.000252,
  1600.200,     0.010547,    -0.009079,    -0.005305,
  1600.250,    -0.001969,    -0.022884,     0.000294,
  1600.300,     0.006636,    -0.011605,    -0.004614,
  1600.350,    -0.000602,     0.000561,     0.000931,
  1600.400,    -0.014088,     0.010459,    -0.010445,
  1600.450,    -0.011395,     0.008771,    -0.000471,
  1600.500,    -0.010471,    -0.000034,    -0.005474,
  1600.550,    -0.021219,    -0.009125,    -0.014041,
  1600.600,    -0.029190,    -0.021215,    -0.004210,
  1600.650,    -0.001393,    -0.028924,    -0.014106,
  1600.700,    -0.008887,    -0.024922,    -0.010426,
  1600.750,    -0.023245,    -0.033412,    -0.008691,
  1600.800,    -0.009197,    -0.027306,    -0.004920,
  1600.850,    -0.023935,    -0.001638,    -0.015964,
  1600.900,    -0.030217,    -0.017430,    -0.006580,
  1600.950,    -0.037126,    -0.006954,    -0.011895,
  1601.000,    -0.042551,    -0.025601,    -0.006098,
  1601.050,    -0.043521,    -0.025349,    -0.011611,
  1601.100,    -0.024436,    -0.009534,    -0.007290,
  1601.150,    -0.010408,    -0.028449,    -0.009964,
  1601.200,    -0.032621,    -0.018410,    -0.009481,
  1601.250,    -0.033177,    -0.022588,    -0.011358,
  1601.300,    -0.024281,    -0.037640,    -0.004703,
  1601.350,    -0.017202,    -0.024145,    -0.001643,
  1601.400,    -0.020312,    -0.019708,    -0.003061,
  1601.450,    -0.023046,    -0.036830,    -0.003005,
  1601.500,    -0.011273,    -0.020360,     0.000031,
  1601.550,    -0.010521,    -0.021295,    -0.005374,
  1601.600,    -0.026205,    -0.019094,     0.002579,
  1601.650,    -0.008929,    -0.038961,    -0.005196,
  1601.700,    -0.029560,    -0.039712,     0.004067,
  1601.750,    -0.010624,    -0.046448,    -0.000548,
  1601.800,    -0.027681,    -0.049859,    -0.001977,
  1601.850,     0.001329,    -0.056273,    -0.003921,
  1601.900,    -0.004776,    -0.066449,    -0.006849,
  1601.950,    -0.004773,    -0.072077,    -0.003420,
  1602.000,    -0.006521,    -0.063971,    -0.000078,
  1602.050,     0.004050,    -0.049452,     0.002643,
  1602.100,    -0.003711,    -0.059367,     0.003317,
  1602.150,    -0.008271,    -0.063293,     0.001781,
  1602.200,    -0.001449,    -0.057947,    -0.000972,
  1602.250,    -0.010084,    -0.047525,     0.002354,
  1602.300,     0.000835,    -0.066134,    -0.000929,
  1602.350,     0.004142,    -0.074133,    -0.009626,
  1602.400,    -0.013650,    -0.077379,    -0.006849,
  1602.450,    -0.023123,    -0.060169,    -0.006467,
  1602.500,    -0.013633,    -0.080268,    -0.005213,
  1602.550,    -0.018815,    -0.067907,    -0.008026,
  1602.600,    -0.034261,    -0.099132,    -0.004300,
  1602.650,    -0.027506,    -0.079462,    -0.009696,
  1602.700,    -0.038874,    -0.061615,    -0.013234,
  1602.750,    -0.014327,    -0.055587,    -0.012602,
  1602.800,    -0.020368,    -0.049285,    -0.006662,
  1602.850,    -0.026550,    -0.061351,    -0.007219,
  1602.900,    -0.032177,    -0.051576,    -0.006111,
  1602.950,    -0.032355,    -0.030425,    -0.011420,
  1603.000,    -0.016890,    -0.045516,    -0.005884,
  1603.050,    -0.020025,    -0.046597,    -0.011718,
  1603.100,    -0.028013,    -0.041525,    -0.008315,
  1603.150,    -0.017052,    -0.058770,    -0.010279,
  1603.200,    -0.031561,    -0.067038,    -0.009282,
