Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  6.684322E-3,    -3.14159,  6.818399E-3,    -3.14159,  2.048061E-4,    -0.00000,          NaN,         NaN
     1.0,  1.346604E-2,    -2.99440,  1.373429E-2,    -2.98700,  5.176823E-4,    -0.48312,          NaN,         NaN
     2.0,  1.375726E-2,    -2.84766,  1.402566E-2,    -2.83319,  7.509477E-4,    -0.64402,          NaN,         NaN
     3.0,  1.423946E-2,    -2.70177,  1.450766E-2,    -2.68085,  1.020569E-3,    -0.63264,          NaN,         NaN
     4.0,  1.490795E-2,    -2.55700,  1.517504E-2,    -2.53044,  1.295382E-3,    -0.54805,          NaN,         NaN
     5.0,  1.575633E-2,    -2.41346,  1.602076E-2,    -2.38219,  1.562754E-3,    -0.42796,          NaN,         NaN
     6.0,  1.677660E-2,    -2.27116,  1.703619E-2,    -2.23611,  1.815461E-3,    -0.28791,          NaN,         NaN
     7.0,  1.795922E-2,    -2.12999,  1.821129E-2,    -2.09207,  2.048230E-3,    -0.13503,          NaN,         NaN
     8.0,  1.929330E-2,    -1.98978,  1.953476E-2,    -1.94980,  2.256697E-3,     0.02720,          NaN,         NaN
     9.0,  2.076665E-2,    -1.85036,  2.099413E-2,    -1.80900,  2.437099E-3,     0.19717,          NaN,         NaN
    10.0,  2.236592E-2,    -1.71151,  2.257591E-2,    -1.66936,  2.586246E-3,     0.37438,          NaN,         NaN
    11.0,  2.407673E-2,    -1.57307,  2.426565E-2,    -1.53059,  2.701656E-3,     0.55910,          NaN,         NaN
    12.0,  2.588379E-2,    -1.43486,  2.604807E-2,    -1.39242,  2.781830E-3,     0.75224,          NaN,         NaN
    13.0,  2.777110E-2,    -1.29673,  2.790721E-2,    -1.25462,  2.826692E-3,     0.95543,          NaN,         NaN
    14.0,  2.972202E-2,    -1.15856,  2.982657E-2,    -1.11699,  2.838247E-3,     1.17097,          NaN,         NaN
    15.0,  3.171952E-2,    -1.02023,  3.178923E-2,    -0.97936,  2.821555E-3,     1.40198,          NaN,         NaN
    16.0,  3.374633E-2,    -0.88166,  3.377806E-2,    -0.84160,  2.786093E-3,     1.65224,          NaN,         NaN
    17.0,  3.578509E-2,    -0.74277,  3.577586E-2,    -0.70358,  2.747462E-3,     1.92571,          NaN,         NaN
    18.0,  3.781856E-2,    -0.60347,  3.776558E-2,    -0.56519,  2.728950E-3,     2.22506,          NaN,         NaN
    19.0,  3.982980E-2,    -0.46370,  3.973047E-2,    -0.42636,  2.761563E-3,     2.54907,          NaN,         NaN
    20.0,  4.180233E-2,    -0.32340,  4.165423E-2,    -0.28700,  2.880289E-3,     2.88983,          NaN,         NaN
    21.0,  4.372035E-2,    -0.18251,  4.352127E-2,    -0.14704,  3.115966E-3,     3.23295,          NaN,         NaN
    22.0,  4.556883E-2,    -0.04097,  4.531678E-2,    -0.00640,  3.486915E-3,     3.56275,          NaN,         NaN
    23.0,  4.733375E-2,     0.10127,  4.702698E-2,     0.13498,  3.996627E-3,     3.86863,          NaN,         NaN
    24.0,  4.900222E-2,     0.24429,  4.863921E-2,     0.27717,  4.638041E-3,     4.14718,          NaN,         NaN
    25.0,  5.056261E-2,     0.38812,  5.014212E-2,     0.42023,  5.399431E-3,     4.40005,          NaN,         NaN
    26.0,  5.200471E-2,     0.53285,  5.152575E-2,     0.56423,  6.268251E-3,     4.63107,          NaN,         NaN
    27.0,  5.331983E-2,     0.67852,  5.278171E-2,     0.70924,  7.232647E-3,     4.84435,          NaN,         NaN
    28.0,  5.450090E-2,     0.82522,  5.390324E-2,     0.85533,  8.281683E-3,     5.04349,          NaN,         NaN
    29.0,  5.554255E-2,     0.97300,  5.488532E-2,     1.00257,  9.405088E-3,     5.23142,          NaN,         NaN
    30.0,  5.644122E-2,     1.12194,  5.572471E-2,     1.15105,  1.059293E-2,     5.41039,          NaN,         NaN
    31.0,  5.719514E-2,     1.27212,  5.642005E-2,     1.30083,  1.183532E-2,     5.58217,          NaN,         NaN
    32.0,  5.780445E-2,     1.42362,  5.697186E-2,     1.45201,  1.312227E-2,     5.74811,          NaN,         NaN
    33.0,  5.827112E-2,     1.57651,  5.738254E-2,     1.60467,  1.444352E-2,     5.90926,          NaN,         NaN
    34.0,  5.859901E-2,     1.73087,  5.765640E-2,     1.75889,  1.578852E-2,     6.06644,          NaN,         NaN
    35.0,  5.879379E-2,     1.88679,  5.779958E-2,     1.91476,  1.714642E-2,     6.22031,          NaN,         NaN
    36.0,  5.886289E-2,     2.04435,  5.782002E-2,     2.07236,  1.850611E-2,     6.37141,          NaN,         NaN
    37.0,  5.881542E-2,     2.20361,  5.772735E-2,     2.23177,  1.985625E-2,     6.52017,          NaN,         NaN
    38.0,  5.866204E-2,     2.36465,  5.753276E-2,     2.39307,  2.118535E-2,     6.66695,          NaN,         NaN
    39.0,  5.841479E-2,     2.52752,  5.724885E-2,     2.55631,  2.248191E-2,     6.81207,          NaN,         NaN
    40.0,  5.808693E-2,     2.69227,  5.688944E-2,     2.72154,  2.373446E-2,     6.95580,          NaN,         NaN
    41.0,  5.769268E-2,     2.85894,  5.646930E-2,     2.88879,  2.493169E-2,     7.09838,          NaN,         NaN
    42.0,  5.724699E-2,     3.02752,  5.600388E-2,     3.05806,  2.606260E-2,     7.24002,          NaN,         NaN
    43.0,  5.676518E-2,     3.19801,  5.550903E-2,     3.22933,  2.711658E-2,     7.38092,          NaN,         NaN
    44.0,  5.626267E-2,     3.37034,  5.500054E-2,     3.40255,  2.808359E-2,     7.52129,          NaN,         NaN
    45.0,  5.575453E-2,     3.54444,  5.449384E-2,     3.57761,  2.895423E-2,     7.66130,          NaN,         NaN
    46.0,  5.525517E-2,     3.72019,  5.400352E-2,     3.75439,  2.971992E-2,     7.80116,          NaN,         NaN
    47.0,  5.477786E-2,     3.89743,  5.354293E-2,     3.93270,  3.037298E-2,     7.94106,          NaN,         NaN
    48.0,  5.433442E-2,     4.07597,  5.312378E-2,     4.11232,  3.090684E-2,     8.08120,          NaN,         NaN
    49.0,  5.393480E-2,     4.25557,  5.275573E-2,     4.29300,  3.131612E-2,     8.22180,          NaN,         NaN
    50.0,  5.358682E-2,     4.43597,  5.244614E-2,     4.47445,  3.159679E-2,     8.36312,          NaN,         NaN
    51.0,  5.329596E-2,     4.61689,  5.219982E-2,     4.65636,  3.174635E-2,     8.50542,          NaN,         NaN
    52.0,  5.306522E-2,     4.79803,  5.201896E-2,     4.83841,  3.176394E-2,     8.64900,          NaN,         NaN
    53.0,  5.289509E-2,     4.97909,  5.190310E-2,     5.02027,  3.165061E-2,     8.79420,          NaN,         NaN
    54.0,  5.278370E-2,     5.15978,  5.184932E-2,     5.20165,  3.140947E-2,     8.94143,          NaN,         NaN
    55.0,  5.272696E-2,     5.33981,  5.185245E-2,     5.38226,  3.104597E-2,     9.09112,          NaN,         NaN
    56.0,  5.271892E-2,     5.51895,  5.190544E-2,     5.56184,  3.056820E-2,     9.24381,          NaN,         NaN
    57.0,  5.275205E-2,     5.69697,  5.199973E-2,     5.74017,  2.998727E-2,     9.40008,          NaN,         NaN
    58.0,  5.281772E-2,     5.87370,  5.212573E-2,     5.91710,  2.931774E-2,     9.56061,          NaN,         NaN
    59.0,  5.290656E-2,     6.04899,  5.227320E-2,     6.09250,  2.857811E-2,     9.72616,          NaN,         NaN
    60.0,  5.300889E-2,     6.22277,  5.243173E-2,     6.26628,  2.779148E-2,     9.89754,          NaN,         NaN
    61.0,  5.311510E-2,     6.39495,  5.259112E-2,     6.43840,  2.698607E-2,    10.07563,          NaN,         NaN
    62.0,  5.321598E-2,     6.56553,  5.274169E-2,     6.60886,  2.619577E-2,    10.26124,          NaN,         NaN
    63.0,  5.330300E-2,     6.73452,  5.287458E-2,     6.77768,  2.546038E-2,    10.45504,          NaN,         NaN
    64.0,  5.336856E-2,     6.90193,  5.298197E-2,     6.94491,  2.482522E-2,    10.65739,          NaN,         NaN
    65.0,  5.340615E-2,     7.06785,  5.305725E-2,     7.11064,  2.433972E-2,    10.86811,          NaN,         NaN
    66.0,  5.341047E-2,     7.23233,  5.309510E-2,     7.27495,  2.405459E-2,    11.08628,          NaN,         NaN
    67.0,  5.337755E-2,     7.39548,  5.309160E-2,     7.43795,  2.401753E-2,    11.31007,          NaN,         NaN
    68.0,  5.330471E-2,     7.55739,  5.304421E-2,     7.59975,  2.426791E-2,    11.53685,          NaN,         NaN
    69.0,  5.319064E-2,     7.71818,  5.295179E-2,     7.76047,  2.483188E-2,    11.76343,          NaN,         NaN
    70.0,  5.303531E-2,     7.87795,  5.281453E-2,     7.92025,  2.571945E-2,    11.98663,          NaN,         NaN
    71.0,  5.283996E-2,     8.03684,  5.263391E-2,     8.07921,  2.692445E-2,    12.20369,          NaN,         NaN
    72.0,  5.260697E-2,     8.19495,  5.241262E-2,     8.23748,  2.842734E-2,    12.41268,          NaN,         NaN
    73.0,  5.233983E-2,     8.35241,  5.215443E-2,     8.39519,  3.019938E-2,    12.61259,          NaN,         NaN
    74.0,  5.204299E-2,     8.50934,  5.186410E-2,     8.55246,  3.220699E-2,    12.80314,          NaN,         NaN
    75.0,  5.172177E-2,     8.66585,  5.154729E-2,     8.70940,  3.441514E-2,    12.98466,          NaN,         NaN
    76.0,  5.138221E-2,     8.82205,  5.121037E-2,     8.86615,  3.678966E-2,    13.15781,          NaN,         NaN
    77.0,  5.103100E-2,     8.97804,  5.086036E-2,     9.02280,  3.929838E-2,    13.32342,          NaN,         NaN
    78.0,  5.067528E-2,     9.13392,  5.050473E-2,     9.17945,  4.191163E-2,    13.48238,          NaN,         NaN
    79.0,  5.032256E-2,     9.28979,  5.015134E-2,     9.33620,  4.460229E-2,    13.63555,          NaN,         NaN
    80.0,  4.998058E-2,     9.44571,  4.980822E-2,     9.49312,  4.734548E-2,    13.78372,          NaN,         NaN
    81.0,  4.965715E-2,     9.60177,  4.948352E-2,     9.65028,  5.011836E-2,    13.92762,          NaN,         NaN
    82.0,  4.936005E-2,     9.75802,  4.918530E-2,     9.80773,  5.289973E-2,    14.06788,          NaN,         NaN
    83.0,  4.909691E-2,     9.91449,  4.892144E-2,     9.96552,  5.566976E-2,    14.20506,          NaN,         NaN
    84.0,  4.887504E-2,    10.07123,  4.869952E-2,    10.12366,  5.840978E-2,    14.33966,          NaN,         NaN
    85.0,  4.870138E-2,    10.22826,  4.852664E-2,    10.28217,  6.110199E-2,    14.47210,          NaN,         NaN
    86.0,  4.858233E-2,    10.38556,  4.840936E-2,    10.44103,  6.372940E-2,    14.60277,          NaN,         NaN
    87.0,  4.852368E-2,    10.54314,  4.835356E-2,    10.60022,  6.627564E-2,    14.73201,          NaN,         NaN
    88.0,  4.853050E-2,    10.70098,  4.836437E-2,    10.75971,  6.872496E-2,    14.86011,          NaN,         NaN
    89.0,  4.860710E-2,    10.85903,  4.844606E-2,    10.91945,  7.106215E-2,    14.98734,          NaN,         NaN
    90.0,  4.875693E-2,    11.01727,  4.860199E-2,    11.07938,  7.327256E-2,    15.11394,          NaN,         NaN
    91.0,  4.898253E-2,    11.17564,  4.883456E-2,    11.23945,  7.534212E-2,    15.24014,          NaN,         NaN
    92.0,  4.928555E-2,    11.33410,  4.914519E-2,    11.39958,  7.725743E-2,    15.36615,          NaN,         NaN
    93.0,  4.966667E-2,    11.49260,  4.953433E-2,    11.55973,  7.900579E-2,    15.49215,          NaN,         NaN
    94.0,  5.012570E-2,    11.65109,  5.000144E-2,    11.71984,  8.057535E-2,    15.61834,          NaN,         NaN
    95.0,  5.066150E-2,    11.80954,  5.054507E-2,    11.87985,  8.195524E-2,    15.74488,          NaN,         NaN
    96.0,  5.127215E-2,    11.96791,  5.116291E-2,    12.03973,  8.313566E-2,    15.87195,          NaN,         NaN
    97.0,  5.195489E-2,    12.12617,  5.185183E-2,    12.19945,  8.410812E-2,    15.99973,          NaN,         NaN
    98.0,  5.270629E-2,    12.28433,  5.260803E-2,    12.35899,  8.486555E-2,    16.12837,          NaN,         NaN
    99.0,  5.352229E-2,    12.44237,  5.342708E-2,    12.51837,  8.540252E-2,    16.25806,          NaN,         NaN
   100.0,  5.439828E-2,    12.60032,  5.430404E-2,    12.67758,  8.571548E-2,    16.38897,          NaN,         NaN
   101.0,  5.532925E-2,    12.75817,  5.523360E-2,    12.83665,  8.580290E-2,    16.52129,          NaN,         NaN
   102.0,  5.630986E-2,    12.91598,  5.621017E-2,    12.99562,  8.566558E-2,    16.65522,          NaN,         NaN
   103.0,  5.733456E-2,    13.07378,  5.722798E-2,    13.15454,  8.530684E-2,    16.79096,          NaN,         NaN
   104.0,  5.839767E-2,    13.23162,  5.828122E-2,    13.31346,  8.473278E-2,    16.92875,          NaN,         NaN
   105.0,  5.949354E-2,    13.38954,  5.936416E-2,    13.47243,  8.395255E-2,    17.06881,          NaN,         NaN
   106.0,  6.061660E-2,    13.54762,  6.047120E-2,    13.63153,  8.297863E-2,    17.21141,          NaN,         NaN
   107.0,  6.176148E-2,    13.70591,  6.159704E-2,    13.79082,  8.182704E-2,    17.35682,          NaN,         NaN
   108.0,  6.292314E-2,    13.86448,  6.273672E-2,    13.95038,  8.051766E-2,    17.50532,          NaN,         NaN
   109.0,  6.409687E-2,    14.02338,  6.388573E-2,    14.11028,  7.907444E-2,    17.65723,          NaN,         NaN
   110.0,  6.527848E-2,    14.18269,  6.504011E-2,    14.27058,  7.752560E-2,    17.81285,          NaN,         NaN
   111.0,  6.646429E-2,    14.34247,  6.619647E-2,    14.43135,  7.590375E-2,    17.97250,          NaN,         NaN
   112.0,  6.765122E-2,    14.50278,  6.735210E-2,    14.59267,  7.424590E-2,    18.13646,          NaN,         NaN
   113.0,  6.883684E-2,    14.66367,  6.850495E-2,    14.75458,  7.259323E-2,    18.30498,          NaN,         NaN
   114.0,  7.001941E-2,    14.82519,  6.965374E-2,    14.91714,  7.099062E-2,    18.47826,          NaN,         NaN
   115.0,  7.119789E-2,    14.98738,  7.079789E-2,    15.08040,  6.948582E-2,    18.65637,          NaN,         NaN
   116.0,  7.237198E-2,    15.15030,  7.193760E-2,    15.24440,  6.812803E-2,    18.83925,          NaN,         NaN
   117.0,  7.354206E-2,    15.31396,  7.307377E-2,    15.40917,  6.696610E-2,    19.02666,          NaN,         NaN
   118.0,  7.470919E-2,    15.47838,  7.420797E-2,    15.57473,  6.604605E-2,    19.21814,          NaN,         NaN
   119.0,  7.587509E-2,    15.64360,  7.534243E-2,    15.74110,  6.540827E-2,    19.41300,          NaN,         NaN
   120.0,  7.704203E-2,    15.80960,  7.647991E-2,    15.90828,  6.508462E-2,    19.61035,          NaN,         NaN
   121.0,  7.821280E-2,    15.97639,  7.762362E-2,    16.07625,  6.509577E-2,    19.80913,          NaN,         NaN
   122.0,  7.939058E-2,    16.14396,  7.877717E-2,    16.24502,  6.544939E-2,    20.00819,          NaN,         NaN
   123.0,  8.057885E-2,    16.31227,  7.994437E-2,    16.41454,  6.613936E-2,    20.20640,          NaN,         NaN
   124.0,  8.178128E-2,    16.48131,  8.112916E-2,    16.58478,  6.714633E-2,    20.40272,          NaN,         NaN
   125.0,  8.300160E-2,    16.65103,  8.233544E-2,    16.75570,  6.843932E-2,    20.59629,          NaN,         NaN
   126.0,  8.424346E-2,    16.82138,  8.356696E-2,    16.92724,  6.997819E-2,    20.78646,          NaN,         NaN
   127.0,  8.551034E-2,    16.99231,  8.482719E-2,    17.09935,  7.171641E-2,    20.97281,          NaN,         NaN
   128.0,  8.680537E-2,    17.16377,  8.611916E-2,    17.27196,  7.360378E-2,    21.15514,          NaN,         NaN
   129.0,  8.813126E-2,    17.33568,  8.744538E-2,    17.44500,  7.558883E-2,    21.33342,          NaN,         NaN
   130.0,  8.949020E-2,    17.50799,  8.880775E-2,    17.61840,  7.762077E-2,    21.50776,          NaN,         NaN
   131.0,  9.088376E-2,    17.68062,  9.020745E-2,    17.79209,  7.965089E-2,    21.67838,          NaN,         NaN
   132.0,  9.231283E-2,    17.85351,  9.164494E-2,    17.96601,  8.163356E-2,    21.84556,          NaN,         NaN
   133.0,  9.377760E-2,    18.02660,  9.311988E-2,    18.14007,  8.352690E-2,    22.00962,          NaN,         NaN
   134.0,  9.527752E-2,    18.19981,  9.463117E-2,    18.31423,  8.529313E-2,    22.17090,          NaN,         NaN
   135.0,  9.681133E-2,    18.37310,  9.617698E-2,    18.48843,  8.689881E-2,    22.32972,          NaN,         NaN
   136.0,  9.837708E-2,    18.54641,  9.775477E-2,    18.66261,  8.831486E-2,    22.48644,          NaN,         NaN
   137.0,  9.997219E-2,    18.71969,  9.936137E-2,    18.83674,  8.951663E-2,    22.64138,          NaN,         NaN
   138.0,  1.015935E-1,    18.89292,  1.009931E-1,    19.01078,  9.048384E-2,    22.79484,          NaN,         NaN
   139.0,  1.032375E-1,    19.06606,  1.026458E-1,    19.18470,  9.120051E-2,    22.94713,          NaN,         NaN
   140.0,  1.049000E-1,    19.23909,  1.043152E-1,    19.35850,  9.165490E-2,    23.09854,          NaN,         NaN
   141.0,  1.065770E-1,    19.41199,  1.059964E-1,    19.53215,  9.183941E-2,    23.24934,          NaN,         NaN
   142.0,  1.082640E-1,    19.58476,  1.076850E-1,    19.70566,  9.175052E-2,    23.39981,          NaN,         NaN
   143.0,  1.099567E-1,    19.75739,  1.093762E-1,    19.87903,  9.138868E-2,    23.55020,          NaN,         NaN
   144.0,  1.116506E-1,    19.92989,  1.110656E-1,    20.05227,  9.075823E-2,    23.70078,          NaN,         NaN
   145.0,  1.133418E-1,    20.10228,  1.127492E-1,    20.22540,  8.986732E-2,    23.85180,          NaN,         NaN
   146.0,  1.150264E-1,    20.27456,  1.144230E-1,    20.39844,  8.872778E-2,    24.00354,          NaN,         NaN
   147.0,  1.167011E-1,    20.44677,  1.160839E-1,    20.57142,  8.735507E-2,    24.15626,          NaN,         NaN
   148.0,  1.183628E-1,    20.61891,  1.177291E-1,    20.74435,  8.576808E-2,    24.31023,          NaN,         NaN
   149.0,  1.200092E-1,    20.79102,  1.193566E-1,    20.91727,  8.398907E-2,    24.46573,          NaN,         NaN
   150.0,  1.216386E-1,    20.96312,  1.209650E-1,    21.09021,  8.204349E-2,    24.62304,          NaN,         NaN
   151.0,  1.232497E-1,    21.13524,  1.225534E-1,    21.26319,  7.995980E-2,    24.78245,          NaN,         NaN
   152.0,  1.248421E-1,    21.30740,  1.241218E-1,    21.43625,  7.776922E-2,    24.94424,          NaN,         NaN
   153.0,  1.264159E-1,    21.47963,  1.256710E-1,    21.60939,  7.550549E-2,    25.10870,          NaN,         NaN
   154.0,  1.279719E-1,    21.65195,  1.272021E-1,    21.78266,  7.320442E-2,    25.27609,          NaN,         NaN
   155.0,  1.295115E-1,    21.82438,  1.287171E-1,    21.95607,  7.090343E-2,    25.44663,          NaN,         NaN
   156.0,  1.310366E-1,    21.99694,  1.302185E-1,    22.12962,  6.864090E-2,    25.62050,          NaN,         NaN
   157.0,  1.325497E-1,    22.16963,  1.317092E-1,    22.30334,  6.645526E-2,    25.79780,          NaN,         NaN
   158.0,  1.340538E-1,    22.34248,  1.331925E-1,    22.47723,  6.438398E-2,    25.97855,          NaN,         NaN
   159.0,  1.355521E-1,    22.51549,  1.346722E-1,    22.65130,  6.246219E-2,    26.16260,          NaN,         NaN
   160.0,  1.370480E-1,    22.68865,  1.361521E-1,    22.82554,  6.072126E-2,    26.34969,          NaN,         NaN
   161.0,  1.385454E-1,    22.86197,  1.376362E-1,    22.99994,  5.918710E-2,    26.53938,          NaN,         NaN
   162.0,  1.400479E-1,    23.03544,  1.391283E-1,    23.17449,  5.787864E-2,    26.73108,          NaN,         NaN
   163.0,  1.415593E-1,    23.20904,  1.406324E-1,    23.34919,  5.680651E-2,    26.92403,          NaN,         NaN
   164.0,  1.430831E-1,    23.38277,  1.421519E-1,    23.52400,  5.597213E-2,    27.11741,          NaN,         NaN
   165.0,  1.446228E-1,    23.55660,  1.436903E-1,    23.69892,  5.536756E-2,    27.31034,          NaN,         NaN
   166.0,  1.461813E-1,    23.73052,  1.452503E-1,    23.87391,  5.497596E-2,    27.50196,          NaN,         NaN
   167.0,  1.477613E-1,    23.90451,  1.468344E-1,    24.04895,  5.477283E-2,    27.69150,          NaN,         NaN
   168.0,  1.493651E-1,    24.07853,  1.484445E-1,    24.22402,  5.472769E-2,    27.87832,          NaN,         NaN
   169.0,  1.509943E-1,    24.25257,  1.500818E-1,    24.39909,  5.480612E-2,    28.06194,          NaN,         NaN
   170.0,  1.526501E-1,    24.42661,  1.517471E-1,    24.57413,  5.497169E-2,    28.24206,          NaN,         NaN
   171.0,  1.543330E-1,    24.60061,  1.534404E-1,    24.74913,  5.518787E-2,    28.41854,          NaN,         NaN
   172.0,  1.560432E-1,    24.77456,  1.551615E-1,    24.92404,  5.541949E-2,    28.59136,          NaN,         NaN
   173.0,  1.577802E-1,    24.94844,  1.569092E-1,    25.09887,  5.563393E-2,    28.76065,          NaN,         NaN
   174.0,  1.595429E-1,    25.12222,  1.586820E-1,    25.27359,  5.580187E-2,    28.92662,          NaN,         NaN
   175.0,  1.613299E-1,    25.29590,  1.604781E-1,    25.44818,  5.589786E-2,    29.08955,          NaN,         NaN
   176.0,  1.631395E-1,    25.46946,  1.622951E-1,    25.62263,  5.590051E-2,    29.24978,          NaN,         NaN
   177.0,  1.649693E-1,    25.64288,  1.641305E-1,    25.79695,  5.579259E-2,    29.40766,          NaN,         NaN
   178.0,  1.668170E-1,    25.81618,  1.659815E-1,    25.97111,  5.556104E-2,    29.56360,          NaN,         NaN
   179.0,  1.686800E-1,    25.98933,  1.678453E-1,    26.14513,  5.519680E-2,    29.71801,          NaN,         NaN
   180.0,  1.705556E-1,    26.16235,  1.697190E-1,    26.31901,  5.469475E-2,    29.87135,          NaN,         NaN
   181.0,  1.724411E-1,    26.33523,  1.715998E-1,    26.49275,  5.405351E-2,    30.02407,          NaN,         NaN
   182.0,  1.743339E-1,    26.50798,  1.734851E-1,    26.66636,  5.327542E-2,    30.17667,          NaN,         NaN
   183.0,  1.762316E-1,    26.68061,  1.753726E-1,    26.83986,  5.236639E-2,    30.32965,          NaN,         NaN
   184.0,  1.781320E-1,    26.85313,  1.772601E-1,    27.01325,  5.133602E-2,    30.48357,          NaN,         NaN
   185.0,  1.800331E-1,    27.02555,  1.791461E-1,    27.18655,  5.019756E-2,    30.63902,          NaN,         NaN
   186.0,  1.819335E-1,    27.19789,  1.810293E-1,    27.35978,  4.896819E-2,    30.79664,          NaN,         NaN
   187.0,  1.838320E-1,    27.37016,  1.829089E-1,    27.53296,  4.766921E-2,    30.95709,          NaN,         NaN
   188.0,  1.857278E-1,    27.54237,  1.847846E-1,    27.70609,  4.632645E-2,    31.12109,          NaN,         NaN
   189.0,  1.876207E-1,    27.71455,  1.866567E-1,    27.87919,  4.497064E-2,    31.28938,          NaN,         NaN
   190.0,  1.895109E-1,    27.88670,  1.885257E-1,    28.05229,  4.363785E-2,    31.46267,          NaN,         NaN
   191.0,  1.913991E-1,    28.05884,  1.903929E-1,    28.22538,  4.236971E-2,    31.64162,          NaN,         NaN
   192.0,  1.932862E-1,    28.23098,  1.922598E-1,    28.39850,  4.121343E-2,    31.82676,          NaN,         NaN
   193.0,  1.951739E-1,    28.40313,  1.941284E-1,    28.57163,  4.022109E-2,    32.01834,          NaN,         NaN
   194.0,  1.970639E-1,    28.57530,  1.960011E-1,    28.74480,  3.944811E-2,    32.21625,          NaN,         NaN
   195.0,  1.989584E-1,    28.74750,  1.978803E-1,    28.91801,  3.895049E-2,    32.41988,          NaN,         NaN
   196.0,  2.008598E-1,    28.91974,  1.997689E-1,    29.09126,  3.878088E-2,    32.62805,          NaN,         NaN
   197.0,  2.027707E-1,    29.09201,  2.016698E-1,    29.26455,  3.898390E-2,    32.83902,          NaN,         NaN
   198.0,  2.046938E-1,    29.26432,  2.035859E-1,    29.43789,  3.959164E-2,    33.05068,          NaN,         NaN
   199.0,  2.066319E-1,    29.43667,  2.055202E-1,    29.61126,  4.062048E-2,    33.26079,          NaN,         NaN
   200.0,  2.085876E-1,    29.60906,  2.074754E-1,    29.78467,  4.207018E-2,    33.46728,          NaN,         NaN
   201.0,  2.105637E-1,    29.78147,  2.094543E-1,    29.95810,  4.392535E-2,    33.66850,          NaN,         NaN
   202.0,  2.125626E-1,    29.95391,  2.114590E-1,    30.13155,  4.615862E-2,    33.86335,          NaN,         NaN
   203.0,  2.145864E-1,    30.12636,  2.134917E-1,    30.30500,  4.873458E-2,    34.05129,          NaN,         NaN
   204.0,  2.166371E-1,    30.29882,  2.155540E-1,    30.47845,  5.161342E-2,    34.23225,          NaN,         NaN
   205.0,  2.187163E-1,    30.47127,  2.176471E-1,    30.65188,  5.475375E-2,    34.40651,          NaN,         NaN
   206.0,  2.208251E-1,    30.64371,  2.197718E-1,    30.82528,  5.811453E-2,    34.57455,          NaN,         NaN
   207.0,  2.229643E-1,    30.81612,  2.219285E-1,    30.99864,  6.165610E-2,    34.73699,          NaN,         NaN
   208.0,  2.251342E-1,    30.98849,  2.241170E-1,    31.17195,  6.534068E-2,    34.89449,          NaN,         NaN
   209.0,  2.273348E-1,    31.16082,  2.263367E-1,    31.34520,  6.913245E-2,    35.04768,          NaN,         NaN
   210.0,  2.295656E-1,    31.33309,  2.285865E-1,    31.51838,  7.299743E-2,    35.19719,          NaN,         NaN
   211.0,  2.318255E-1,    31.50529,  2.308650E-1,    31.69147,  7.690329E-2,    35.34356,          NaN,         NaN
   212.0,  2.341134E-1,    31.67742,  2.331704E-1,    31.86448,  8.081911E-2,    35.48730,          NaN,         NaN
   213.0,  2.364276E-1,    31.84948,  2.355006E-1,    32.03740,  8.471525E-2,    35.62887,          NaN,         NaN
   214.0,  2.387662E-1,    32.02145,  2.378532E-1,    32.21023,  8.856317E-2,    35.76867,          NaN,         NaN
   215.0,  2.411271E-1,    32.19333,  2.402257E-1,    32.38296,  9.233538E-2,    35.90704,          NaN,         NaN
   216.0,  2.435079E-1,    32.36513,  2.426155E-1,    32.55560,  9.600540E-2,    36.04429,          NaN,         NaN
   217.0,  2.459064E-1,    32.53685,  2.450198E-1,    32.72815,  9.954778E-2,    36.18070,          NaN,         NaN
   218.0,  2.483199E-1,    32.70848,  2.474362E-1,    32.90062,  1.029382E-1,    36.31652,          NaN,         NaN
   219.0,  2.507463E-1,    32.88004,  2.498621E-1,    33.07301,  1.061535E-1,    36.45196,          NaN,         NaN
   220.0,  2.531830E-1,    33.05152,  2.522951E-1,    33.24532,  1.091718E-1,    36.58722,          NaN,         NaN
