Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,    -0.000562,    -0.000636
  1610.050,    -0.001308,    -0.000199
  1610.100,     0.003493,     0.000599
  1610.150,    -0.000836,    -0.001034
  1610.200,    -0.000787,     0.001270
  1610.250,    -0.001647,    -0.001772
  1610.300,     0.000666,    -0.000849
  1610.350,    -0.005136,    -0.003034
  1610.400,    -0.001543,    -0.002304
  1610.450,    -0.004912,    -0.003472
  1610.500,    -0.006822,    -0.001073
  1610.550,     0.002901,    -0.003630
  1610.600,    -0.009559,    -0.000737
  1610.650,    -0.012239,    -0.001567
  1610.700,    -0.021752,    -0.001436
  1610.750,    -0.025576,     0.000259
  1610.800,    -0.035398,    -0.000179
  1610.850,    -0.040229,     0.000227
  1610.900,    -0.044529,     0.000024
  1610.950,    -0.054401,     0.000597
  1611.000,    -0.054239,     0.000678
  1611.050,    -0.050767,    -0.000619
  1611.100,    -0.057158,     0.000733
  1611.150,    -0.061217,    -0.001687
  1611.200,    -0.057704,    -0.001765
  1611.250,    -0.064199,    -0.003114
  1611.300,    -0.071724,    -0.001457
  1611.350,    -0.073552,    -0.003356
  1611.400,    -0.080345,    -0.004106
  1611.450,    -0.085606,    -0.001678
  1611.500,    -0.097776,    -0.001432
  1611.550,    -0.098998,    -0.000129
  1611.600,    -0.100606,    -0.001363
  1611.650,    -0.096220,    -0.000235
  1611.700,    -0.100966,    -0.001241
  1611.750,    -0.101254,    -0.002566
  1611.800,    -0.103836,    -0.000809
  1611.850,    -0.108905,    -0.000353
  1611.900,    -0.111753,     0.000958
  1611.950,    -0.104606,     0.000868
  1612.000,    -0.116736,    -0.000022
  1612.050,    -0.121251,     0.000761
  1612.100,    -0.118004,    -0.003785
  1612.150,    -0.121970,    -0.001339
  1612.200,    -0.126362,    -0.001206
  1612.250,    -0.129064,    -0.001533
  1612.300,    -0.126781,    -0.003936
  1612.350,    -0.129501,    -0.000831
  1612.400,    -0.132016,    -0.002363
  1612.450,    -0.136493,    -0.001605
  1612.500,    -0.140589,    -0.001516
  1612.550,    -0.143574,    -0.000144
  1612.600,    -0.141238,    -0.001910
  1612.650,    -0.145435,    -0.000157
  1612.700,    -0.144867,    -0.000333
  1612.750,    -0.138229,     0.000389
  1612.800,    -0.136298,    -0.000130
  1612.850,    -0.134579,     0.000076
  1612.900,    -0.131036,    -0.000726
  1612.950,    -0.126605,     0.000093
  1613.000,    -0.120305,    -0.001824
  1613.050,    -0.111643,    -0.001137
  1613.100,    -0.100837,    -0.000172
  1613.150,    -0.094835,    -0.000952
  1613.200,    -0.075161,    -0.000315
  1613.250,    -0.066929,    -0.001622
  1613.300,    -0.054674,    -0.002277
  1613.350,    -0.030973,    -0.001158
  1613.400,    -0.018397,    -0.002383
  1613.450,     0.009418,    -0.001389
  1613.500,     0.035904,    -0.002663
  1613.550,     0.062372,    -0.001653
  1613.600,     0.099082,    -0.002067
  1613.650,     0.131649,    -0.001612
  1613.700,     0.168034,    -0.000839
  1613.750,     0.200679,    -0.000400
  1613.800,     0.214432,     0.001317
  1613.850,     0.202540,    -0.000284
  1613.900,     0.160054,     0.000624
  1613.950,     0.065843,     0.000015
  1614.000,    -0.082850,     0.001264
  1614.050,    -0.290400,     0.000881
  1614.100,    -0.546137,     0.000705
  1614.150,    -0.813747,    -0.000248
  1614.200,    -1.062416,    -0.000340
  1614.250,    -1.228206,    -0.001541
  1614.300,    -1.285867,    -0.000843
  1614.350,    -1.212766,    -0.003150
  1614.400,    -1.036958,    -0.002335
  1614.450,    -0.796113,    -0.002110
  1614.500,    -0.550389,    -0.001680
  1614.550,    -0.312554,    -0.000808
  1614.600,    -0.109731,    -0.001499
  1614.650,     0.051665,    -0.004387
  1614.700,     0.170108,    -0.000842
  1614.750,     0.229594,    -0.000395
  1614.800,     0.234317,    -0.000597
  1614.850,     0.205090,     0.000405
  1614.900,     0.160574,     0.000674
  1614.950,     0.103343,    -0.001791
  1615.000,     0.039452,    -0.000096
  1615.050,    -0.021673,     0.000452
  1615.100,    -0.072335,    -0.000401
  1615.150,    -0.106989,    -0.001194
  1615.200,    -0.125403,    -0.000557
  1615.250,    -0.139706,    -0.001173
