Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.686238E-3,    -3.14159,          NaN,         NaN,  5.707301E-3,    -0.00000,          NaN,         NaN
     1.0,  7.217119E-3,    -3.73303,          NaN,         NaN,  1.420603E-2,    -0.46422,          NaN,         NaN
     2.0,  1.099707E-2,    -3.92264,          NaN,         NaN,  2.039797E-2,    -0.63039,          NaN,         NaN
     3.0,  1.526363E-2,    -3.93388,          NaN,         NaN,  2.778744E-2,    -0.62853,          NaN,         NaN
     4.0,  1.960284E-2,    -3.87668,          NaN,         NaN,  3.561106E-2,    -0.55408,          NaN,         NaN
     5.0,  2.386450E-2,    -3.78828,          NaN,         NaN,  4.359982E-2,    -0.44527,          NaN,         NaN
     6.0,  2.796891E-2,    -3.68349,          NaN,         NaN,  5.162959E-2,    -0.31856,          NaN,         NaN
     7.0,  3.186172E-2,    -3.56927,          NaN,         NaN,  5.962335E-2,    -0.18195,          NaN,         NaN
     8.0,  3.550063E-2,    -3.44926,          NaN,         NaN,  6.751978E-2,    -0.03981,          NaN,         NaN
     9.0,  3.885087E-2,    -3.32562,          NaN,         NaN,  7.526155E-2,     0.10526,          NaN,         NaN
    10.0,  4.188346E-2,    -3.19968,          NaN,         NaN,  8.279086E-2,     0.25162,          NaN,         NaN
    11.0,  4.457451E-2,    -3.07236,          NaN,         NaN,  9.004789E-2,     0.39816,          NaN,         NaN
    12.0,  4.690506E-2,    -2.94433,          NaN,         NaN,  9.697083E-2,     0.54407,          NaN,         NaN
    13.0,  4.886094E-2,    -2.81611,          NaN,         NaN,  1.034967E-1,     0.68877,          NaN,         NaN
    14.0,  5.043289E-2,    -2.68811,          NaN,         NaN,  1.095627E-1,     0.83178,          NaN,         NaN
    15.0,  5.161654E-2,    -2.56072,          NaN,         NaN,  1.151078E-1,     0.97270,          NaN,         NaN
    16.0,  5.241249E-2,    -2.43429,          NaN,         NaN,  1.200748E-1,     1.11120,          NaN,         NaN
    17.0,  5.282632E-2,    -2.30918,          NaN,         NaN,  1.244122E-1,     1.24694,          NaN,         NaN
    18.0,  5.286857E-2,    -2.18574,          NaN,         NaN,  1.280765E-1,     1.37961,          NaN,         NaN
    19.0,  5.255479E-2,    -2.06435,          NaN,         NaN,  1.310343E-1,     1.50887,          NaN,         NaN
    20.0,  5.190546E-2,    -1.94545,          NaN,         NaN,  1.332644E-1,     1.63436,          NaN,         NaN
    21.0,  5.094598E-2,    -1.82950,          NaN,         NaN,  1.347606E-1,     1.75570,          NaN,         NaN
    22.0,  4.970668E-2,    -1.71702,          NaN,         NaN,  1.355335E-1,     1.87244,          NaN,         NaN
    23.0,  4.822272E-2,    -1.60860,          NaN,         NaN,  1.356127E-1,     1.98411,          NaN,         NaN
    24.0,  4.653418E-2,    -1.50494,          NaN,         NaN,  1.350499E-1,     2.09017,          NaN,         NaN
    25.0,  4.468598E-2,    -1.40676,          NaN,         NaN,  1.339202E-1,     2.19004,          NaN,         NaN
    26.0,  4.272789E-2,    -1.31490,          NaN,         NaN,  1.323243E-1,     2.28313,          NaN,         NaN
    27.0,  4.071436E-2,    -1.23021,          NaN,         NaN,  1.303900E-1,     2.36884,          NaN,         NaN
    28.0,  3.870414E-2,    -1.15355,          NaN,         NaN,  1.282718E-1,     2.44665,          NaN,         NaN
    29.0,  3.675941E-2,    -1.08567,          NaN,         NaN,  1.261494E-1,     2.51621,          NaN,         NaN
    30.0,  3.494414E-2,    -1.02705,          NaN,         NaN,  1.242226E-1,     2.57745,          NaN,         NaN
    31.0,  3.332119E-2,    -0.97772,          NaN,         NaN,  1.227016E-1,     2.63069,          NaN,         NaN
    32.0,  3.194801E-2,    -0.93706,          NaN,         NaN,  1.217937E-1,     2.67684,          NaN,         NaN
    33.0,  3.087095E-2,    -0.90357,          NaN,         NaN,  1.216840E-1,     2.71738,          NaN,         NaN
    34.0,  3.011914E-2,    -0.87495,          NaN,         NaN,  1.225158E-1,     2.75433,          NaN,         NaN
    35.0,  2.969957E-2,    -0.84823,          NaN,         NaN,  1.243724E-1,     2.79006,          NaN,         NaN
    36.0,  2.959526E-2,    -0.82028,          NaN,         NaN,  1.272672E-1,     2.82698,          NaN,         NaN
    37.0,  2.976755E-2,    -0.78829,          NaN,         NaN,  1.311427E-1,     2.86723,          NaN,         NaN
    38.0,  3.016189E-2,    -0.75013,          NaN,         NaN,  1.358807E-1,     2.91242,          NaN,         NaN
    39.0,  3.071525E-2,    -0.70460,          NaN,         NaN,  1.413177E-1,     2.96358,          NaN,         NaN
    40.0,  3.136304E-2,    -0.65130,          NaN,         NaN,  1.472627E-1,     3.02115,          NaN,         NaN
    41.0,  3.204447E-2,    -0.59049,          NaN,         NaN,  1.535129E-1,     3.08511,          NaN,         NaN
    42.0,  3.270570E-2,    -0.52285,          NaN,         NaN,  1.598662E-1,     3.15509,          NaN,         NaN
    43.0,  3.330153E-2,    -0.44932,          NaN,         NaN,  1.661299E-1,     3.23053,          NaN,         NaN
    44.0,  3.379575E-2,    -0.37095,          NaN,         NaN,  1.721263E-1,     3.31075,          NaN,         NaN
    45.0,  3.416096E-2,    -0.28882,          NaN,         NaN,  1.776959E-1,     3.39505,          NaN,         NaN
    46.0,  3.437808E-2,    -0.20399,          NaN,         NaN,  1.826991E-1,     3.48271,          NaN,         NaN
    47.0,  3.443575E-2,    -0.11750,          NaN,         NaN,  1.870171E-1,     3.57305,          NaN,         NaN
    48.0,  3.432974E-2,    -0.03035,          NaN,         NaN,  1.905524E-1,     3.66540,          NaN,         NaN
    49.0,  3.406249E-2,     0.05649,          NaN,         NaN,  1.932291E-1,     3.75915,          NaN,         NaN
    50.0,  3.364275E-2,     0.14204,          NaN,         NaN,  1.949928E-1,     3.85368,          NaN,         NaN
    51.0,  3.308526E-2,     0.22535,          NaN,         NaN,  1.958107E-1,     3.94842,          NaN,         NaN
    52.0,  3.241054E-2,     0.30547,          NaN,         NaN,  1.956718E-1,     4.04279,          NaN,         NaN
    53.0,  3.164475E-2,     0.38144,          NaN,         NaN,  1.945871E-1,     4.13619,          NaN,         NaN
    54.0,  3.081941E-2,     0.45238,          NaN,         NaN,  1.925896E-1,     4.22804,          NaN,         NaN
    55.0,  2.997115E-2,     0.51744,          NaN,         NaN,  1.897352E-1,     4.31770,          NaN,         NaN
    56.0,  2.914095E-2,     0.57598,          NaN,         NaN,  1.861024E-1,     4.40453,          NaN,         NaN
    57.0,  2.837309E-2,     0.62760,          NaN,         NaN,  1.817934E-1,     4.48782,          NaN,         NaN
    58.0,  2.771319E-2,     0.67233,          NaN,         NaN,  1.769343E-1,     4.56685,          NaN,         NaN
    59.0,  2.720549E-2,     0.71071,          NaN,         NaN,  1.716755E-1,     4.64086,          NaN,         NaN
    60.0,  2.688929E-2,     0.74389,          NaN,         NaN,  1.661918E-1,     4.70912,          NaN,         NaN
    61.0,  2.679508E-2,     0.77362,          NaN,         NaN,  1.606806E-1,     4.77095,          NaN,         NaN
    62.0,  2.694108E-2,     0.80205,          NaN,         NaN,  1.553598E-1,     4.82581,          NaN,         NaN
    63.0,  2.733134E-2,     0.83146,          NaN,         NaN,  1.504610E-1,     4.87344,          NaN,         NaN
    64.0,  2.795582E-2,     0.86397,          NaN,         NaN,  1.462200E-1,     4.91399,          NaN,         NaN
    65.0,  2.879256E-2,     0.90122,          NaN,         NaN,  1.428614E-1,     4.94815,          NaN,         NaN
    66.0,  2.981114E-2,     0.94427,          NaN,         NaN,  1.405794E-1,     4.97725,          NaN,         NaN
    67.0,  3.097658E-2,     0.99360,          NaN,         NaN,  1.395170E-1,     5.00322,          NaN,         NaN
