Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.876879E-3,    -3.14159,          NaN,         NaN,  6.973408E-4,    -0.00000,          NaN,         NaN
     1.0,  6.008374E-3,    -3.89552,          NaN,         NaN,  1.962414E-3,    -0.62687,          NaN,         NaN
     2.0,  1.006984E-2,    -4.04635,          NaN,         NaN,  3.085184E-3,    -0.79495,          NaN,         NaN
     3.0,  1.441654E-2,    -4.02309,          NaN,         NaN,  4.335528E-3,    -0.78338,          NaN,         NaN
     4.0,  1.875895E-2,    -3.94342,          NaN,         NaN,  5.607171E-3,    -0.70672,          NaN,         NaN
     5.0,  2.299699E-2,    -3.83960,          NaN,         NaN,  6.863935E-3,    -0.60111,          NaN,         NaN
     6.0,  2.707324E-2,    -3.72351,          NaN,         NaN,  8.087053E-3,    -0.48059,          NaN,         NaN
     7.0,  3.094506E-2,    -3.60052,          NaN,         NaN,  9.263647E-3,    -0.35164,          NaN,         NaN
     8.0,  3.457726E-2,    -3.47341,          NaN,         NaN,  1.038343E-2,    -0.21770,          NaN,         NaN
     9.0,  3.793969E-2,    -3.34381,          NaN,         NaN,  1.143757E-2,    -0.08078,          NaN,         NaN
    10.0,  4.100645E-2,    -3.21272,          NaN,         NaN,  1.241825E-2,     0.05784,          NaN,         NaN
    11.0,  4.375566E-2,    -3.08084,          NaN,         NaN,  1.331853E-2,     0.19727,          NaN,         NaN
    12.0,  4.616944E-2,    -2.94870,          NaN,         NaN,  1.413229E-2,     0.33686,          NaN,         NaN
    13.0,  4.823398E-2,    -2.81670,          NaN,         NaN,  1.485427E-2,     0.47607,          NaN,         NaN
    14.0,  4.993967E-2,    -2.68519,          NaN,         NaN,  1.548010E-2,     0.61447,          NaN,         NaN
    15.0,  5.128115E-2,    -2.55447,          NaN,         NaN,  1.600642E-2,     0.75163,          NaN,         NaN
    16.0,  5.225741E-2,    -2.42485,          NaN,         NaN,  1.643094E-2,     0.88716,          NaN,         NaN
    17.0,  5.287187E-2,    -2.29662,          NaN,         NaN,  1.675254E-2,     1.02067,          NaN,         NaN
    18.0,  5.313238E-2,    -2.17010,          NaN,         NaN,  1.697145E-2,     1.15174,          NaN,         NaN
    19.0,  5.305130E-2,    -2.04562,          NaN,         NaN,  1.708935E-2,     1.27991,          NaN,         NaN
    20.0,  5.264545E-2,    -1.92354,          NaN,         NaN,  1.710952E-2,     1.40472,          NaN,         NaN
    21.0,  5.193616E-2,    -1.80427,          NaN,         NaN,  1.703710E-2,     1.52560,          NaN,         NaN
    22.0,  5.094923E-2,    -1.68825,          NaN,         NaN,  1.687921E-2,     1.64195,          NaN,         NaN
    23.0,  4.971498E-2,    -1.57600,          NaN,         NaN,  1.664526E-2,     1.75311,          NaN,         NaN
    24.0,  4.826820E-2,    -1.46808,          NaN,         NaN,  1.634717E-2,     1.85835,          NaN,         NaN
    25.0,  4.664819E-2,    -1.36512,          NaN,         NaN,  1.599963E-2,     1.95688,          NaN,         NaN
    26.0,  4.489870E-2,    -1.26781,          NaN,         NaN,  1.562036E-2,     2.04792,          NaN,         NaN
    27.0,  4.306784E-2,    -1.17686,          NaN,         NaN,  1.523018E-2,     2.13075,          NaN,         NaN
    28.0,  4.120779E-2,    -1.09300,          NaN,         NaN,  1.485295E-2,     2.20480,          NaN,         NaN
    29.0,  3.937421E-2,    -1.01689,          NaN,         NaN,  1.451505E-2,     2.26981,          NaN,         NaN
