Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.002852,    -0.001050
  1610.050,     0.003332,    -0.000584
  1610.100,     0.002472,     0.001922
  1610.150,    -0.002601,     0.001129
  1610.200,    -0.006055,    -0.001418
  1610.250,    -0.013365,    -0.002039
  1610.300,    -0.010402,     0.000010
  1610.350,    -0.012016,     0.001285
  1610.400,    -0.014001,     0.002591
  1610.450,    -0.011765,     0.000361
  1610.500,    -0.018774,    -0.000819
  1610.550,    -0.018717,    -0.001708
  1610.600,    -0.017248,     0.001826
  1610.650,    -0.015083,     0.001578
  1610.700,    -0.013728,     0.000791
  1610.750,    -0.017851,     0.000317
  1610.800,    -0.016985,     0.000004
  1610.850,    -0.015963,    -0.000845
  1610.900,    -0.021781,     0.000867
  1610.950,    -0.019296,     0.001485
  1611.000,    -0.027820,     0.000608
  1611.050,    -0.034010,    -0.000811
  1611.100,    -0.040967,    -0.000092
  1611.150,    -0.050593,    -0.000281
  1611.200,    -0.064662,    -0.000245
  1611.250,    -0.060786,     0.000806
  1611.300,    -0.073216,    -0.000542
  1611.350,    -0.074209,     0.001575
  1611.400,    -0.075154,    -0.000253
  1611.450,    -0.074675,    -0.001585
  1611.500,    -0.072295,    -0.001584
  1611.550,    -0.076594,     0.000340
  1611.600,    -0.075931,     0.000096
  1611.650,    -0.086202,    -0.001244
  1611.700,    -0.088812,    -0.001421
  1611.750,    -0.093280,    -0.000015
  1611.800,    -0.100665,    -0.001488
  1611.850,    -0.106878,     0.000691
  1611.900,    -0.111168,    -0.000295
  1611.950,    -0.116600,     0.000212
  1612.000,    -0.123542,    -0.000113
  1612.050,    -0.124864,     0.001620
  1612.100,    -0.128690,     0.000063
  1612.150,    -0.130616,     0.001329
  1612.200,    -0.133282,     0.000283
  1612.250,    -0.140658,     0.000634
  1612.300,    -0.138407,    -0.002564
  1612.350,    -0.145520,     0.001600
  1612.400,    -0.142121,     0.000523
  1612.450,    -0.145343,     0.003434
  1612.500,    -0.152988,    -0.000225
  1612.550,    -0.157827,    -0.000695
  1612.600,    -0.159396,    -0.001500
  1612.650,    -0.170396,    -0.000492
  1612.700,    -0.164738,     0.000568
  1612.750,    -0.171795,     0.000403
  1612.800,    -0.169472,     0.001504
  1612.850,    -0.172927,     0.001191
  1612.900,    -0.181794,    -0.000816
  1612.950,    -0.179921,    -0.001897
  1613.000,    -0.177207,    -0.000928
  1613.050,    -0.180816,     0.000029
  1613.100,    -0.176595,     0.001674
  1613.150,    -0.171456,     0.001868
  1613.200,    -0.169873,     0.002050
  1613.250,    -0.170070,     0.000072
  1613.300,    -0.169962,    -0.000204
  1613.350,    -0.167071,     0.000079
  1613.400,    -0.150108,    -0.000448
  1613.450,    -0.146732,    -0.000562
  1613.500,    -0.135605,     0.001383
  1613.550,    -0.119281,     0.001972
  1613.600,    -0.109702,     0.000166
  1613.650,    -0.103162,    -0.000448
  1613.700,    -0.085025,    -0.001323
  1613.750,    -0.066258,    -0.000931
  1613.800,    -0.039192,    -0.000602
  1613.850,    -0.018161,     0.000563
  1613.900,     0.011086,     0.000661
  1613.950,     0.035664,    -0.000001
  1614.000,     0.073395,     0.000981
  1614.050,     0.105567,     0.000217
  1614.100,     0.134893,    -0.000018
  1614.150,     0.171977,    -0.000804
  1614.200,     0.183356,    -0.001134
  1614.250,     0.173265,    -0.000007
  1614.300,     0.118547,     0.000946
  1614.350,     0.013988,     0.000341
  1614.400,    -0.144945,    -0.000013
  1614.450,    -0.368190,     0.000699
  1614.500,    -0.630218,    -0.000872
  1614.550,    -0.899374,    -0.000557
  1614.600,    -1.136141,     0.000718
  1614.650,    -1.296602,     0.001105
  1614.700,    -1.327858,     0.000572
  1614.750,    -1.238778,     0.001401
  1614.800,    -1.061876,     0.002173
  1614.850,    -0.830647,     0.001680
  1614.900,    -0.586648,    -0.000452
  1614.950,    -0.353280,    -0.000593
  1615.000,    -0.152265,     0.000594
  1615.050,     0.003970,    -0.000170
  1615.100,     0.114207,    -0.000488
  1615.150,     0.171386,    -0.000422
  1615.200,     0.175068,     0.000350
  1615.250,     0.143897,    -0.001162
  1615.300,     0.097851,     0.000912
  1615.350,     0.046647,     0.000369
  1615.400,    -0.012530,    -0.001636
  1615.450,    -0.066999,    -0.000881
  1615.500,    -0.115806,    -0.000008
  1615.550,    -0.151117,    -0.000255
  1615.600,    -0.169025,     0.000895
  1615.650,    -0.181014,     0.001975
  1615.700,    -0.196932,     0.000366
  1615.750,    -0.212000,    -0.001054
  1615.800,    -0.224660,     0.000025
  1615.850,    -0.242833,    -0.000486
  1615.900,    -0.260411,    -0.000559
  1615.950,    -0.278179,     0.000144
  1616.000,    -0.288405,     0.000900
  1616.050,    -0.303982,     0.000168
  1616.100,    -0.307504,     0.001935
  1616.150,    -0.304446,     0.001614
  1616.200,    -0.302198,    -0.000262
  1616.250,    -0.291756,    -0.000658
  1616.300,    -0.277701,    -0.000842
  1616.350,    -0.267098,    -0.001464
  1616.400,    -0.266606,     0.000136
  1616.450,    -0.258089,     0.000015
  1616.500,    -0.249173,     0.002147
  1616.550,    -0.251935,     0.002023
  1616.600,    -0.254600,     0.001409
  1616.650,    -0.257890,     0.000259
  1616.700,    -0.257312,    -0.001410
  1616.750,    -0.256021,    -0.002172
  1616.800,    -0.253390,    -0.000092
  1616.850,    -0.246205,    -0.000702
  1616.900,    -0.241389,    -0.000023
  1616.950,    -0.239359,     0.001919
  1617.000,    -0.248718,     0.001746
  1617.050,    -0.263503,    -0.000150
  1617.100,    -0.295635,     0.000382
  1617.150,    -0.332582,    -0.001597
