Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,    -0.003138,    -0.000730
  1610.050,     0.001379,     0.000701
  1610.100,     0.000557,     0.001280
  1610.150,     0.000037,    -0.001237
  1610.200,     0.001165,    -0.000015
  1610.250,     0.003504,    -0.000452
  1610.300,     0.006138,    -0.001356
  1610.350,     0.009122,     0.000058
  1610.400,     0.010955,     0.000219
  1610.450,     0.011988,     0.000614
  1610.500,     0.010258,     0.000292
  1610.550,     0.007515,     0.000278
  1610.600,    -0.002154,    -0.000363
  1610.650,    -0.007945,    -0.000074
  1610.700,    -0.016643,     0.000393
  1610.750,    -0.024584,    -0.000062
  1610.800,    -0.034328,     0.000274
  1610.850,    -0.033322,     0.001444
  1610.900,    -0.037683,    -0.000095
  1610.950,    -0.040114,    -0.000835
  1611.000,    -0.037437,     0.000633
  1611.050,    -0.038934,    -0.000074
  1611.100,    -0.043864,     0.000293
  1611.150,    -0.051752,    -0.000990
  1611.200,    -0.053739,     0.000620
  1611.250,    -0.054110,     0.000479
  1611.300,    -0.059208,    -0.001051
  1611.350,    -0.061430,     0.000023
  1611.400,    -0.070421,    -0.000643
  1611.450,    -0.071361,     0.000075
  1611.500,    -0.075153,     0.000961
  1611.550,    -0.077977,     0.000126
  1611.600,    -0.072901,    -0.000431
  1611.650,    -0.078740,    -0.000827
  1611.700,    -0.074806,    -0.000284
  1611.750,    -0.074955,     0.000529
  1611.800,    -0.073464,     0.000303
  1611.850,    -0.075070,    -0.001306
  1611.900,    -0.077796,     0.000133
  1611.950,    -0.076767,     0.000643
  1612.000,    -0.081160,    -0.000859
  1612.050,    -0.080625,     0.000603
  1612.100,    -0.077262,    -0.001418
  1612.150,    -0.085894,    -0.000326
  1612.200,    -0.088779,     0.000491
  1612.250,    -0.093711,     0.000144
  1612.300,    -0.090572,    -0.000184
  1612.350,    -0.092677,     0.000125
  1612.400,    -0.095721,     0.000139
  1612.450,    -0.095926,     0.001347
  1612.500,    -0.090767,    -0.000863
  1612.550,    -0.092728,     0.001085
  1612.600,    -0.091626,     0.000907
  1612.650,    -0.085590,     0.000666
  1612.700,    -0.088351,     0.001153
  1612.750,    -0.083407,    -0.000008
  1612.800,    -0.073062,    -0.001113
  1612.850,    -0.068731,    -0.000501
  1612.900,    -0.062528,    -0.000285
  1612.950,    -0.055638,    -0.000889
  1613.000,    -0.048320,    -0.000195
  1613.050,    -0.040918,    -0.000952
  1613.100,    -0.033122,    -0.000281
  1613.150,    -0.018818,    -0.000880
  1613.200,    -0.004525,    -0.000339
  1613.250,     0.003861,    -0.000424
  1613.300,     0.025785,    -0.000599
  1613.350,     0.042948,     0.000490
  1613.400,     0.067182,     0.000838
  1613.450,     0.095881,     0.000274
  1613.500,     0.120950,     0.000527
  1613.550,     0.158730,     0.000482
  1613.600,     0.186774,     0.000633
  1613.650,     0.216986,     0.000977
  1613.700,     0.242320,    -0.000418
  1613.750,     0.244164,     0.000128
  1613.800,     0.218420,    -0.000269
  1613.850,     0.152550,     0.000304
  1613.900,     0.025179,    -0.000558
  1613.950,    -0.168860,    -0.000675
  1614.000,    -0.417749,     0.000794
  1614.050,    -0.705240,    -0.001185
  1614.100,    -0.993833,    -0.000639
  1614.150,    -1.233862,    -0.001273
  1614.200,    -1.378544,    -0.000531
  1614.250,    -1.390376,     0.000825
  1614.300,    -1.272298,    -0.000149
  1614.350,    -1.071786,    -0.001254
  1614.400,    -0.826410,    -0.001430
  1614.450,    -0.580907,    -0.001166
  1614.500,    -0.353055,     0.000888
  1614.550,    -0.158503,    -0.001061
  1614.600,    -0.006006,    -0.001155
  1614.650,     0.094869,     0.000701
  1614.700,     0.135016,     0.000014
  1614.750,     0.131259,     0.000090
  1614.800,     0.105972,     0.000730
  1614.850,     0.065619,     0.000808
  1614.900,     0.011723,    -0.000598
  1614.950,    -0.039164,     0.001210
  1615.000,    -0.090787,     0.000888
  1615.050,    -0.128351,    -0.000740
  1615.100,    -0.156828,     0.000032
  1615.150,    -0.169233,     0.000058
  1615.200,    -0.176196,    -0.000515
  1615.250,    -0.189129,    -0.001141
  1615.300,    -0.205199,    -0.002461
  1615.350,    -0.224884,    -0.000749
  1615.400,    -0.239227,    -0.002110
  1615.450,    -0.261422,    -0.000733
  1615.500,    -0.273999,    -0.000473
  1615.550,    -0.289690,    -0.000413
  1615.600,    -0.295390,    -0.001144
  1615.650,    -0.305336,    -0.000265
  1615.700,    -0.305164,    -0.000700
  1615.750,    -0.305139,    -0.000515
  1615.800,    -0.290125,     0.000608
  1615.850,    -0.285135,     0.000986
  1615.900,    -0.277563,    -0.000553
  1615.950,    -0.278281,     0.000197
  1616.000,    -0.276522,     0.001521
  1616.050,    -0.275429,     0.000764
  1616.100,    -0.272800,     0.001440
  1616.150,    -0.277325,     0.000870
  1616.200,    -0.277540,     0.001353
  1616.250,    -0.277663,     0.000400
  1616.300,    -0.279604,    -0.000325
  1616.350,    -0.280950,    -0.001203
  1616.400,    -0.287468,    -0.001616
  1616.450,    -0.293874,    -0.000924
  1616.500,    -0.311730,    -0.000207
  1616.550,    -0.332144,    -0.000908
  1616.600,    -0.368068,    -0.000375
  1616.650,    -0.409519,     0.000070
  1616.700,    -0.468258,    -0.000328
  1616.750,    -0.527427,    -0.000420
  1616.800,    -0.581377,    -0.000748
  1616.850,    -0.613603,    -0.000575
  1616.900,    -0.616990,     0.000177
  1616.950,    -0.582735,     0.000370
  1617.000,    -0.525038,     0.000093
  1617.050,    -0.447689,    -0.000798
  1617.100,    -0.380868,     0.000532
  1617.150,    -0.320660,     0.000459
  1617.200,    -0.291973,     0.000043
  1617.250,    -0.285850,     0.001540
  1617.300,    -0.291203,     0.001169
  1617.350,    -0.319087,    -0.000790
  1617.400,    -0.357202,     0.000412
  1617.450,    -0.393532,    -0.000817
  1617.500,    -0.437960,    -0.000409
  1617.550,    -0.465246,     0.000907
  1617.600,    -0.485290,    -0.000055
  1617.650,    -0.491365,     0.000388
  1617.700,    -0.490755,     0.001277
  1617.750,    -0.480354,    -0.000801
  1617.800,    -0.466592,    -0.000102
  1617.850,    -0.446739,     0.000079
  1617.900,    -0.426335,    -0.000740
  1617.950,    -0.400135,    -0.001727
