Time_abs/ps, Signal 1/nA, Signal 2/nA
  1600.000,     0.005197,     0.005401
  1600.050,    -0.002138,    -0.001691
  1600.100,     0.004471,    -0.001569
  1600.150,     0.000044,    -0.001454
  1600.200,    -0.007574,    -0.000687
  1600.250,    -0.029493,    -0.005475
  1600.300,     0.026117,    -0.001284
  1600.350,     0.023924,     0.003884
  1600.400,    -0.013431,     0.007288
  1600.450,    -0.016107,     0.000645
  1600.500,    -0.010237,     0.002471
  1600.550,    -0.020026,     0.003719
  1600.600,    -0.022088,    -0.006505
  1600.650,    -0.028492,    -0.005090
  1600.700,    -0.028146,     0.003323
  1600.750,    -0.031238,    -0.006372
  1600.800,    -0.040181,     0.006144
  1600.850,    -0.017122,     0.003599
  1600.900,    -0.014292,     0.004564
  1600.950,    -0.012078,     0.006723
  1601.000,    -0.019331,     0.005449
  1601.050,    -0.011523,    -0.005411
  1601.100,    -0.044900,    -0.002841
  1601.150,    -0.033457,     0.001302
  1601.200,    -0.035638,    -0.004737
  1601.250,    -0.029347,    -0.006679
  1601.300,    -0.027912,    -0.006505
  1601.350,    -0.027308,    -0.004904
  1601.400,    -0.029682,    -0.006143
  1601.450,    -0.028283,     0.006220
  1601.500,    -0.027793,    -0.002556
  1601.550,    -0.029004,     0.004850
  1601.600,    -0.046466,     0.001817
  1601.650,    -0.034361,     0.003460
  1601.700,    -0.034996,     0.000633
  1601.750,    -0.045489,    -0.008741
  1601.800,    -0.036983,    -0.002786
  1601.850,    -0.047510,    -0.006252
  1601.900,    -0.051927,    -0.008716
  1601.950,    -0.063095,     0.010916
  1602.000,    -0.021582,     0.008605
  1602.050,    -0.036619,    -0.000299
  1602.100,    -0.030976,    -0.000317
  1602.150,    -0.019598,    -0.002745
  1602.200,    -0.025910,     0.004972
  1602.250,    -0.041356,    -0.003092
  1602.300,    -0.017449,    -0.004540
  1602.350,    -0.044517,    -0.005355
  1602.400,    -0.031543,    -0.008185
  1602.450,    -0.018736,    -0.001029
  1602.500,    -0.039447,    -0.000326
  1602.550,    -0.023243,    -0.003523
  1602.600,    -0.012794,     0.001270
  1602.650,    -0.034172,     0.007631
  1602.700,    -0.036816,     0.000043
  1602.750,    -0.039580,     0.004265
  1602.800,    -0.012507,     0.003164
  1602.850,    -0.033975,    -0.001898
  1602.900,    -0.042299,    -0.001746
  1602.950,    -0.026269,    -0.007000
  1603.000,    -0.058822,     0.002505
  1603.050,    -0.042585,    -0.003724
  1603.100,    -0.036514,    -0.002322
  1603.150,    -0.032385,     0.001855
  1603.200,    -0.028659,     0.002781
  1603.250,    -0.026862,     0.005569
  1603.300,    -0.034034,    -0.000300
  1603.350,    -0.033203,     0.005517
  1603.400,    -0.041945,     0.004607
  1603.450,    -0.047642,     0.000361
  1603.500,    -0.041256,    -0.000805
  1603.550,    -0.032000,    -0.000107
  1603.600,    -0.041357,    -0.003683
  1603.650,    -0.037134,    -0.004753
  1603.700,    -0.042816,    -0.002628
  1603.750,    -0.033249,    -0.001965
  1603.800,    -0.024535,     0.000587
  1603.850,    -0.027397,     0.001485
  1603.900,    -0.035280,     0.002668
  1603.950,    -0.021010,     0.005918
  1604.000,    -0.033023,     0.005536
  1604.050,    -0.049152,     0.001159
  1604.100,    -0.042025,    -0.000352
  1604.150,    -0.001936,    -0.002560
  1604.200,    -0.015761,     0.002624
  1604.250,    -0.035890,    -0.010581
  1604.300,    -0.043744,    -0.002307
  1604.350,    -0.048828,    -0.003716
  1604.400,    -0.031134,    -0.004818
  1604.450,    -0.045495,    -0.002408
  1604.500,    -0.033426,    -0.001527
  1604.550,    -0.014039,     0.000402
  1604.600,    -0.023665,     0.006694
  1604.650,    -0.029303,     0.004677
  1604.700,    -0.012857,     0.002430
  1604.750,    -0.009511,    -0.001658
  1604.800,    -0.016549,     0.004486
  1604.850,    -0.028847,     0.000480
  1604.900,    -0.019389,    -0.007576
  1604.950,    -0.013507,    -0.002999
  1605.000,    -0.027924,    -0.003969
  1605.050,    -0.004678,    -0.007616
  1605.100,    -0.022099,     0.001246
  1605.150,    -0.033283,     0.001623
  1605.200,    -0.006277,     0.003538
  1605.250,    -0.005979,     0.005224
  1605.300,    -0.041830,     0.002077
  1605.350,     0.002804,     0.001782
  1605.400,    -0.026058,    -0.001964
  1605.450,    -0.032662,     0.004195
  1605.500,    -0.001733,     0.002793
  1605.550,    -0.012598,    -0.001025
  1605.600,    -0.020846,    -0.003566
  1605.650,    -0.009231,    -0.002756
  1605.700,    -0.030083,     0.000937
  1605.750,    -0.026805,     0.004290
  1605.800,    -0.019791,     0.000225
  1605.850,    -0.013110,    -0.000843
  1605.900,    -0.000439,     0.002828
  1605.950,    -0.013539,     0.000554
  1606.000,     0.006014,     0.004115
  1606.050,    -0.002337,     0.000972
  1606.100,     0.002330,     0.000171
  1606.150,    -0.018216,     0.000176
  1606.200,    -0.010559,     0.000732
  1606.250,    -0.002309,     0.001817
  1606.300,    -0.006741,    -0.001422
  1606.350,    -0.009582,    -0.004173
  1606.400,    -0.010530,    -0.001860
  1606.450,     0.016379,    -0.000089
  1606.500,    -0.002251,     0.000712
  1606.550,    -0.002109,     0.001494
  1606.600,     0.001005,     0.001529
  1606.650,     0.015911,     0.001583
  1606.700,     0.008590,     0.004018
  1606.750,     0.019316,    -0.002713
  1606.800,     0.020119,    -0.007349
  1606.850,     0.018968,    -0.001614
  1606.900,     0.032909,    -0.003013
  1606.950,     0.019137,    -0.005214
  1607.000,     0.014715,    -0.003393
  1607.050,     0.021896,    -0.000498
  1607.100,     0.027659,    -0.000652
  1607.150,     0.029730,    -0.001422
  1607.200,     0.037356,    -0.001039
  1607.250,     0.037737,    -0.002372
  1607.300,     0.023344,     0.002598
  1607.350,     0.013894,     0.006652
