Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.489567E-3,    -3.14159,  6.818399E-3,    -3.14159,  1.925380E-3,    -3.14159,          NaN,         NaN
     1.0,  5.094024E-3,    -2.80996,  1.373429E-2,    -2.98700,  4.768083E-3,    -3.68282,          NaN,         NaN
     2.0,  5.422389E-3,    -2.49670,  1.402566E-2,    -2.83319,  6.799432E-3,    -3.93139,          NaN,         NaN
     3.0,  5.924167E-3,    -2.21220,  1.450766E-2,    -2.68085,  9.201309E-3,    -4.01219,          NaN,         NaN
     4.0,  6.552677E-3,    -1.95796,  1.517504E-2,    -2.53044,  1.170277E-2,    -4.01926,          NaN,         NaN
     5.0,  7.266441E-3,    -1.73037,  1.602076E-2,    -2.38219,  1.420002E-2,    -3.99053,          NaN,         NaN
     6.0,  8.032882E-3,    -1.52433,  1.703619E-2,    -2.23611,  1.664061E-2,    -3.94226,          NaN,         NaN
     7.0,  8.827577E-3,    -1.33505,  1.821129E-2,    -2.09207,  1.899085E-2,    -3.88227,          NaN,         NaN
     8.0,  9.632301E-3,    -1.15861,  1.953476E-2,    -1.94980,  2.122540E-2,    -3.81475,          NaN,         NaN
     9.0,  1.043322E-2,    -0.99201,  2.099413E-2,    -1.80900,  2.332335E-2,    -3.74211,          NaN,         NaN
    10.0,  1.121957E-2,    -0.83294,  2.257591E-2,    -1.66936,  2.526662E-2,    -3.66582,          NaN,         NaN
    11.0,  1.198272E-2,    -0.67967,  2.426565E-2,    -1.53059,  2.703921E-2,    -3.58685,          NaN,         NaN
    12.0,  1.271560E-2,    -0.53087,  2.604807E-2,    -1.39242,  2.862687E-2,    -3.50583,          NaN,         NaN
    13.0,  1.341229E-2,    -0.38552,  2.790721E-2,    -1.25462,  3.001694E-2,    -3.42320,          NaN,         NaN
    14.0,  1.406776E-2,    -0.24282,  2.982657E-2,    -1.11699,  3.119826E-2,    -3.33928,          NaN,         NaN
    15.0,  1.467771E-2,    -0.10213,  3.178923E-2,    -0.97936,  3.216116E-2,    -3.25429,          NaN,         NaN
    16.0,  1.523847E-2,     0.03708,  3.377806E-2,    -0.84160,  3.289743E-2,    -3.16838,          NaN,         NaN
    17.0,  1.574692E-2,     0.17524,  3.577586E-2,    -0.70358,  3.340034E-2,    -3.08167,          NaN,         NaN
    18.0,  1.620044E-2,     0.31271,  3.776558E-2,    -0.56519,  3.366460E-2,    -2.99423,          NaN,         NaN
    19.0,  1.659693E-2,     0.44982,  3.973047E-2,    -0.42636,  3.368643E-2,    -2.90609,          NaN,         NaN
    20.0,  1.693472E-2,     0.58684,  4.165423E-2,    -0.28700,  3.346346E-2,    -2.81729,          NaN,         NaN
    21.0,  1.721267E-2,     0.72402,  4.352127E-2,    -0.14704,  3.299479E-2,    -2.72779,          NaN,         NaN
    22.0,  1.743007E-2,     0.86161,  4.531678E-2,    -0.00640,  3.228098E-2,    -2.63755,          NaN,         NaN
    23.0,  1.758673E-2,     0.99982,  4.702698E-2,     0.13498,  3.132398E-2,    -2.54651,          NaN,         NaN
    24.0,  1.768295E-2,     1.13888,  4.863921E-2,     0.27717,  3.012718E-2,    -2.45452,          NaN,         NaN
    25.0,  1.771953E-2,     1.27899,  5.014212E-2,     0.42023,  2.869534E-2,    -2.36142,          NaN,         NaN
    26.0,  1.769782E-2,     1.42038,  5.152575E-2,     0.56423,  2.703465E-2,    -2.26693,          NaN,         NaN
    27.0,  1.761969E-2,     1.56327,  5.278171E-2,     0.70924,  2.515271E-2,    -2.17066,          NaN,         NaN
    28.0,  1.748758E-2,     1.70789,  5.390324E-2,     0.85533,  2.305861E-2,    -2.07200,          NaN,         NaN
    29.0,  1.730450E-2,     1.85448,  5.488532E-2,     1.00257,  2.076306E-2,    -1.97002,          NaN,         NaN
    30.0,  1.707407E-2,     2.00330,  5.572471E-2,     1.15105,  1.827878E-2,    -1.86311,          NaN,         NaN
    31.0,  1.680050E-2,     2.15461,  5.642005E-2,     1.30083,  1.562128E-2,    -1.74843,          NaN,         NaN
    32.0,  1.648863E-2,     2.30871,  5.697186E-2,     1.45201,  1.281097E-2,    -1.62037,          NaN,         NaN
    33.0,  1.614395E-2,     2.46589,  5.738254E-2,     1.60467,  9.879367E-3,    -1.46614,          NaN,         NaN
    34.0,  1.577258E-2,     2.62646,  5.765640E-2,     1.75889,  6.892579E-3,    -1.24997,          NaN,         NaN
