Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.014369,     0.007615,     0.001149,
  1600.050,    -0.007692,    -0.004646,     0.002230,
  1600.100,    -0.008219,     0.011497,    -0.002098,
  1600.150,     0.003499,    -0.005388,    -0.002214,
  1600.200,    -0.001956,    -0.009079,     0.000933,
  1600.250,    -0.013239,    -0.022884,    -0.005454,
  1600.300,     0.001111,    -0.011605,    -0.000283,
  1600.350,    -0.000794,     0.000561,    -0.002387,
  1600.400,    -0.028239,     0.010459,    -0.000502,
  1600.450,    -0.014604,     0.008771,     0.002520,
  1600.500,    -0.021109,    -0.000034,     0.006604,
  1600.550,    -0.009433,    -0.009125,     0.000749,
  1600.600,    -0.014644,    -0.021215,     0.004875,
  1600.650,    -0.002075,    -0.028924,     0.008335,
  1600.700,     0.006554,    -0.024922,     0.009136,
  1600.750,    -0.038711,    -0.033412,     0.009003,
  1600.800,    -0.004406,    -0.027306,     0.010377,
  1600.850,    -0.029182,    -0.001638,     0.009943,
  1600.900,    -0.040000,    -0.017430,     0.008215,
  1600.950,    -0.028998,    -0.006954,     0.009402,
  1601.000,    -0.030610,    -0.025601,     0.011366,
  1601.050,    -0.046849,    -0.025349,     0.002868,
  1601.100,    -0.021290,    -0.009534,     0.012161,
  1601.150,    -0.031841,    -0.028449,     0.003199,
  1601.200,    -0.013490,    -0.018410,    -0.008462,
  1601.250,    -0.041134,    -0.022588,    -0.001267,
  1601.300,    -0.052618,    -0.037640,     0.003692,
  1601.350,    -0.042648,    -0.024145,     0.002520,
  1601.400,    -0.038013,    -0.019708,     0.001439,
  1601.450,    -0.054133,    -0.036830,     0.001056,
  1601.500,    -0.038603,    -0.020360,     0.003822,
  1601.550,    -0.039587,    -0.021295,     0.001865,
  1601.600,    -0.016497,    -0.019094,     0.001878,
  1601.650,    -0.024176,    -0.038961,    -0.000621,
  1601.700,    -0.002718,    -0.039712,     0.002243,
  1601.750,    -0.015127,    -0.046448,     0.008006,
  1601.800,    -0.015791,    -0.049859,     0.004624,
  1601.850,    -0.033671,    -0.056273,     0.013452,
  1601.900,    -0.002826,    -0.066449,     0.007799,
  1601.950,    -0.021589,    -0.072077,     0.004797,
  1602.000,    -0.020715,    -0.063971,     0.014929,
  1602.050,    -0.013078,    -0.049452,     0.007032,
  1602.100,    -0.032893,    -0.059367,     0.008674,
  1602.150,    -0.018424,    -0.063293,     0.008659,
  1602.200,    -0.017567,    -0.057947,     0.009698,
  1602.250,    -0.018339,    -0.047525,     0.003403,
  1602.300,    -0.017634,    -0.066134,     0.004557,
  1602.350,    -0.028015,    -0.074133,     0.000960,
  1602.400,    -0.013575,    -0.077379,    -0.001493,
  1602.450,    -0.025739,    -0.060169,    -0.005684,
  1602.500,    -0.028428,    -0.080268,    -0.002595,
  1602.550,    -0.025300,    -0.067907,    -0.003962,
  1602.600,    -0.031818,    -0.099132,    -0.003223,
  1602.650,    -0.030832,    -0.079462,    -0.000485,
  1602.700,    -0.021698,    -0.061615,    -0.003533,
  1602.750,    -0.018222,    -0.055587,     0.005678,
  1602.800,    -0.011833,    -0.049285,     0.004246,
