Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.004303,     0.007615,     0.002040,
  1600.050,     0.006687,    -0.004646,    -0.003384,
  1600.100,    -0.007298,     0.011497,    -0.001116,
  1600.150,     0.003509,    -0.005388,     0.001833,
  1600.200,    -0.007201,    -0.009079,     0.000626,
  1600.250,    -0.008515,    -0.022884,     0.003910,
  1600.300,    -0.006861,    -0.011605,     0.000110,
  1600.350,    -0.014907,     0.000561,     0.008150,
  1600.400,    -0.009573,     0.010459,     0.003281,
  1600.450,    -0.030638,     0.008771,    -0.000656,
  1600.500,    -0.019827,    -0.000034,     0.003858,
  1600.550,    -0.028730,    -0.009125,    -0.003473,
  1600.600,    -0.014131,    -0.021215,    -0.001511,
  1600.650,    -0.032232,    -0.028924,     0.001403,
  1600.700,    -0.030481,    -0.024922,    -0.000134,
  1600.750,    -0.034316,    -0.033412,    -0.003138,
  1600.800,    -0.033722,    -0.027306,     0.000254,
  1600.850,    -0.036457,    -0.001638,    -0.000176,
  1600.900,    -0.031390,    -0.017430,     0.002645,
  1600.950,    -0.030287,    -0.006954,     0.002096,
  1601.000,    -0.030705,    -0.025601,    -0.003269,
  1601.050,    -0.028926,    -0.025349,     0.009757,
  1601.100,    -0.032250,    -0.009534,    -0.006745,
  1601.150,    -0.035875,    -0.028449,     0.002037,
  1601.200,    -0.057086,    -0.018410,     0.005804,
  1601.250,    -0.056198,    -0.022588,     0.004851,
  1601.300,    -0.051090,    -0.037640,    -0.002155,
  1601.350,    -0.050054,    -0.024145,    -0.002587,
  1601.400,    -0.059864,    -0.019708,    -0.000269,
  1601.450,    -0.083189,    -0.036830,     0.005906,
  1601.500,    -0.060468,    -0.020360,     0.001530,
  1601.550,    -0.062061,    -0.021295,     0.004752,
  1601.600,    -0.068699,    -0.019094,     0.001333,
  1601.650,    -0.047887,    -0.038961,     0.007653,
  1601.700,    -0.052375,    -0.039712,     0.004395,
  1601.750,    -0.066533,    -0.046448,     0.006792,
  1601.800,    -0.084345,    -0.049859,     0.008713,
  1601.850,    -0.056836,    -0.056273,    -0.005812,
  1601.900,    -0.059889,    -0.066449,    -0.001232,
  1601.950,    -0.072582,    -0.072077,     0.002069,
  1602.000,    -0.085712,    -0.063971,     0.003045,
  1602.050,    -0.064564,    -0.049452,    -0.003308,
  1602.100,    -0.073747,    -0.059367,     0.003161,
  1602.150,    -0.073337,    -0.063293,    -0.003702,
  1602.200,    -0.086969,    -0.057947,    -0.003071,
  1602.250,    -0.086319,    -0.047525,    -0.000817,
  1602.300,    -0.090847,    -0.066134,    -0.003086,
