Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  6.994409E-3,    -3.14159,  6.818399E-3,    -3.14159,  1.400152E-3,    -0.00000,          NaN,         NaN
     1.0,  1.408800E-2,    -2.98734,  1.373429E-2,    -2.98700,  3.012675E-3,    -0.29909,          NaN,         NaN
     2.0,  1.438444E-2,    -2.83387,  1.402566E-2,    -2.83319,  3.567764E-3,    -0.51125,          NaN,         NaN
     3.0,  1.487485E-2,    -2.68182,  1.450766E-2,    -2.68085,  4.318573E-3,    -0.63029,          NaN,         NaN
     4.0,  1.555390E-2,    -2.53167,  1.517504E-2,    -2.53044,  5.157343E-3,    -0.68457,          NaN,         NaN
     5.0,  1.641446E-2,    -2.38362,  1.602076E-2,    -2.38219,  6.020991E-3,    -0.69846,          NaN,         NaN
     6.0,  1.744777E-2,    -2.23771,  1.703619E-2,    -2.23611,  6.872267E-3,    -0.68736,          NaN,         NaN
     7.0,  1.864364E-2,    -2.09378,  1.821129E-2,    -2.09207,  7.687442E-3,    -0.66052,          NaN,         NaN
     8.0,  1.999056E-2,    -1.95160,  1.953476E-2,    -1.94980,  8.450292E-3,    -0.62369,          NaN,         NaN
     9.0,  2.147586E-2,    -1.81087,  2.099413E-2,    -1.80900,  9.149299E-3,    -0.58060,          NaN,         NaN
    10.0,  2.308580E-2,    -1.67128,  2.257591E-2,    -1.66936,  9.776348E-3,    -0.53383,          NaN,         NaN
    11.0,  2.480567E-2,    -1.53255,  2.426565E-2,    -1.53059,  1.032615E-2,    -0.48525,          NaN,         NaN
    12.0,  2.661993E-2,    -1.39441,  2.604807E-2,    -1.39242,  1.079600E-2,    -0.43632,          NaN,         NaN
    13.0,  2.851231E-2,    -1.25663,  2.790721E-2,    -1.25462,  1.118575E-2,    -0.38827,          NaN,         NaN
    14.0,  3.046601E-2,    -1.11903,  2.982657E-2,    -1.11699,  1.149791E-2,    -0.34214,          NaN,         NaN
    15.0,  3.246379E-2,    -0.98143,  3.178923E-2,    -0.97936,  1.173769E-2,    -0.29887,          NaN,         NaN
    16.0,  3.448821E-2,    -0.84369,  3.377806E-2,    -0.84160,  1.191324E-2,    -0.25933,          NaN,         NaN
    17.0,  3.652177E-2,    -0.70570,  3.577586E-2,    -0.70358,  1.203570E-2,    -0.22429,          NaN,         NaN
    18.0,  3.854707E-2,    -0.56736,  3.776558E-2,    -0.56519,  1.211927E-2,    -0.19438,          NaN,         NaN
    19.0,  4.054704E-2,    -0.42857,  3.973047E-2,    -0.42636,  1.218111E-2,    -0.17007,          NaN,         NaN
    20.0,  4.250511E-2,    -0.28926,  4.165423E-2,    -0.28700,  1.224094E-2,    -0.15153,          NaN,         NaN
    21.0,  4.440534E-2,    -0.14935,  4.352127E-2,    -0.14704,  1.232033E-2,    -0.13856,          NaN,         NaN
    22.0,  4.623268E-2,    -0.00877,  4.531678E-2,    -0.00640,  1.244152E-2,    -0.13048,          NaN,         NaN
    23.0,  4.797303E-2,     0.13254,  4.702698E-2,     0.13498,  1.262584E-2,    -0.12610,          NaN,         NaN
    24.0,  4.961350E-2,     0.27465,  4.863921E-2,     0.27717,  1.289175E-2,    -0.12374,          NaN,         NaN
    25.0,  5.114247E-2,     0.41762,  5.014212E-2,     0.42023,  1.325309E-2,    -0.12141,          NaN,         NaN
    26.0,  5.254980E-2,     0.56153,  5.152575E-2,     0.56423,  1.371762E-2,    -0.11698,          NaN,         NaN
    27.0,  5.382688E-2,     0.70643,  5.278171E-2,     0.70924,  1.428645E-2,    -0.10853,          NaN,         NaN
    28.0,  5.496678E-2,     0.85241,  5.390324E-2,     0.85533,  1.495429E-2,    -0.09447,          NaN,         NaN
    29.0,  5.596431E-2,     0.99953,  5.488532E-2,     1.00257,  1.571040E-2,    -0.07370,          NaN,         NaN
    30.0,  5.681614E-2,     1.14787,  5.572471E-2,     1.15105,  1.653993E-2,    -0.04560,          NaN,         NaN
    31.0,  5.752078E-2,     1.29751,  5.642005E-2,     1.30083,  1.742531E-2,    -0.01000,          NaN,         NaN
    32.0,  5.807868E-2,     1.44853,  5.697186E-2,     1.45201,  1.834750E-2,     0.03300,          NaN,         NaN
    33.0,  5.849221E-2,     1.60102,  5.738254E-2,     1.60467,  1.928693E-2,     0.08307,          NaN,         NaN
    34.0,  5.876564E-2,     1.75506,  5.765640E-2,     1.75889,  2.022422E-2,     0.13977,          NaN,         NaN
    35.0,  5.890513E-2,     1.91074,  5.779958E-2,     1.91476,  2.114063E-2,     0.20264,          NaN,         NaN
    36.0,  5.891864E-2,     2.06813,  5.782002E-2,     2.07236,  2.201839E-2,     0.27120,          NaN,         NaN
    37.0,  5.881585E-2,     2.22733,  5.772735E-2,     2.23177,  2.284094E-2,     0.34500,          NaN,         NaN
    38.0,  5.860806E-2,     2.38840,  5.753276E-2,     2.39307,  2.359302E-2,     0.42369,          NaN,         NaN
    39.0,  5.830796E-2,     2.55141,  5.724885E-2,     2.55631,  2.426083E-2,     0.50692,          NaN,         NaN
    40.0,  5.792951E-2,     2.71640,  5.688944E-2,     2.72154,  2.483210E-2,     0.59445,          NaN,         NaN
    41.0,  5.748765E-2,     2.88341,  5.646930E-2,     2.88879,  2.529620E-2,     0.68611,          NaN,         NaN
    42.0,  5.699804E-2,     3.05244,  5.600388E-2,     3.05806,  2.564419E-2,     0.78176,          NaN,         NaN
    43.0,  5.647671E-2,     3.22348,  5.550903E-2,     3.22933,  2.586897E-2,     0.88137,          NaN,         NaN
    44.0,  5.593975E-2,     3.39648,  5.500054E-2,     3.40255,  2.596536E-2,     0.98498,          NaN,         NaN
    45.0,  5.540286E-2,     3.57133,  5.449384E-2,     3.57761,  2.593028E-2,     1.09270,          NaN,         NaN
    46.0,  5.488093E-2,     3.74793,  5.400352E-2,     3.75439,  2.576287E-2,     1.20472,          NaN,         NaN
    47.0,  5.438766E-2,     3.92608,  5.354293E-2,     3.93270,  2.546472E-2,     1.32135,          NaN,         NaN
    48.0,  5.393510E-2,     4.10559,  5.312378E-2,     4.11232,  2.504013E-2,     1.44299,          NaN,         NaN
    49.0,  5.353331E-2,     4.28619,  5.275573E-2,     4.29300,  2.449642E-2,     1.57018,          NaN,         NaN
    50.0,  5.319000E-2,     4.46762,  5.244614E-2,     4.47445,  2.384438E-2,     1.70360,          NaN,         NaN
    51.0,  5.291037E-2,     4.64956,  5.219982E-2,     4.65636,  2.309877E-2,     1.84408,          NaN,         NaN
    52.0,  5.269693E-2,     4.83169,  5.201896E-2,     4.83841,  2.227900E-2,     1.99263,          NaN,         NaN
    53.0,  5.254954E-2,     5.01369,  5.190310E-2,     5.02027,  2.140993E-2,     2.15044,          NaN,         NaN
    54.0,  5.246557E-2,     5.19526,  5.184932E-2,     5.20165,  2.052278E-2,     2.31880,          NaN,         NaN
    55.0,  5.244005E-2,     5.37611,  5.185245E-2,     5.38226,  1.965585E-2,     2.49901,          NaN,         NaN
    56.0,  5.246610E-2,     5.55597,  5.190544E-2,     5.56184,  1.885498E-2,     2.69218,          NaN,         NaN
    57.0,  5.253526E-2,     5.73465,  5.199973E-2,     5.74017,  1.817273E-2,     2.89881,          NaN,         NaN
    58.0,  5.263799E-2,     5.91195,  5.212573E-2,     5.91710,  1.766575E-2,     3.11833,          NaN,         NaN
    59.0,  5.276406E-2,     6.08774,  5.227320E-2,     6.09250,  1.738925E-2,     3.34862,          NaN,         NaN
    60.0,  5.290304E-2,     6.26195,  5.243173E-2,     6.26628,  1.738910E-2,     3.58586,          NaN,         NaN
    61.0,  5.304463E-2,     6.43451,  5.259112E-2,     6.43840,  1.769342E-2,     3.82491,          NaN,         NaN
    62.0,  5.317909E-2,     6.60543,  5.274169E-2,     6.60886,  1.830725E-2,     4.06039,          NaN,         NaN
    63.0,  5.329744E-2,     6.77473,  5.287458E-2,     6.77768,  1.921272E-2,     4.28780,          NaN,         NaN
    64.0,  5.339177E-2,     6.94244,  5.298197E-2,     6.94491,  2.037453E-2,     4.50426,          NaN,         NaN
    65.0,  5.345537E-2,     7.10866,  5.305725E-2,     7.11064,  2.174746E-2,     4.70858,          NaN,         NaN
    66.0,  5.348282E-2,     7.27345,  5.309510E-2,     7.27495,  2.328318E-2,     4.90088,          NaN,         NaN
    67.0,  5.347014E-2,     7.43694,  5.309160E-2,     7.43795,  2.493472E-2,     5.08210,          NaN,         NaN
    68.0,  5.341472E-2,     7.59923,  5.304421E-2,     7.59975,  2.665882E-2,     5.25353,          NaN,         NaN
    69.0,  5.331537E-2,     7.76045,  5.295179E-2,     7.76047,  2.841666E-2,     5.41657,          NaN,         NaN
    70.0,  5.317229E-2,     7.92072,  5.281453E-2,     7.92025,  3.017384E-2,     5.57252,          NaN,         NaN
    71.0,  5.298694E-2,     8.08016,  5.263391E-2,     8.07921,  3.189994E-2,     5.72256,          NaN,         NaN
    72.0,  5.276202E-2,     8.23891,  5.241262E-2,     8.23748,  3.356812E-2,     5.86772,          NaN,         NaN
    73.0,  5.250134E-2,     8.39709,  5.215443E-2,     8.39519,  3.515461E-2,     6.00886,          NaN,         NaN
    74.0,  5.220970E-2,     8.55482,  5.186410E-2,     8.55246,  3.663837E-2,     6.14672,          NaN,         NaN
    75.0,  5.189280E-2,     8.71222,  5.154729E-2,     8.70940,  3.800086E-2,     6.28193,          NaN,         NaN
    76.0,  5.155708E-2,     8.86941,  5.121037E-2,     8.86615,  3.922578E-2,     6.41501,          NaN,         NaN
    77.0,  5.120960E-2,     9.02649,  5.086036E-2,     9.02280,  4.029902E-2,     6.54642,          NaN,         NaN
    78.0,  5.085792E-2,     9.18356,  5.050473E-2,     9.17945,  4.120853E-2,     6.67656,          NaN,         NaN
    79.0,  5.050992E-2,     9.34070,  5.015134E-2,     9.33620,  4.194426E-2,     6.80579,          NaN,         NaN
    80.0,  5.017370E-2,     9.49800,  4.980822E-2,     9.49312,  4.249822E-2,     6.93441,          NaN,         NaN
    81.0,  4.985742E-2,     9.65550,  4.948352E-2,     9.65028,  4.286438E-2,     7.06274,          NaN,         NaN
    82.0,  4.956916E-2,     9.81327,  4.918530E-2,     9.80773,  4.303876E-2,     7.19103,          NaN,         NaN
    83.0,  4.931679E-2,     9.97134,  4.892144E-2,     9.96552,  4.301943E-2,     7.31958,          NaN,         NaN
    84.0,  4.910785E-2,    10.12972,  4.869952E-2,    10.12366,  4.280650E-2,     7.44864,          NaN,         NaN
    85.0,  4.894939E-2,    10.28842,  4.852664E-2,    10.28217,  4.240223E-2,     7.57851,          NaN,         NaN
    86.0,  4.884788E-2,    10.44743,  4.840936E-2,    10.44103,  4.181098E-2,     7.70947,          NaN,         NaN
    87.0,  4.880910E-2,    10.60672,  4.835356E-2,    10.60022,  4.103931E-2,     7.84186,          NaN,         NaN
    88.0,  4.883804E-2,    10.76626,  4.836437E-2,    10.75971,  4.009605E-2,     7.97602,          NaN,         NaN
    89.0,  4.893881E-2,    10.92599,  4.844606E-2,    10.91945,  3.899230E-2,     8.11235,          NaN,         NaN
    90.0,  4.911460E-2,    11.08586,  4.860199E-2,    11.07938,  3.774159E-2,     8.25132,          NaN,         NaN
    91.0,  4.936762E-2,    11.24582,  4.883456E-2,    11.23945,  3.635997E-2,     8.39346,          NaN,         NaN
    92.0,  4.969910E-2,    11.40579,  4.914519E-2,    11.39958,  3.486618E-2,     8.53937,          NaN,         NaN
    93.0,  5.010927E-2,    11.56574,  4.953433E-2,    11.55973,  3.328186E-2,     8.68977,          NaN,         NaN
    94.0,  5.059741E-2,    11.72559,  5.000144E-2,    11.71984,  3.163179E-2,     8.84549,          NaN,         NaN
    95.0,  5.116187E-2,    11.88532,  5.054507E-2,    11.87985,  2.994427E-2,     9.00748,          NaN,         NaN
    96.0,  5.180014E-2,    12.04488,  5.116291E-2,    12.03973,  2.825140E-2,     9.17682,          NaN,         NaN
    97.0,  5.250894E-2,    12.20426,  5.185183E-2,    12.19945,  2.658945E-2,     9.35465,          NaN,         NaN
    98.0,  5.328430E-2,    12.36345,  5.260803E-2,    12.35899,  2.499894E-2,     9.54211,          NaN,         NaN
    99.0,  5.412165E-2,    12.52245,  5.342708E-2,    12.51837,  2.352426E-2,     9.74017,          NaN,         NaN
   100.0,  5.501594E-2,    12.68129,  5.430404E-2,    12.67758,  2.221239E-2,     9.94938,          NaN,         NaN
   101.0,  5.596176E-2,    12.83998,  5.523360E-2,    12.83665,  2.111008E-2,    10.16948,          NaN,         NaN
   102.0,  5.695342E-2,    12.99858,  5.621017E-2,    12.99562,  2.025923E-2,    10.39908,          NaN,         NaN
   103.0,  5.798512E-2,    13.15714,  5.722798E-2,    13.15454,  1.969065E-2,    10.63544,          NaN,         NaN
   104.0,  5.905101E-2,    13.31570,  5.828122E-2,    13.31346,  1.941785E-2,    10.87463,          NaN,         NaN
   105.0,  6.014533E-2,    13.47434,  5.936416E-2,    13.47243,  1.943314E-2,    11.11219,          NaN,         NaN
   106.0,  6.126249E-2,    13.63312,  6.047120E-2,    13.63153,  1.970814E-2,    11.34396,          NaN,         NaN
