Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.233214E-3,    -3.14159,  6.818399E-3,    -3.14159,  1.467841E-2,    -3.14159,          NaN,         NaN
     1.0,  6.642575E-3,    -2.78844,  1.373429E-2,    -2.98700,  2.925186E-2,    -3.05265,          NaN,         NaN
     2.0,  7.142198E-3,    -2.45834,  1.402566E-2,    -2.83319,  2.893761E-2,    -2.96380,          NaN,         NaN
     3.0,  7.896619E-3,    -2.16303,  1.450766E-2,    -2.68085,  2.841586E-2,    -2.87517,          NaN,         NaN
     4.0,  8.829698E-3,    -1.90268,  1.517504E-2,    -2.53044,  2.768964E-2,    -2.78687,          NaN,         NaN
     5.0,  9.877306E-3,    -1.67180,  1.602076E-2,    -2.38219,  2.676318E-2,    -2.69906,          NaN,         NaN
     6.0,  1.099136E-2,    -1.46391,  1.703619E-2,    -2.23611,  2.564198E-2,    -2.61194,          NaN,         NaN
     7.0,  1.213705E-2,    -1.27339,  1.821129E-2,    -2.09207,  2.433279E-2,    -2.52578,          NaN,         NaN
     8.0,  1.328903E-2,    -1.09590,  1.953476E-2,    -1.94980,  2.284370E-2,    -2.44094,          NaN,         NaN
     9.0,  1.442835E-2,    -0.92820,  2.099413E-2,    -1.80900,  2.118420E-2,    -2.35795,          NaN,         NaN
    10.0,  1.554041E-2,    -0.76792,  2.257591E-2,    -1.66936,  1.936533E-2,    -2.27761,          NaN,         NaN
    11.0,  1.661361E-2,    -0.61328,  2.426565E-2,    -1.53059,  1.739990E-2,    -2.20114,          NaN,         NaN
    12.0,  1.763846E-2,    -0.46297,  2.604807E-2,    -1.39242,  1.530307E-2,    -2.13054,          NaN,         NaN
    13.0,  1.860713E-2,    -0.31596,  2.790721E-2,    -1.25462,  1.309340E-2,    -2.06934,          NaN,         NaN
    14.0,  1.951301E-2,    -0.17147,  2.982657E-2,    -1.11699,  1.079555E-2,    -2.02428,          NaN,         NaN
    15.0,  2.035055E-2,    -0.02888,  3.178923E-2,    -0.97936,  8.447629E-3,    -2.00978,          NaN,         NaN
    16.0,  2.111508E-2,     0.11233,  3.377806E-2,    -0.84160,  6.125821E-3,    -2.06204,          NaN,         NaN
    17.0,  2.180278E-2,     0.25256,  3.577586E-2,    -0.70358,  4.048276E-3,    -2.28760,          NaN,         NaN
    18.0,  2.241055E-2,     0.39219,  3.776558E-2,    -0.56519,  2.996922E-3,    -2.91012,          NaN,         NaN
    19.0,  2.293604E-2,     0.53152,  3.973047E-2,    -0.42636,  3.996396E-3,    -3.55356,          NaN,         NaN
    20.0,  2.337758E-2,     0.67081,  4.165423E-2,    -0.28700,  6.134249E-3,    -3.79306,          NaN,         NaN
    21.0,  2.373423E-2,     0.81033,  4.352127E-2,    -0.14704,  8.591324E-3,    -3.84883,          NaN,         NaN
    22.0,  2.400573E-2,     0.95030,  4.531678E-2,    -0.00640,  1.113316E-2,    -3.83389,          NaN,         NaN
    23.0,  2.419254E-2,     1.09094,  4.702698E-2,     0.13498,  1.367647E-2,    -3.78640,          NaN,         NaN
    24.0,  2.429582E-2,     1.23248,  4.863921E-2,     0.27717,  1.617739E-2,    -3.72149,          NaN,         NaN
    25.0,  2.431748E-2,     1.37512,  5.014212E-2,     0.42023,  1.860524E-2,    -3.64616,          NaN,         NaN
    26.0,  2.426013E-2,     1.51909,  5.152575E-2,     0.56423,  2.093494E-2,    -3.56404,          NaN,         NaN
    27.0,  2.412716E-2,     1.66460,  5.278171E-2,     0.70924,  2.314429E-2,    -3.47722,          NaN,         NaN
    28.0,  2.392270E-2,     1.81189,  5.390324E-2,     0.85533,  2.521298E-2,    -3.38697,          NaN,         NaN
    29.0,  2.365166E-2,     1.96120,  5.488532E-2,     1.00257,  2.712220E-2,    -3.29411,          NaN,         NaN
    30.0,  2.331975E-2,     2.11278,  5.572471E-2,     1.15105,  2.885454E-2,    -3.19919,          NaN,         NaN
    31.0,  2.293344E-2,     2.26689,  5.642005E-2,     1.30083,  3.039398E-2,    -3.10261,          NaN,         NaN
    32.0,  2.250004E-2,     2.42381,  5.697186E-2,     1.45201,  3.172600E-2,    -3.00465,          NaN,         NaN
    33.0,  2.202761E-2,     2.58380,  5.738254E-2,     1.60467,  3.283767E-2,    -2.90553,          NaN,         NaN
    34.0,  2.152502E-2,     2.74717,  5.765640E-2,     1.75889,  3.371775E-2,    -2.80543,          NaN,         NaN
    35.0,  2.100188E-2,     2.91418,  5.779958E-2,     1.91476,  3.435683E-2,    -2.70448,          NaN,         NaN
    36.0,  2.046846E-2,     3.08509,  5.782002E-2,     2.07236,  3.474742E-2,    -2.60281,          NaN,         NaN
    37.0,  1.993564E-2,     3.26012,  5.772735E-2,     2.23177,  3.488407E-2,    -2.50053,          NaN,         NaN
    38.0,  1.941470E-2,     3.43944,  5.753276E-2,     2.39307,  3.476342E-2,    -2.39776,          NaN,         NaN
    39.0,  1.891713E-2,     3.62314,  5.724885E-2,     2.55631,  3.438433E-2,    -2.29461,          NaN,         NaN
    40.0,  1.845433E-2,     3.81119,  5.688944E-2,     2.72154,  3.374786E-2,    -2.19121,          NaN,         NaN
    41.0,  1.803719E-2,     4.00342,  5.646930E-2,     2.88879,  3.285738E-2,    -2.08769,          NaN,         NaN
    42.0,  1.767568E-2,     4.19950,  5.600388E-2,     3.05806,  3.171853E-2,    -1.98426,          NaN,         NaN
    43.0,  1.737829E-2,     4.39894,  5.550903E-2,     3.22933,  3.033927E-2,    -1.88113,          NaN,         NaN
    44.0,  1.715155E-2,     4.60108,  5.500054E-2,     3.40255,  2.872987E-2,    -1.77863,          NaN,         NaN
