Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  5.607805E-3,    -3.14159,          NaN,         NaN,  1.487912E-3,    -0.00000,          NaN,         NaN
     1.0,  1.668664E-2,    -3.82503,          NaN,         NaN,  4.781302E-3,    -0.73863,          NaN,         NaN
     2.0,  2.692547E-2,    -3.98249,          NaN,         NaN,  7.988686E-3,    -0.86869,          NaN,         NaN
     3.0,  3.784305E-2,    -3.96186,          NaN,         NaN,  1.134249E-2,    -0.82561,          NaN,         NaN
     4.0,  4.845036E-2,    -3.88068,          NaN,         NaN,  1.457863E-2,    -0.72727,          NaN,         NaN
     5.0,  5.834393E-2,    -3.77365,          NaN,         NaN,  1.758784E-2,    -0.60607,          NaN,         NaN
     6.0,  6.727395E-2,    -3.65401,          NaN,         NaN,  2.030075E-2,    -0.47411,          NaN,         NaN
     7.0,  7.505921E-2,    -3.52798,          NaN,         NaN,  2.266718E-2,    -0.33707,          NaN,         NaN
     8.0,  8.156562E-2,    -3.39899,          NaN,         NaN,  2.465124E-2,    -0.19812,          NaN,         NaN
     9.0,  8.670022E-2,    -3.26921,          NaN,         NaN,  2.623026E-2,    -0.05931,          NaN,         NaN
    10.0,  9.040984E-2,    -3.14024,          NaN,         NaN,  2.739460E-2,     0.07784,          NaN,         NaN
    11.0,  9.268090E-2,    -3.01339,          NaN,         NaN,  2.814767E-2,     0.21207,          NaN,         NaN
    12.0,  9.353944E-2,    -2.88990,          NaN,         NaN,  2.850577E-2,     0.34220,          NaN,         NaN
    13.0,  9.305118E-2,    -2.77107,          NaN,         NaN,  2.849775E-2,     0.46710,          NaN,         NaN
    14.0,  9.132142E-2,    -2.65830,          NaN,         NaN,  2.816423E-2,     0.58560,          NaN,         NaN
    15.0,  8.849530E-2,    -2.55325,          NaN,         NaN,  2.755657E-2,     0.69655,          NaN,         NaN
    16.0,  8.475853E-2,    -2.45786,          NaN,         NaN,  2.673520E-2,     0.79880,          NaN,         NaN
    17.0,  8.033889E-2,    -2.37445,          NaN,         NaN,  2.576731E-2,     0.89131,          NaN,         NaN
    18.0,  7.550850E-2,    -2.30569,          NaN,         NaN,  2.472373E-2,     0.97328,          NaN,         NaN
    19.0,  7.058553E-2,    -2.25442,          NaN,         NaN,  2.367463E-2,     1.04435,          NaN,         NaN
    20.0,  6.593162E-2,    -2.22317,          NaN,         NaN,  2.268412E-2,     1.10483,          NaN,         NaN
    21.0,  6.193692E-2,    -2.21313,          NaN,         NaN,  2.180411E-2,     1.15584,          NaN,         NaN
    22.0,  5.898101E-2,    -2.22264,          NaN,         NaN,  2.106842E-2,     1.19933,          NaN,         NaN
    23.0,  5.736338E-2,    -2.24597,          NaN,         NaN,  2.048896E-2,     1.23787,          NaN,         NaN
    24.0,  5.722155E-2,    -2.27366,          NaN,         NaN,  2.005551E-2,     1.27415,          NaN,         NaN
    25.0,  5.848417E-2,    -2.29522,          NaN,         NaN,  1.973985E-2,     1.31048,          NaN,         NaN
    26.0,  6.089667E-2,    -2.30255,          NaN,         NaN,  1.950333E-2,     1.34830,          NaN,         NaN
    27.0,  6.410256E-2,    -2.29172,          NaN,         NaN,  1.930555E-2,     1.38807,          NaN,         NaN
    28.0,  6.772790E-2,    -2.26247,          NaN,         NaN,  1.911238E-2,     1.42929,          NaN,         NaN
    29.0,  7.143461E-2,    -2.21669,          NaN,         NaN,  1.890178E-2,     1.47076,          NaN,         NaN
    30.0,  7.494116E-2,    -2.15715,          NaN,         NaN,  1.866711E-2,     1.51090,          NaN,         NaN
    31.0,  7.802399E-2,    -2.08670,          NaN,         NaN,  1.841814E-2,     1.54804,          NaN,         NaN
    32.0,  8.051122E-2,    -2.00793,          NaN,         NaN,  1.817959E-2,     1.58083,          NaN,         NaN
    33.0,  8.227522E-2,    -1.92313,          NaN,         NaN,  1.798753E-2,     1.60861,          NaN,         NaN
    34.0,  8.322648E-2,    -1.83430,          NaN,         NaN,  1.788332E-2,     1.63171,          NaN,         NaN
    35.0,  8.330965E-2,    -1.74329,          NaN,         NaN,  1.790554E-2,     1.65165,          NaN,         NaN
    36.0,  8.250170E-2,    -1.65186,          NaN,         NaN,  1.808149E-2,     1.67100,          NaN,         NaN
    37.0,  8.081202E-2,    -1.56183,          NaN,         NaN,  1.842025E-2,     1.69286,          NaN,         NaN
    38.0,  7.828458E-2,    -1.47523,          NaN,         NaN,  1.890977E-2,     1.72024,          NaN,         NaN
    39.0,  7.500198E-2,    -1.39440,          NaN,         NaN,  1.951876E-2,     1.75535,          NaN,         NaN
    40.0,  7.109197E-2,    -1.32214,          NaN,         NaN,  2.020230E-2,     1.79935,          NaN,         NaN
    41.0,  6.673639E-2,    -1.26187,          NaN,         NaN,  2.090895E-2,     1.85232,          NaN,         NaN
    42.0,  6.218236E-2,    -1.21759,          NaN,         NaN,  2.158739E-2,     1.91351,          NaN,         NaN
    43.0,  5.775279E-2,    -1.19352,          NaN,         NaN,  2.219157E-2,     1.98159,          NaN,         NaN
    44.0,  5.384738E-2,    -1.19300,          NaN,         NaN,  2.268428E-2,     2.05494,          NaN,         NaN
    45.0,  5.091428E-2,    -1.21621,          NaN,         NaN,  2.303919E-2,     2.13180,          NaN,         NaN
    46.0,  4.936744E-2,    -1.25740,          NaN,         NaN,  2.324201E-2,     2.21042,          NaN,         NaN
    47.0,  4.945342E-2,    -1.30412,          NaN,         NaN,  2.329071E-2,     2.28909,          NaN,         NaN
    48.0,  5.114075E-2,    -1.34111,          NaN,         NaN,  2.319521E-2,     2.36622,          NaN,         NaN
    49.0,  5.412538E-2,    -1.35669,          NaN,         NaN,  2.297623E-2,     2.44042,          NaN,         NaN
    50.0,  5.794551E-2,    -1.34601,          NaN,         NaN,  2.266360E-2,     2.51054,          NaN,         NaN
