Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.723990E-3,    -3.14159,          NaN,         NaN,  1.172980E-3,    -0.00000,          NaN,         NaN
     1.0,  7.269777E-3,    -3.72550,          NaN,         NaN,  2.393165E-3,    -0.05499,          NaN,         NaN
     2.0,  1.102477E-2,    -3.91613,          NaN,         NaN,  2.527622E-3,    -0.09373,          NaN,         NaN
     3.0,  1.527630E-2,    -3.92883,          NaN,         NaN,  2.731363E-3,    -0.10662,          NaN,         NaN
     4.0,  1.960636E-2,    -3.87262,          NaN,         NaN,  2.982647E-3,    -0.09179,          NaN,         NaN
     5.0,  2.386285E-2,    -3.78488,          NaN,         NaN,  3.261205E-3,    -0.05216,          NaN,         NaN
     6.0,  2.796540E-2,    -3.68055,          NaN,         NaN,  3.550265E-3,     0.00772,          NaN,         NaN
     7.0,  3.185942E-2,    -3.56664,          NaN,         NaN,  3.836598E-3,     0.08335,          NaN,         NaN
     8.0,  3.550259E-2,    -3.44687,          NaN,         NaN,  4.109896E-3,     0.17093,          NaN,         NaN
     9.0,  3.886014E-2,    -3.32339,          NaN,         NaN,  4.362112E-3,     0.26739,          NaN,         NaN
    10.0,  4.190306E-2,    -3.19757,          NaN,         NaN,  4.586946E-3,     0.37032,          NaN,         NaN
    11.0,  4.460743E-2,    -3.07033,          NaN,         NaN,  4.779505E-3,     0.47777,          NaN,         NaN
    12.0,  4.695411E-2,    -2.94235,          NaN,         NaN,  4.936078E-3,     0.58817,          NaN,         NaN
    13.0,  4.892877E-2,    -2.81413,          NaN,         NaN,  5.054011E-3,     0.70019,          NaN,         NaN
    14.0,  5.052185E-2,    -2.68611,          NaN,         NaN,  5.131642E-3,     0.81265,          NaN,         NaN
    15.0,  5.172860E-2,    -2.55867,          NaN,         NaN,  5.168284E-3,     0.92444,          NaN,         NaN
    16.0,  5.254918E-2,    -2.43216,          NaN,         NaN,  5.164246E-3,     1.03450,          NaN,         NaN
    17.0,  5.298862E-2,    -2.30693,          NaN,         NaN,  5.120881E-3,     1.14172,          NaN,         NaN
    18.0,  5.305686E-2,    -2.18334,          NaN,         NaN,  5.040667E-3,     1.24494,          NaN,         NaN
    19.0,  5.276873E-2,    -2.06175,          NaN,         NaN,  4.927324E-3,     1.34287,          NaN,         NaN
    20.0,  5.214396E-2,    -1.94260,          NaN,         NaN,  4.785960E-3,     1.43408,          NaN,         NaN
    21.0,  5.120711E-2,    -1.82634,          NaN,         NaN,  4.623251E-3,     1.51700,          NaN,         NaN
    22.0,  4.998761E-2,    -1.71348,          NaN,         NaN,  4.447636E-3,     1.58996,          NaN,         NaN
    23.0,  4.851969E-2,    -1.60463,          NaN,         NaN,  4.269473E-3,     1.65130,          NaN,         NaN
    24.0,  4.684244E-2,    -1.50043,          NaN,         NaN,  4.101057E-3,     1.69968,          NaN,         NaN
    25.0,  4.499982E-2,    -1.40165,          NaN,         NaN,  3.956300E-3,     1.73445,          NaN,         NaN
    26.0,  4.304066E-2,    -1.30910,          NaN,         NaN,  3.849832E-3,     1.75633,          NaN,         NaN
    27.0,  4.101856E-2,    -1.22366,          NaN,         NaN,  3.795338E-3,     1.76788,          NaN,         NaN
