Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.000160,    -0.001647
  1610.050,    -0.003439,    -0.000634
  1610.100,    -0.000070,     0.000417
  1610.150,     0.003189,     0.000209
  1610.200,     0.000160,     0.001655
  1610.250,     0.002875,     0.003176
  1610.300,     0.000938,     0.005608
  1610.350,    -0.002180,     0.007613
  1610.400,    -0.003204,     0.007070
  1610.450,     0.001242,     0.007028
  1610.500,    -0.007819,     0.005329
  1610.550,    -0.011907,     0.004684
  1610.600,    -0.027436,     0.002983
  1610.650,    -0.036091,     0.003704
  1610.700,    -0.048327,     0.000335
  1610.750,    -0.055323,    -0.000213
  1610.800,    -0.049821,     0.001391
  1610.850,    -0.059034,    -0.001362
  1610.900,    -0.053207,     0.000373
  1610.950,    -0.057479,     0.000166
  1611.000,    -0.059779,     0.002639
  1611.050,    -0.049556,     0.002739
  1611.100,    -0.059369,     0.006164
  1611.150,    -0.053030,     0.003110
  1611.200,    -0.064504,     0.007968
  1611.250,    -0.063642,     0.005292
  1611.300,    -0.077193,     0.006826
  1611.350,    -0.077696,     0.004879
  1611.400,    -0.091306,     0.005249
  1611.450,    -0.096502,     0.005618
  1611.500,    -0.096404,     0.001755
  1611.550,    -0.110264,    -0.000562
  1611.600,    -0.106477,    -0.002158
  1611.650,    -0.113237,    -0.000906
  1611.700,    -0.119642,    -0.000285
  1611.750,    -0.115268,    -0.000171
  1611.800,    -0.114888,     0.002517
  1611.850,    -0.124909,     0.001248
  1611.900,    -0.114985,     0.002551
  1611.950,    -0.118362,     0.003323
  1612.000,    -0.122484,     0.005758
  1612.050,    -0.125786,     0.007051
  1612.100,    -0.124776,     0.006392
  1612.150,    -0.131897,     0.006333
  1612.200,    -0.128830,     0.003674
  1612.250,    -0.136584,     0.005277
  1612.300,    -0.132187,     0.002520
  1612.350,    -0.140957,     0.002714
  1612.400,    -0.145349,     0.004690
  1612.450,    -0.147158,     0.001768
  1612.500,    -0.147185,     0.000881
  1612.550,    -0.144074,     0.000813
  1612.600,    -0.142949,     0.002066
  1612.650,    -0.138143,     0.000753
  1612.700,    -0.143384,     0.000667
  1612.750,    -0.132218,     0.002126
  1612.800,    -0.126335,     0.002617
  1612.850,    -0.118060,     0.004666
  1612.900,    -0.106769,     0.003694
  1612.950,    -0.101206,     0.002505
  1613.000,    -0.094015,     0.005269
  1613.050,    -0.085736,     0.004015
  1613.100,    -0.064903,     0.005355
  1613.150,    -0.057772,     0.006830
  1613.200,    -0.043003,     0.004927
  1613.250,    -0.018721,     0.004881
  1613.300,    -0.000939,     0.003990
  1613.350,     0.019405,     0.002637
  1613.400,     0.046906,     0.002522
  1613.450,     0.078684,     0.002478
  1613.500,     0.111387,     0.002911
  1613.550,     0.142624,     0.000763
  1613.600,     0.174961,     0.001199
  1613.650,     0.195436,     0.002046
  1613.700,     0.196177,     0.000962
  1613.750,     0.166382,     0.000781
  1613.800,     0.081357,     0.002138
  1613.850,    -0.054902,     0.002400
  1613.900,    -0.266189,     0.004323
  1613.950,    -0.523936,     0.004114
  1614.000,    -0.804993,     0.005269
  1614.050,    -1.079299,     0.005579
  1614.100,    -1.311516,     0.004138
  1614.150,    -1.429797,     0.004547
  1614.200,    -1.413894,     0.005740
  1614.250,    -1.283443,     0.004531
  1614.300,    -1.072228,     0.005018
  1614.350,    -0.829406,     0.004059
  1614.400,    -0.582813,     0.005395
  1614.450,    -0.361954,     0.003336
  1614.500,    -0.165905,     0.001391
  1614.550,    -0.022581,    -0.000209
  1614.600,     0.069050,     0.001801
  1614.650,     0.110133,     0.001703
  1614.700,     0.110490,     0.002074
  1614.750,     0.083542,     0.001231
  1614.800,     0.040067,     0.001098
  1614.850,    -0.000859,     0.002794
  1614.900,    -0.056562,     0.001432
  1614.950,    -0.104847,     0.002299
  1615.000,    -0.138545,     0.004265
  1615.050,    -0.155445,     0.003499
  1615.100,    -0.171040,     0.004280
  1615.150,    -0.183641,     0.005818
  1615.200,    -0.200022,     0.005322
  1615.250,    -0.214288,     0.005580
  1615.300,    -0.226196,     0.003247
  1615.350,    -0.257355,     0.004629
  1615.400,    -0.271499,     0.003581
  1615.450,    -0.288745,     0.003777
  1615.500,    -0.303041,     0.002806
  1615.550,    -0.308241,     0.001646
  1615.600,    -0.307100,     0.002059
  1615.650,    -0.301871,     0.001850
  1615.700,    -0.289452,     0.001961
  1615.750,    -0.277277,     0.001199
  1615.800,    -0.275058,     0.001356
  1615.850,    -0.266989,     0.002164
  1615.900,    -0.257290,     0.001993
  1615.950,    -0.254153,     0.003112
  1616.000,    -0.253754,     0.002959
  1616.050,    -0.246222,     0.003878
  1616.100,    -0.249880,     0.004033
  1616.150,    -0.251514,     0.003969
  1616.200,    -0.261423,     0.002843
  1616.250,    -0.258450,     0.003375
  1616.300,    -0.260847,     0.003411
  1616.350,    -0.262015,     0.003969
  1616.400,    -0.269586,     0.002773
  1616.450,    -0.278040,     0.004291
  1616.500,    -0.303907,     0.004649
  1616.550,    -0.339510,     0.002951
  1616.600,    -0.386723,     0.002904
  1616.650,    -0.439955,     0.001424
  1616.700,    -0.493636,     0.002102
  1616.750,    -0.547763,     0.001501
  1616.800,    -0.577573,     0.001973
  1616.850,    -0.575406,     0.000661
  1616.900,    -0.543711,     0.002496
  1616.950,    -0.482768,     0.002521
  1617.000,    -0.407120,     0.002747
  1617.050,    -0.342067,     0.003361
  1617.100,    -0.292355,     0.001579
  1617.150,    -0.256370,     0.002612
  1617.200,    -0.260388,     0.002322
  1617.250,    -0.269942,     0.003199
  1617.300,    -0.296663,     0.003033
  1617.350,    -0.328012,     0.003483
  1617.400,    -0.370968,     0.004508
  1617.450,    -0.402233,     0.003255
  1617.500,    -0.426069,     0.004572
  1617.550,    -0.442986,     0.003683
  1617.600,    -0.443904,     0.003099
  1617.650,    -0.441352,     0.002552
  1617.700,    -0.431469,     0.003682
  1617.750,    -0.415585,     0.002762
  1617.800,    -0.388594,     0.001774
  1617.850,    -0.370251,     0.002912
  1617.900,    -0.351481,     0.002646
  1617.950,    -0.326341,     0.001675
  1618.000,    -0.306309,     0.000687
  1618.050,    -0.269255,     0.000426
  1618.100,    -0.223366,     0.001964
  1618.150,    -0.172065,     0.001789
  1618.200,    -0.100503,     0.001535
  1618.250,    -0.021215,     0.002990
  1618.300,     0.076706,     0.003814
  1618.350,     0.179223,     0.002743
  1618.400,     0.275127,     0.003006
  1618.450,     0.358151,     0.002203
  1618.500,     0.412149,     0.004668
  1618.550,     0.382205,     0.002403
  1618.600,     0.205855,     0.002491
  1618.650,    -0.196711,     0.002943
  1618.700,    -0.927534,     0.004202
  1618.750,    -2.064410,     0.002573
  1618.800,    -3.645728,     0.003128
  1618.850,    -5.559334,     0.005123
  1618.900,    -7.542324,     0.004930
  1618.950,    -9.174487,     0.001349
  1619.000,    -9.960454,     0.001298
  1619.050,    -9.480853,     0.003932
  1619.100,    -7.630702,     0.003550
  1619.150,    -4.672110,     0.002115
  1619.200,    -1.194977,     0.001264
  1619.250,     2.104078,     0.002446
  1619.300,     4.678566,     0.002756
  1619.350,     6.316095,     0.002530
  1619.400,     7.036537,     0.003173
  1619.450,     6.927184,     0.004144
  1619.500,     6.110227,     0.004590
  1619.550,     4.708054,     0.004059
  1619.600,     3.003069,     0.002886
  1619.650,     1.357413,     0.002731
  1619.700,     0.079643,     0.002560
  1619.750,    -0.747270,     0.002842
  1619.800,    -1.207782,     0.003412
  1619.850,    -1.390337,     0.003104
  1619.900,    -1.316280,     0.001540
  1619.950,    -0.985938,     0.005480
  1620.000,    -0.496351,     0.004931
  1620.050,    -0.006938,     0.003108
  1620.100,     0.376460,     0.004041
  1620.150,     0.623577,     0.003366
  1620.200,     0.784373,     0.002905
  1620.250,     0.915206,     0.002569
  1620.300,     1.055488,     0.003612
  1620.350,     1.240101,     0.003413
  1620.400,     1.513613,     0.003742
  1620.450,     1.898553,     0.004440
  1620.500,     2.421356,     0.003224
  1620.550,     3.074725,     0.003898
  1620.600,     3.866789,     0.003893
  1620.650,     4.767062,     0.003102
  1620.700,     5.719137,     0.003367
  1620.750,     6.703595,     0.002069
  1620.800,     7.737506,     0.002428
  1620.850,     8.826425,     0.002283
  1620.900,     9.991790,     0.001596
  1620.950,    11.261678,     0.000924
  1621.000,    12.670622,     0.000781
  1621.050,    14.268747,     0.000783
  1621.100,    16.115218,     0.001052
  1621.150,    18.243226,    -0.000461
  1621.200,    20.680118,    -0.000733
  1621.250,    23.437883,    -0.001508
  1621.300,    26.530991,    -0.001354
  1621.350,    29.989882,    -0.000503
  1621.400,    33.837709,    -0.001975
  1621.450,    38.116265,    -0.003784
  1621.500,    42.870372,    -0.001048
  1621.550,    48.097913,    -0.000622
  1621.600,    53.733922,    -0.002164
  1621.650,    59.641985,    -0.004301
  1621.700,    65.610788,    -0.002522
  1621.750,    71.191577,     0.000290
  1621.800,    75.615418,    -0.000112
  1621.850,    77.602484,     0.000622
  1621.900,    75.134763,     0.004199
  1621.950,    65.253528,     0.010673
  1622.000,    43.980573,     0.013240
