Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.003545,     0.001695
  1610.050,     0.000993,     0.000649
  1610.100,    -0.000971,    -0.001605
  1610.150,    -0.002236,     0.000041
  1610.200,    -0.001331,    -0.000780
  1610.250,     0.003035,    -0.001993
  1610.300,     0.001837,    -0.002156
  1610.350,    -0.003726,    -0.000015
  1610.400,    -0.002213,     0.001951
  1610.450,     0.003494,     0.001768
  1610.500,     0.003197,     0.002697
  1610.550,     0.002354,     0.001216
  1610.600,     0.002653,     0.000836
  1610.650,    -0.000661,     0.000472
  1610.700,     0.002880,    -0.001616
  1610.750,    -0.002176,    -0.002536
  1610.800,    -0.007924,    -0.000640
  1610.850,    -0.007800,    -0.001342
  1610.900,    -0.012695,    -0.001947
  1610.950,    -0.019739,     0.000394
  1611.000,    -0.027384,     0.001161
  1611.050,    -0.034521,     0.001193
  1611.100,    -0.048513,     0.002088
  1611.150,    -0.049165,     0.000209
  1611.200,    -0.051591,     0.001178
  1611.250,    -0.048492,    -0.003502
  1611.300,    -0.048785,    -0.002910
  1611.350,    -0.047517,    -0.001262
  1611.400,    -0.049700,    -0.001011
  1611.450,    -0.054162,    -0.000066
  1611.500,    -0.049862,    -0.001267
  1611.550,    -0.047010,    -0.000292
  1611.600,    -0.050265,    -0.000056
  1611.650,    -0.060205,     0.001526
  1611.700,    -0.060446,     0.000854
  1611.750,    -0.066799,     0.002236
  1611.800,    -0.074631,     0.001616
  1611.850,    -0.072532,    -0.001111
  1611.900,    -0.077588,    -0.003443
  1611.950,    -0.078167,    -0.003211
  1612.000,    -0.082407,     0.000221
  1612.050,    -0.086379,    -0.001393
  1612.100,    -0.082724,     0.001573
  1612.150,    -0.084155,     0.000371
  1612.200,    -0.084503,     0.000062
  1612.250,    -0.084429,     0.005021
  1612.300,    -0.088408,     0.000418
  1612.350,    -0.083189,     0.002870
  1612.400,    -0.091324,     0.000425
  1612.450,    -0.091751,     0.000024
  1612.500,    -0.088758,    -0.000473
  1612.550,    -0.094764,    -0.002046
  1612.600,    -0.089278,    -0.002007
  1612.650,    -0.092589,    -0.002736
  1612.700,    -0.087178,    -0.000868
  1612.750,    -0.088075,     0.000802
  1612.800,    -0.083071,     0.002061
  1612.850,    -0.081069,     0.000881
  1612.900,    -0.086552,     0.001371
  1612.950,    -0.079401,     0.002610
  1613.000,    -0.085995,     0.000808
  1613.050,    -0.078472,     0.000441
  1613.100,    -0.079178,    -0.001034
  1613.150,    -0.072295,    -0.001676
  1613.200,    -0.066532,    -0.003112
  1613.250,    -0.066554,    -0.002220
  1613.300,    -0.056135,    -0.003009
  1613.350,    -0.044768,    -0.003730
  1613.400,    -0.031856,    -0.001031
  1613.450,    -0.023842,     0.000578
  1613.500,    -0.015494,     0.000531
  1613.550,    -0.003292,     0.004244
  1613.600,     0.014586,     0.002741
  1613.650,     0.030347,     0.000632
  1613.700,     0.050354,     0.001947
  1613.750,     0.067402,    -0.000004
  1613.800,     0.091145,    -0.001698
  1613.850,     0.118925,    -0.002588
  1613.900,     0.150071,    -0.004003
  1613.950,     0.177040,    -0.002852
  1614.000,     0.203274,    -0.001813
  1614.050,     0.206306,    -0.001992
  1614.100,     0.182412,     0.000469
  1614.150,     0.116267,     0.001367
  1614.200,    -0.002356,     0.001994
  1614.250,    -0.172848,     0.004426
  1614.300,    -0.413031,     0.003335
  1614.350,    -0.680724,     0.001125
  1614.400,    -0.957816,     0.002074
