Time_abs/ps, Signal 1/nA, Signal 2/nA
  1600.000,    -0.007262,    -0.005559
  1600.050,     0.009999,     0.003565
  1600.100,     0.000961,     0.002015
  1600.150,     0.011713,    -0.003805
  1600.200,    -0.015411,     0.003784
  1600.250,    -0.006207,    -0.007984
  1600.300,    -0.033377,    -0.007360
  1600.350,    -0.013727,    -0.006801
  1600.400,    -0.014318,    -0.010866
  1600.450,    -0.027026,     0.001065
  1600.500,    -0.029298,     0.002329
  1600.550,    -0.030495,     0.000353
  1600.600,    -0.037925,    -0.006891
  1600.650,    -0.014791,    -0.005066
  1600.700,    -0.025641,    -0.007559
  1600.750,    -0.022597,     0.000603
  1600.800,    -0.002359,    -0.007609
  1600.850,     0.006181,    -0.009308
  1600.900,    -0.008197,    -0.001986
  1600.950,    -0.009969,    -0.005572
  1601.000,    -0.019234,     0.001519
  1601.050,    -0.021222,     0.003335
  1601.100,    -0.026346,    -0.012174
  1601.150,    -0.034798,    -0.003079
  1601.200,    -0.026168,     0.003231
  1601.250,    -0.031999,    -0.007773
  1601.300,    -0.020952,    -0.007874
  1601.350,    -0.022735,    -0.003251
  1601.400,    -0.023341,    -0.008027
  1601.450,    -0.036233,    -0.003650
  1601.500,    -0.035530,    -0.000178
  1601.550,    -0.028859,    -0.003416
  1601.600,    -0.045789,    -0.006320
  1601.650,    -0.046539,    -0.002329
  1601.700,    -0.019155,    -0.008814
  1601.750,    -0.024948,    -0.006395
  1601.800,    -0.011075,    -0.008517
  1601.850,    -0.037870,     0.000620
  1601.900,    -0.015927,    -0.002914
  1601.950,    -0.032101,    -0.002755
  1602.000,    -0.016170,    -0.008063
  1602.050,    -0.034877,    -0.004923
  1602.100,    -0.033046,    -0.001141
  1602.150,    -0.049492,    -0.003489
  1602.200,    -0.046383,    -0.005817
  1602.250,    -0.028152,    -0.002661
  1602.300,    -0.048171,    -0.004455
  1602.350,    -0.023649,    -0.001576
  1602.400,    -0.027890,     0.000041
  1602.450,    -0.040047,    -0.002515
  1602.500,    -0.020587,    -0.003210
  1602.550,    -0.016261,    -0.001971
  1602.600,    -0.020160,    -0.006476
  1602.650,    -0.025385,    -0.004316
  1602.700,    -0.017562,     0.000687
  1602.750,    -0.020656,    -0.008957
  1602.800,    -0.020828,    -0.005713
  1602.850,    -0.041581,    -0.003698
  1602.900,    -0.045777,    -0.000392
  1602.950,    -0.028267,    -0.003511
  1603.000,    -0.036802,    -0.003032
  1603.050,    -0.045708,     0.000756
  1603.100,    -0.037859,    -0.003116
  1603.150,    -0.031396,    -0.007491
  1603.200,    -0.016499,    -0.004898
  1603.250,    -0.042502,    -0.004830
  1603.300,    -0.057028,    -0.008379
  1603.350,    -0.065270,    -0.006280
  1603.400,    -0.056570,    -0.006227
  1603.450,    -0.058507,    -0.003176
  1603.500,    -0.053302,     0.001489
  1603.550,    -0.036767,    -0.000764
  1603.600,    -0.039183,    -0.002424
  1603.650,    -0.045175,    -0.004572
  1603.700,    -0.026978,    -0.001183
  1603.750,    -0.041575,    -0.000764
  1603.800,    -0.041100,    -0.004100
  1603.850,    -0.035383,    -0.013278
  1603.900,    -0.044974,    -0.001306
  1603.950,    -0.042231,    -0.004750
  1604.000,    -0.050219,    -0.007932
  1604.050,    -0.043617,    -0.004727
  1604.100,    -0.042645,     0.002353
  1604.150,    -0.054004,    -0.005317
  1604.200,    -0.051859,    -0.003907
  1604.250,    -0.051055,     0.001375
  1604.300,    -0.038119,     0.000748
  1604.350,    -0.037498,     0.000382
  1604.400,    -0.039164,    -0.003992
  1604.450,    -0.050790,    -0.002389
  1604.500,    -0.056024,    -0.004674
  1604.550,    -0.047961,    -0.007499
  1604.600,    -0.026375,    -0.008961
  1604.650,    -0.047535,    -0.007606
  1604.700,    -0.039088,    -0.002542
  1604.750,    -0.045077,    -0.002735
  1604.800,    -0.040441,    -0.006772
  1604.850,    -0.038395,    -0.004601
  1604.900,    -0.055609,    -0.001819
  1604.950,    -0.034977,     0.000410
  1605.000,    -0.044997,    -0.009096
  1605.050,    -0.056556,    -0.010895
  1605.100,    -0.039411,    -0.011318
  1605.150,    -0.029488,    -0.008583
  1605.200,    -0.030464,    -0.011211
  1605.250,    -0.032818,    -0.006691
  1605.300,    -0.030540,    -0.001384
  1605.350,    -0.027823,    -0.001382
  1605.400,    -0.035993,    -0.002953
  1605.450,    -0.015024,    -0.005355
  1605.500,    -0.023644,    -0.006562
  1605.550,    -0.036246,    -0.005267
  1605.600,    -0.010991,    -0.007157
  1605.650,    -0.011015,    -0.007112
  1605.700,    -0.031806,    -0.008140
  1605.750,    -0.028093,    -0.010560
  1605.800,    -0.025641,    -0.011092
  1605.850,    -0.054832,    -0.001562
  1605.900,    -0.041303,     0.000503
  1605.950,    -0.026062,    -0.000446
  1606.000,    -0.034187,     0.002241
  1606.050,    -0.034070,    -0.000735
  1606.100,    -0.026977,    -0.001872
  1606.150,    -0.030598,    -0.005954
  1606.200,    -0.048908,    -0.007273
  1606.250,    -0.053419,    -0.006107
  1606.300,    -0.046789,    -0.007599
  1606.350,    -0.046199,    -0.008289
  1606.400,    -0.053900,    -0.008039
  1606.450,    -0.032031,    -0.007641
  1606.500,    -0.035836,    -0.003377
  1606.550,    -0.028914,    -0.000059
  1606.600,    -0.004767,     0.003103
  1606.650,    -0.031335,     0.004851
  1606.700,    -0.040763,     0.002266
  1606.750,    -0.030605,    -0.004041
  1606.800,    -0.028838,    -0.006665
  1606.850,    -0.031427,    -0.012207
  1606.900,    -0.014266,    -0.008953
  1606.950,    -0.027984,    -0.008270
  1607.000,    -0.031697,    -0.013541
  1607.050,    -0.002498,    -0.009085
  1607.100,     0.005471,    -0.005442
  1607.150,     0.023570,    -0.002047
  1607.200,     0.010923,     0.000852
  1607.250,    -0.003010,     0.007857
  1607.300,     0.008020,     0.001816
  1607.350,     0.006521,    -0.000406
  1607.400,    -0.005193,    -0.001965
  1607.450,    -0.003981,    -0.009394
  1607.500,    -0.014946,    -0.008478
  1607.550,    -0.008595,    -0.008883
  1607.600,     0.002189,    -0.012293
  1607.650,    -0.018833,    -0.005917
  1607.700,    -0.016832,    -0.003096
  1607.750,     0.013615,    -0.002369
  1607.800,     0.020398,    -0.002302
  1607.850,     0.011769,     0.005667
  1607.900,     0.005552,     0.002215
  1607.950,    -0.004601,    -0.001173
  1608.000,    -0.007615,     0.002244
  1608.050,    -0.012515,    -0.001834
  1608.100,    -0.013590,    -0.013402
  1608.150,    -0.006097,    -0.011658
  1608.200,    -0.003189,    -0.009284
  1608.250,    -0.008233,    -0.007030
  1608.300,    -0.001952,    -0.006340
  1608.350,     0.007711,    -0.002172
  1608.400,     0.028263,     0.000070
  1608.450,     0.025320,     0.001197
  1608.500,     0.016100,    -0.000139
  1608.550,     0.011056,     0.003474
  1608.600,     0.016500,    -0.002508
  1608.650,    -0.003530,    -0.007962
  1608.700,     0.003949,    -0.005811
  1608.750,    -0.007308,    -0.005943
  1608.800,    -0.000909,    -0.010986
  1608.850,     0.017870,    -0.008198
  1608.900,     0.009866,    -0.012079
  1608.950,    -0.013936,    -0.010014
  1609.000,     0.000532,    -0.004815
  1609.050,    -0.010203,    -0.007638
  1609.100,     0.007414,    -0.004756
  1609.150,    -0.001923,     0.003232
  1609.200,     0.004702,     0.002892
  1609.250,     0.000868,    -0.000300
  1609.300,     0.013127,     0.002811
  1609.350,     0.018195,    -0.004774
  1609.400,     0.010257,    -0.006365
  1609.450,     0.008805,    -0.008631
  1609.500,     0.009665,    -0.008339
  1609.550,     0.007131,    -0.006627
  1609.600,     0.002476,    -0.000860
  1609.650,    -0.011018,    -0.004131
  1609.700,     0.022663,    -0.003377
  1609.750,     0.022091,     0.000542
  1609.800,     0.012268,    -0.007340
  1609.850,     0.009051,    -0.002824
  1609.900,     0.031199,     0.001377
  1609.950,     0.004221,    -0.006226
  1610.000,     0.018177,    -0.005322
  1610.050,     0.007258,    -0.003266
  1610.100,    -0.009621,    -0.003321
  1610.150,     0.002916,    -0.007039
  1610.200,    -0.004540,    -0.005934
