Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.016791,     0.007615,    -0.006348,
  1600.050,    -0.007433,    -0.004646,     0.001326,
  1600.100,     0.005045,     0.011497,     0.002172,
  1600.150,     0.003839,    -0.005388,     0.000602,
  1600.200,    -0.018241,    -0.009079,     0.002248,
  1600.250,    -0.019565,    -0.022884,    -0.002944,
  1600.300,     0.003283,    -0.011605,     0.004588,
  1600.350,    -0.008499,     0.000561,     0.001288,
  1600.400,    -0.011571,     0.010459,     0.000087,
  1600.450,    -0.018105,     0.008771,     0.003467,
  1600.500,     0.015984,    -0.000034,     0.001748,
  1600.550,     0.017902,    -0.009125,     0.009793,
  1600.600,     0.010485,    -0.021215,     0.005638,
  1600.650,    -0.006533,    -0.028924,     0.007584,
  1600.700,    -0.013418,    -0.024922,     0.003051,
  1600.750,     0.006871,    -0.033412,    -0.000501,
  1600.800,    -0.014797,    -0.027306,     0.006409,
  1600.850,    -0.011907,    -0.001638,     0.000483,
  1600.900,    -0.007107,    -0.017430,     0.000357,
  1600.950,    -0.007890,    -0.006954,     0.007533,
  1601.000,    -0.033726,    -0.025601,    -0.003922,
  1601.050,    -0.011835,    -0.025349,     0.000068,
  1601.100,    -0.021472,    -0.009534,     0.005085,
  1601.150,    -0.008178,    -0.028449,    -0.006595,
  1601.200,    -0.025979,    -0.018410,    -0.002896,
  1601.250,    -0.046465,    -0.022588,     0.001008,
  1601.300,    -0.014131,    -0.037640,     0.001523,
  1601.350,    -0.015244,    -0.024145,    -0.005845,
  1601.400,    -0.002465,    -0.019708,    -0.001967,
  1601.450,    -0.021218,    -0.036830,    -0.004255,
  1601.500,    -0.010642,    -0.020360,     0.000749,
  1601.550,    -0.020364,    -0.021295,    -0.002977,
  1601.600,    -0.006420,    -0.019094,     0.001307,
  1601.650,     0.004900,    -0.038961,     0.000723,
  1601.700,     0.006912,    -0.039712,     0.007356,
  1601.750,    -0.006986,    -0.046448,     0.006730,
  1601.800,    -0.000781,    -0.049859,     0.007119,
  1601.850,    -0.018558,    -0.056273,     0.008845,
  1601.900,    -0.022431,    -0.066449,     0.003478,
  1601.950,    -0.009496,    -0.072077,    -0.000617,
  1602.000,    -0.011147,    -0.063971,     0.008839,
  1602.050,    -0.007351,    -0.049452,     0.001020,
  1602.100,    -0.005317,    -0.059367,     0.005807,
  1602.150,    -0.016648,    -0.063293,    -0.001203,
  1602.200,    -0.005305,    -0.057947,     0.006541,
  1602.250,    -0.002929,    -0.047525,     0.003397,
  1602.300,    -0.028235,    -0.066134,     0.000448,
  1602.350,    -0.016066,    -0.074133,     0.002748,
  1602.400,    -0.016036,    -0.077379,     0.008861,
  1602.450,     0.002542,    -0.060169,    -0.001850,
  1602.500,    -0.011176,    -0.080268,     0.000718,
  1602.550,    -0.016577,    -0.067907,     0.004071,
  1602.600,    -0.011521,    -0.099132,    -0.003157,
  1602.650,    -0.015773,    -0.079462,    -0.001458,
  1602.700,    -0.023772,    -0.061615,    -0.000903,
  1602.750,    -0.015686,    -0.055587,    -0.000186,
  1602.800,    -0.023526,    -0.049285,    -0.000130,
  1602.850,     0.001771,    -0.061351,    -0.005346,
  1602.900,    -0.009265,    -0.051576,    -0.003088,
  1602.950,    -0.006751,    -0.030425,     0.003225,
  1603.000,    -0.026988,    -0.045516,     0.000885,
  1603.050,    -0.015996,    -0.046597,     0.004419,
  1603.100,    -0.027982,    -0.041525,     0.004027,
  1603.150,     0.002848,    -0.058770,     0.005126,
  1603.200,    -0.017877,    -0.067038,     0.003666,
  1603.250,     0.003886,    -0.060943,     0.005285,
  1603.300,    -0.014501,    -0.046130,     0.005471,
  1603.350,    -0.007042,    -0.044856,     0.008356,
  1603.400,     0.012545,    -0.048941,     0.002888,
  1603.450,    -0.001460,    -0.057768,     0.005592,
  1603.500,     0.000724,    -0.061647,     0.009246,
  1603.550,    -0.008306,    -0.072860,     0.008400,
  1603.600,    -0.004656,    -0.050958,     0.004064,
  1603.650,     0.010315,    -0.058043,     0.003498,
  1603.700,    -0.010980,    -0.046480,     0.008733,
  1603.750,     0.000690,    -0.039911,     0.005695,
  1603.800,     0.012512,    -0.055079,     0.006569,
  1603.850,    -0.005312,    -0.055890,     0.004922,
  1603.900,     0.012826,    -0.060794,     0.004863,
  1603.950,    -0.010835,    -0.056321,     0.002062,
  1604.000,    -0.006046,    -0.053461,     0.001723,
  1604.050,     0.010961,    -0.061511,     0.003893,
  1604.100,    -0.011835,    -0.073083,     0.003279,
  1604.150,    -0.002280,    -0.058812,     0.004997,
