Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.553667E-3,    -3.14159,  6.818399E-3,    -3.14159,  5.910398E-3,    -0.00000,          NaN,         NaN
     1.0,  5.200808E-3,    -2.83024,  1.373429E-2,    -2.98700,  1.178356E-2,     0.12429,          NaN,         NaN
     2.0,  5.470234E-3,    -2.53229,  1.402566E-2,    -2.83319,  1.167213E-2,     0.24909,          NaN,         NaN
     3.0,  5.887571E-3,    -2.25627,  1.450766E-2,    -2.68085,  1.148728E-2,     0.37494,          NaN,         NaN
     4.0,  6.418082E-3,    -2.00465,  1.517504E-2,    -2.53044,  1.123039E-2,     0.50243,          NaN,         NaN
     5.0,  7.028707E-3,    -1.77577,  1.602076E-2,    -2.38219,  1.090349E-2,     0.63221,          NaN,         NaN
     6.0,  7.691784E-3,    -1.56623,  1.703619E-2,    -2.23611,  1.050934E-2,     0.76509,          NaN,         NaN
     7.0,  8.385493E-3,    -1.37236,  1.821129E-2,    -2.09207,  1.005166E-2,     0.90203,          NaN,         NaN
     8.0,  9.092940E-3,    -1.19090,  1.953476E-2,    -1.94980,  9.535312E-3,     1.04426,          NaN,         NaN
     9.0,  9.800989E-3,    -1.01919,  2.099413E-2,    -1.80900,  8.966726E-3,     1.19339,          NaN,         NaN
    10.0,  1.049927E-2,    -0.85513,  2.257591E-2,    -1.66936,  8.354419E-3,     1.35153,          NaN,         NaN
    11.0,  1.117945E-2,    -0.69706,  2.426565E-2,    -1.53059,  7.709878E-3,     1.52154,          NaN,         NaN
    12.0,  1.183469E-2,    -0.54369,  2.604807E-2,    -1.39242,  7.048901E-3,     1.70732,          NaN,         NaN
    13.0,  1.245929E-2,    -0.39400,  2.790721E-2,    -1.25462,  6.393662E-3,     1.91403,          NaN,         NaN
    14.0,  1.304846E-2,    -0.24718,  2.982657E-2,    -1.11699,  5.775641E-3,     2.14816,          NaN,         NaN
    15.0,  1.359813E-2,    -0.10258,  3.178923E-2,    -0.97936,  5.238953E-3,     2.41652,          NaN,         NaN
    16.0,  1.410489E-2,     0.04034,  3.377806E-2,    -0.84160,  4.841397E-3,     2.72292,          NaN,         NaN
    17.0,  1.456583E-2,     0.18202,  3.577586E-2,    -0.70358,  4.646729E-3,     3.06184,          NaN,         NaN
    18.0,  1.497857E-2,     0.32285,  3.776558E-2,    -0.56519,  4.702619E-3,     3.41398,          NaN,         NaN
    19.0,  1.534120E-2,     0.46315,  3.973047E-2,    -0.42636,  5.015932E-3,     3.75307,          NaN,         NaN
    20.0,  1.565226E-2,     0.60321,  4.165423E-2,    -0.28700,  5.551198E-3,     4.06042,          NaN,         NaN
    21.0,  1.591073E-2,     0.74330,  4.352127E-2,    -0.14704,  6.253174E-3,     4.33110,          NaN,         NaN
    22.0,  1.611605E-2,     0.88364,  4.531678E-2,    -0.00640,  7.068480E-3,     4.56918,          NaN,         NaN
    23.0,  1.626807E-2,     1.02448,  4.702698E-2,     0.13498,  7.954125E-3,     4.78151,          NaN,         NaN
    24.0,  1.636712E-2,     1.16602,  4.863921E-2,     0.27717,  8.877469E-3,     4.97449,          NaN,         NaN
    25.0,  1.641396E-2,     1.30847,  5.014212E-2,     0.42023,  9.813693E-3,     5.15323,          NaN,         NaN
    26.0,  1.640981E-2,     1.45206,  5.152575E-2,     0.56423,  1.074339E-2,     5.32154,          NaN,         NaN
    27.0,  1.635636E-2,     1.59698,  5.278171E-2,     0.70924,  1.165088E-2,     5.48221,          NaN,         NaN
    28.0,  1.625579E-2,     1.74346,  5.390324E-2,     0.85533,  1.252310E-2,     5.63733,          NaN,         NaN
    29.0,  1.611074E-2,     1.89172,  5.488532E-2,     1.00257,  1.334896E-2,     5.78845,          NaN,         NaN
    30.0,  1.592435E-2,     2.04199,  5.572471E-2,     1.15105,  1.411898E-2,     5.93677,          NaN,         NaN
    31.0,  1.570026E-2,     2.19451,  5.642005E-2,     1.30083,  1.482507E-2,     6.08322,          NaN,         NaN
    32.0,  1.544260E-2,     2.34954,  5.697186E-2,     1.45201,  1.546045E-2,     6.22859,          NaN,         NaN
    33.0,  1.515601E-2,     2.50732,  5.738254E-2,     1.60467,  1.601963E-2,     6.37350,          NaN,         NaN
    34.0,  1.484563E-2,     2.66812,  5.765640E-2,     1.75889,  1.649843E-2,     6.51852,          NaN,         NaN
    35.0,  1.451706E-2,     2.83220,  5.779958E-2,     1.91476,  1.689406E-2,     6.66415,          NaN,         NaN
    36.0,  1.417638E-2,     2.99981,  5.782002E-2,     2.07236,  1.720516E-2,     6.81088,          NaN,         NaN
    37.0,  1.383008E-2,     3.17119,  5.772735E-2,     2.23177,  1.743195E-2,     6.95915,          NaN,         NaN
    38.0,  1.348496E-2,     3.34652,  5.753276E-2,     2.39307,  1.757632E-2,     7.10943,          NaN,         NaN
    39.0,  1.314810E-2,     3.52596,  5.724885E-2,     2.55631,  1.764194E-2,     7.26218,          NaN,         NaN
    40.0,  1.282667E-2,     3.70956,  5.688944E-2,     2.72154,  1.763441E-2,     7.41787,          NaN,         NaN
    41.0,  1.252772E-2,     3.89729,  5.646930E-2,     2.88879,  1.756136E-2,     7.57699,          NaN,         NaN
    42.0,  1.225801E-2,     4.08898,  5.600388E-2,     3.05806,  1.743260E-2,     7.74003,          NaN,         NaN
    43.0,  1.202370E-2,     4.28433,  5.550903E-2,     3.22933,  1.726016E-2,     7.90745,          NaN,         NaN
    44.0,  1.183004E-2,     4.48288,  5.500054E-2,     3.40255,  1.705838E-2,     8.07969,          NaN,         NaN
    45.0,  1.168107E-2,     4.68403,  5.449384E-2,     3.57761,  1.684381E-2,     8.25710,          NaN,         NaN
    46.0,  1.157942E-2,     4.88705,  5.400352E-2,     3.75439,  1.663497E-2,     8.43988,          NaN,         NaN
    47.0,  1.152607E-2,     5.09116,  5.354293E-2,     3.93270,  1.645193E-2,     8.62803,          NaN,         NaN
    48.0,  1.152031E-2,     5.29553,  5.312378E-2,     4.11232,  1.631553E-2,     8.82125,          NaN,         NaN
    49.0,  1.155982E-2,     5.49939,  5.275573E-2,     4.29300,  1.624633E-2,     9.01888,          NaN,         NaN
    50.0,  1.164088E-2,     5.70206,  5.244614E-2,     4.47445,  1.626326E-2,     9.21987,          NaN,         NaN
    51.0,  1.175857E-2,     5.90296,  5.219982E-2,     4.65636,  1.638217E-2,     9.42284,          NaN,         NaN
    52.0,  1.190719E-2,     6.10170,  5.201896E-2,     4.83841,  1.661442E-2,     9.62613,          NaN,         NaN
    53.0,  1.208059E-2,     6.29803,  5.190310E-2,     5.02027,  1.696604E-2,     9.82801,          NaN,         NaN
    54.0,  1.227242E-2,     6.49183,  5.184932E-2,     5.20165,  1.743731E-2,    10.02681,          NaN,         NaN
    55.0,  1.247653E-2,     6.68313,  5.185245E-2,     5.38226,  1.802322E-2,    10.22114,          NaN,         NaN
    56.0,  1.268705E-2,     6.87205,  5.190544E-2,     5.56184,  1.871434E-2,    10.40994,          NaN,         NaN
    57.0,  1.289866E-2,     7.05879,  5.199973E-2,     5.74017,  1.949809E-2,    10.59255,          NaN,         NaN
    58.0,  1.310666E-2,     7.24359,  5.212573E-2,     5.91710,  2.035996E-2,    10.76865,          NaN,         NaN
    59.0,  1.330702E-2,     7.42673,  5.227320E-2,     6.09250,  2.128472E-2,    10.93820,          NaN,         NaN
    60.0,  1.349646E-2,     7.60853,  5.243173E-2,     6.26628,  2.225723E-2,    11.10140,          NaN,         NaN
    61.0,  1.367242E-2,     7.78928,  5.259112E-2,     6.43840,  2.326314E-2,    11.25856,          NaN,         NaN
    62.0,  1.383310E-2,     7.96930,  5.274169E-2,     6.60886,  2.428927E-2,    11.41009,          NaN,         NaN
    63.0,  1.397740E-2,     8.14888,  5.287458E-2,     6.77768,  2.532384E-2,    11.55641,          NaN,         NaN
    64.0,  1.410491E-2,     8.32831,  5.298197E-2,     6.94491,  2.635659E-2,    11.69798,          NaN,         NaN
    65.0,  1.421589E-2,     8.50786,  5.305725E-2,     7.11064,  2.737880E-2,    11.83523,          NaN,         NaN
    66.0,  1.431121E-2,     8.68776,  5.309510E-2,     7.27495,  2.838323E-2,    11.96856,          NaN,         NaN
    67.0,  1.439231E-2,     8.86825,  5.309160E-2,     7.43795,  2.936408E-2,    12.09837,          NaN,         NaN
    68.0,  1.446112E-2,     9.04950,  5.304421E-2,     7.59975,  3.031682E-2,    12.22501,          NaN,         NaN
    69.0,  1.452005E-2,     9.23169,  5.295179E-2,     7.76047,  3.123814E-2,    12.34883,          NaN,         NaN
    70.0,  1.457183E-2,     9.41493,  5.281453E-2,     7.92025,  3.212575E-2,    12.47014,          NaN,         NaN
    71.0,  1.461950E-2,     9.59932,  5.263391E-2,     8.07921,  3.297828E-2,    12.58925,          NaN,         NaN
    72.0,  1.466629E-2,     9.78490,  5.241262E-2,     8.23748,  3.379510E-2,    12.70644,          NaN,         NaN
    73.0,  1.471548E-2,     9.97168,  5.215443E-2,     8.39519,  3.457616E-2,    12.82199,          NaN,         NaN
    74.0,  1.477036E-2,    10.15963,  5.186410E-2,     8.55246,  3.532187E-2,    12.93618,          NaN,         NaN
    75.0,  1.483404E-2,    10.34866,  5.154729E-2,     8.70940,  3.603292E-2,    13.04926,          NaN,         NaN
    76.0,  1.490938E-2,    10.53866,  5.121037E-2,     8.86615,  3.671014E-2,    13.16149,          NaN,         NaN
    77.0,  1.499888E-2,    10.72949,  5.086036E-2,     9.02280,  3.735440E-2,    13.27313,          NaN,         NaN
    78.0,  1.510458E-2,    10.92095,  5.050473E-2,     9.17945,  3.796646E-2,    13.38443,          NaN,         NaN
    79.0,  1.522796E-2,    11.11286,  5.015134E-2,     9.33620,  3.854694E-2,    13.49563,          NaN,         NaN
    80.0,  1.536992E-2,    11.30502,  4.980822E-2,     9.49312,  3.909622E-2,    13.60698,          NaN,         NaN
    81.0,  1.553075E-2,    11.49721,  4.948352E-2,     9.65028,  3.961442E-2,    13.71871,          NaN,         NaN
    82.0,  1.571012E-2,    11.68925,  4.918530E-2,     9.80773,  4.010142E-2,    13.83105,          NaN,         NaN
    83.0,  1.590711E-2,    11.88096,  4.892144E-2,     9.96552,  4.055687E-2,    13.94422,          NaN,         NaN
    84.0,  1.612028E-2,    12.07220,  4.869952E-2,    10.12366,  4.098026E-2,    14.05842,          NaN,         NaN
    85.0,  1.634774E-2,    12.26286,  4.852664E-2,    10.28217,  4.137098E-2,    14.17387,          NaN,         NaN
    86.0,  1.658724E-2,    12.45286,  4.840936E-2,    10.44103,  4.172847E-2,    14.29074,          NaN,         NaN
    87.0,  1.683628E-2,    12.64217,  4.835356E-2,    10.60022,  4.205230E-2,    14.40921,          NaN,         NaN
    88.0,  1.709221E-2,    12.83078,  4.836437E-2,    10.75971,  4.234233E-2,    14.52945,          NaN,         NaN
    89.0,  1.735231E-2,    13.01871,  4.844606E-2,    10.91945,  4.259884E-2,    14.65162,          NaN,         NaN
    90.0,  1.761393E-2,    13.20603,  4.860199E-2,    11.07938,  4.282266E-2,    14.77584,          NaN,         NaN
    91.0,  1.787456E-2,    13.39282,  4.883456E-2,    11.23945,  4.301533E-2,    14.90224,          NaN,         NaN
    92.0,  1.813190E-2,    13.57918,  4.914519E-2,    11.39958,  4.317915E-2,    15.03093,          NaN,         NaN
    93.0,  1.838395E-2,    13.76524,  4.953433E-2,    11.55973,  4.331734E-2,    15.16198,          NaN,         NaN
    94.0,  1.862906E-2,    13.95112,  5.000144E-2,    11.71984,  4.343406E-2,    15.29547,          NaN,         NaN
    95.0,  1.886599E-2,    14.13696,  5.054507E-2,    11.87985,  4.353443E-2,    15.43144,          NaN,         NaN
    96.0,  1.909391E-2,    14.32291,  5.116291E-2,    12.03973,  4.362454E-2,    15.56989,          NaN,         NaN
    97.0,  1.931248E-2,    14.50909,  5.185183E-2,    12.19945,  4.371137E-2,    15.71081,          NaN,         NaN
    98.0,  1.952182E-2,    14.69566,  5.260803E-2,    12.35899,  4.380263E-2,    15.85416,          NaN,         NaN
    99.0,  1.972252E-2,    14.88273,  5.342708E-2,    12.51837,  4.390665E-2,    15.99983,          NaN,         NaN
   100.0,  1.991563E-2,    15.07042,  5.430404E-2,    12.67758,  4.403209E-2,    16.14770,          NaN,         NaN
   101.0,  2.010267E-2,    15.25883,  5.523360E-2,    12.83665,  4.418768E-2,    16.29759,          NaN,         NaN
   102.0,  2.028551E-2,    15.44805,  5.621017E-2,    12.99562,  4.438189E-2,    16.44929,          NaN,         NaN
   103.0,  2.046640E-2,    15.63813,  5.722798E-2,    13.15454,  4.462261E-2,    16.60253,          NaN,         NaN
   104.0,  2.064785E-2,    15.82911,  5.828122E-2,    13.31346,  4.491675E-2,    16.75703,          NaN,         NaN
   105.0,  2.083260E-2,    16.02101,  5.936416E-2,    13.47243,  4.526993E-2,    16.91244,          NaN,         NaN
