Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.013449,     0.007615,    -0.004051,
  1600.050,     0.000676,    -0.004646,     0.000001,
  1600.100,    -0.019090,     0.011497,    -0.001309,
  1600.150,     0.003472,    -0.005388,     0.005453,
  1600.200,     0.001493,    -0.009079,    -0.000094,
  1600.250,     0.001280,    -0.022884,     0.003141,
  1600.300,    -0.000772,    -0.011605,     0.002871,
  1600.350,     0.005188,     0.000561,     0.005669,
  1600.400,    -0.018377,     0.010459,     0.002502,
  1600.450,    -0.022832,     0.008771,     0.007228,
  1600.500,    -0.025254,    -0.000034,     0.002820,
  1600.550,    -0.018127,    -0.009125,     0.002428,
  1600.600,    -0.008004,    -0.021215,     0.001163,
  1600.650,    -0.042875,    -0.028924,     0.005256,
  1600.700,    -0.020053,    -0.024922,    -0.005088,
  1600.750,    -0.040912,    -0.033412,    -0.000109,
  1600.800,    -0.039061,    -0.027306,     0.000181,
  1600.850,    -0.032397,    -0.001638,     0.000601,
  1600.900,    -0.052617,    -0.017430,    -0.005486,
  1600.950,    -0.056575,    -0.006954,     0.001344,
  1601.000,    -0.043448,    -0.025601,    -0.002515,
  1601.050,    -0.064530,    -0.025349,    -0.000512,
  1601.100,    -0.048746,    -0.009534,    -0.002831,
  1601.150,    -0.055441,    -0.028449,    -0.004681,
  1601.200,    -0.041628,    -0.018410,     0.005394,
  1601.250,    -0.055399,    -0.022588,     0.001022,
  1601.300,    -0.050861,    -0.037640,     0.001758,
  1601.350,    -0.052893,    -0.024145,    -0.003467,
  1601.400,    -0.049532,    -0.019708,     0.001965,
  1601.450,    -0.056411,    -0.036830,    -0.001009,
  1601.500,    -0.042798,    -0.020360,    -0.001315,
  1601.550,    -0.059321,    -0.021295,     0.004988,
  1601.600,    -0.038927,    -0.019094,     0.005713,
  1601.650,    -0.045023,    -0.038961,     0.007683,
  1601.700,    -0.064709,    -0.039712,     0.001873,
  1601.750,    -0.054003,    -0.046448,     0.001222,
  1601.800,    -0.070316,    -0.049859,     0.002361,
  1601.850,    -0.080525,    -0.056273,     0.000634,
  1601.900,    -0.067460,    -0.066449,     0.001367,
  1601.950,    -0.064872,    -0.072077,     0.000084,
  1602.000,    -0.089949,    -0.063971,    -0.003056,
