Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  6.798184E-3,    -3.14159,  6.818399E-3,    -3.14159,  9.171837E-3,    -0.00000,          NaN,         NaN
     1.0,  1.369537E-2,    -2.99007,  1.373429E-2,    -2.98700,  1.843737E-2,     0.11694,          NaN,         NaN
     2.0,  1.399130E-2,    -2.83922,  1.402566E-2,    -2.83319,  1.871707E-2,     0.23526,          NaN,         NaN
     3.0,  1.448106E-2,    -2.68961,  1.450766E-2,    -2.68085,  1.917885E-2,     0.35621,          NaN,         NaN
     4.0,  1.515957E-2,    -2.54162,  1.517504E-2,    -2.53044,  1.981674E-2,     0.48073,          NaN,         NaN
     5.0,  1.601997E-2,    -2.39546,  1.602076E-2,    -2.38219,  2.062339E-2,     0.60948,          NaN,         NaN
     6.0,  1.705379E-2,    -2.25111,  1.703619E-2,    -2.23611,  2.159077E-2,     0.74277,          NaN,         NaN
     7.0,  1.825107E-2,    -2.10844,  1.821129E-2,    -2.09207,  2.271075E-2,     0.88062,          NaN,         NaN
     8.0,  1.960051E-2,    -1.96724,  1.953476E-2,    -1.94980,  2.397545E-2,     1.02285,          NaN,         NaN
     9.0,  2.108960E-2,    -1.82725,  2.099413E-2,    -1.80900,  2.537748E-2,     1.16911,          NaN,         NaN
    10.0,  2.270467E-2,    -1.68818,  2.257591E-2,    -1.66936,  2.690990E-2,     1.31896,          NaN,         NaN
    11.0,  2.443108E-2,    -1.54979,  2.426565E-2,    -1.53059,  2.856614E-2,     1.47194,          NaN,         NaN
    12.0,  2.625331E-2,    -1.41185,  2.604807E-2,    -1.39242,  3.033984E-2,     1.62754,          NaN,         NaN
    13.0,  2.815510E-2,    -1.27416,  2.790721E-2,    -1.25462,  3.222463E-2,     1.78533,          NaN,         NaN
    14.0,  3.011961E-2,    -1.13656,  2.982657E-2,    -1.11699,  3.421391E-2,     1.94487,          NaN,         NaN
    15.0,  3.212960E-2,    -0.99889,  3.178923E-2,    -0.97936,  3.630064E-2,     2.10577,          NaN,         NaN
    16.0,  3.416758E-2,    -0.86104,  3.377806E-2,    -0.84160,  3.847718E-2,     2.26769,          NaN,         NaN
    17.0,  3.621598E-2,    -0.72291,  3.577586E-2,    -0.70358,  4.073512E-2,     2.43035,          NaN,         NaN
    18.0,  3.825737E-2,    -0.58440,  3.776558E-2,    -0.56519,  4.306516E-2,     2.59349,          NaN,         NaN
    19.0,  4.027462E-2,    -0.44543,  3.973047E-2,    -0.42636,  4.545704E-2,     2.75690,          NaN,         NaN
    20.0,  4.225107E-2,    -0.30593,  4.165423E-2,    -0.28700,  4.789947E-2,     2.92040,          NaN,         NaN
    21.0,  4.417073E-2,    -0.16584,  4.352127E-2,    -0.14704,  5.038012E-2,     3.08387,          NaN,         NaN
    22.0,  4.601844E-2,    -0.02508,  4.531678E-2,    -0.00640,  5.288562E-2,     3.24718,          NaN,         NaN
    23.0,  4.778005E-2,     0.11639,  4.702698E-2,     0.13498,  5.540161E-2,     3.41025,          NaN,         NaN
    24.0,  4.944255E-2,     0.25865,  4.863921E-2,     0.27717,  5.791275E-2,     3.57303,          NaN,         NaN
    25.0,  5.099423E-2,     0.40176,  5.014212E-2,     0.42023,  6.040289E-2,     3.73546,          NaN,         NaN
    26.0,  5.242482E-2,     0.54578,  5.152575E-2,     0.56423,  6.285508E-2,     3.89753,          NaN,         NaN
    27.0,  5.372559E-2,     0.69077,  5.278171E-2,     0.70924,  6.525177E-2,     4.05923,          NaN,         NaN
    28.0,  5.488949E-2,     0.83682,  5.390324E-2,     0.85533,  6.757491E-2,     4.22056,          NaN,         NaN
    29.0,  5.591118E-2,     0.98398,  5.488532E-2,     1.00257,  6.980610E-2,     4.38154,          NaN,         NaN
    30.0,  5.678716E-2,     1.13234,  5.572471E-2,     1.15105,  7.192681E-2,     4.54220,          NaN,         NaN
    31.0,  5.751580E-2,     1.28196,  5.642005E-2,     1.30083,  7.391851E-2,     4.70258,          NaN,         NaN
    32.0,  5.809735E-2,     1.43294,  5.697186E-2,     1.45201,  7.576290E-2,     4.86274,          NaN,         NaN
    33.0,  5.853400E-2,     1.58536,  5.738254E-2,     1.60467,  7.744208E-2,     5.02273,          NaN,         NaN
    34.0,  5.882981E-2,     1.73929,  5.765640E-2,     1.75889,  7.893882E-2,     5.18262,          NaN,         NaN
    35.0,  5.899073E-2,     1.89482,  5.779958E-2,     1.91476,  8.023671E-2,     5.34249,          NaN,         NaN
    36.0,  5.902451E-2,     2.05203,  5.782002E-2,     2.07236,  8.132044E-2,     5.50244,          NaN,         NaN
    37.0,  5.894060E-2,     2.21100,  5.772735E-2,     2.23177,  8.217600E-2,     5.66258,          NaN,         NaN
    38.0,  5.875005E-2,     2.37181,  5.753276E-2,     2.39307,  8.279096E-2,     5.82301,          NaN,         NaN
    39.0,  5.846532E-2,     2.53452,  5.724885E-2,     2.55631,  8.315465E-2,     5.98387,          NaN,         NaN
    40.0,  5.810014E-2,     2.69916,  5.688944E-2,     2.72154,  8.325848E-2,     6.14532,          NaN,         NaN
    41.0,  5.766922E-2,     2.86579,  5.646930E-2,     2.88879,  8.309619E-2,     6.30753,          NaN,         NaN
    42.0,  5.718799E-2,     3.03440,  5.600388E-2,     3.05806,  8.266411E-2,     6.47069,          NaN,         NaN
    43.0,  5.667232E-2,     3.20499,  5.550903E-2,     3.22933,  8.196148E-2,     6.63504,          NaN,         NaN
    44.0,  5.613811E-2,     3.37749,  5.500054E-2,     3.40255,  8.099075E-2,     6.80083,          NaN,         NaN
    45.0,  5.560095E-2,     3.55183,  5.449384E-2,     3.57761,  7.975800E-2,     6.96835,          NaN,         NaN
    46.0,  5.507568E-2,     3.72789,  5.400352E-2,     3.75439,  7.827327E-2,     7.13797,          NaN,         NaN
    47.0,  5.457598E-2,     3.90549,  5.354293E-2,     3.93270,  7.655111E-2,     7.31007,          NaN,         NaN
    48.0,  5.411399E-2,     4.08445,  5.312378E-2,     4.11232,  7.461107E-2,     7.48512,          NaN,         NaN
    49.0,  5.369988E-2,     4.26450,  5.275573E-2,     4.29300,  7.247838E-2,     7.66366,          NaN,         NaN
    50.0,  5.334161E-2,     4.44539,  5.244614E-2,     4.47445,  7.018466E-2,     7.84628,          NaN,         NaN
    51.0,  5.304463E-2,     4.62681,  5.219982E-2,     4.65636,  6.776879E-2,     8.03368,          NaN,         NaN
    52.0,  5.281182E-2,     4.80845,  5.201896E-2,     4.83841,  6.527788E-2,     8.22662,          NaN,         NaN
    53.0,  5.264343E-2,     4.99000,  5.190310E-2,     5.02027,  6.276814E-2,     8.42590,          NaN,         NaN
    54.0,  5.253724E-2,     5.17115,  5.184932E-2,     5.20165,  6.030566E-2,     8.63232,          NaN,         NaN
    55.0,  5.248874E-2,     5.35162,  5.185245E-2,     5.38226,  5.796670E-2,     8.84660,          NaN,         NaN
    56.0,  5.249145E-2,     5.53114,  5.190544E-2,     5.56184,  5.583686E-2,     9.06923,          NaN,         NaN
    57.0,  5.253733E-2,     5.70950,  5.199973E-2,     5.74017,  5.400863E-2,     9.30030,          NaN,         NaN
    58.0,  5.261720E-2,     5.88651,  5.212573E-2,     5.91710,  5.257637E-2,     9.53927,          NaN,         NaN
    59.0,  5.272115E-2,     6.06204,  5.227320E-2,     6.09250,  5.162854E-2,     9.78481,          NaN,         NaN
    60.0,  5.283900E-2,     6.23600,  5.243173E-2,     6.26628,  5.123777E-2,    10.03475,          NaN,         NaN
    61.0,  5.296069E-2,     6.40833,  5.259112E-2,     6.43840,  5.145078E-2,    10.28624,          NaN,         NaN
    62.0,  5.307660E-2,     6.57900,  5.274169E-2,     6.60886,  5.228124E-2,    10.53614,          NaN,         NaN
    63.0,  5.317788E-2,     6.74805,  5.287458E-2,     6.77768,  5.370817E-2,    10.78148,          NaN,         NaN
    64.0,  5.325667E-2,     6.91550,  5.298197E-2,     6.94491,  5.568028E-2,    11.01993,          NaN,         NaN
    65.0,  5.330626E-2,     7.08143,  5.305725E-2,     7.11064,  5.812444E-2,    11.24996,          NaN,         NaN
    66.0,  5.332123E-2,     7.24591,  5.309510E-2,     7.27495,  6.095539E-2,    11.47088,          NaN,         NaN
    67.0,  5.329752E-2,     7.40905,  5.309160E-2,     7.43795,  6.408412E-2,    11.68265,          NaN,         NaN
    68.0,  5.323245E-2,     7.57096,  5.304421E-2,     7.59975,  6.742382E-2,    11.88569,          NaN,         NaN
    69.0,  5.312475E-2,     7.73174,  5.295179E-2,     7.76047,  7.089341E-2,    12.08069,          NaN,         NaN
    70.0,  5.297446E-2,     7.89153,  5.281453E-2,     7.92025,  7.441921E-2,    12.26843,          NaN,         NaN
    71.0,  5.278293E-2,     8.05045,  5.263391E-2,     8.07921,  7.793534E-2,    12.44973,          NaN,         NaN
    72.0,  5.255271E-2,     8.20861,  5.241262E-2,     8.23748,  8.138353E-2,    12.62535,          NaN,         NaN
    73.0,  5.228746E-2,     8.36615,  5.215443E-2,     8.39519,  8.471257E-2,    12.79600,          NaN,         NaN
    74.0,  5.199181E-2,     8.52319,  5.186410E-2,     8.55246,  8.787771E-2,    12.96231,          NaN,         NaN
    75.0,  5.167131E-2,     8.67984,  5.154729E-2,     8.70940,  9.084008E-2,    13.12482,          NaN,         NaN
    76.0,  5.133222E-2,     8.83621,  5.121037E-2,     8.86615,  9.356620E-2,    13.28401,          NaN,         NaN
    77.0,  5.098145E-2,     8.99242,  5.086036E-2,     9.02280,  9.602752E-2,    13.44031,          NaN,         NaN
    78.0,  5.062638E-2,     9.14856,  5.050473E-2,     9.17945,  9.820008E-2,    13.59408,          NaN,         NaN
    79.0,  5.027475E-2,     9.30471,  5.015134E-2,     9.33620,  1.000643E-1,    13.74563,          NaN,         NaN
    80.0,  4.993451E-2,     9.46097,  4.980822E-2,     9.49312,  1.016045E-1,    13.89525,          NaN,         NaN
