Time_abs/ps, Signal 1/nA, Signal 2/nA
  1600.000,     0.013446,    -0.001187
  1600.050,     0.011797,     0.003842
  1600.100,     0.004173,    -0.001762
  1600.150,    -0.005236,    -0.001077
  1600.200,    -0.024180,     0.000185
  1600.250,     0.018377,    -0.005334
  1600.300,     0.010080,     0.004605
  1600.350,    -0.019433,     0.000072
  1600.400,    -0.022473,    -0.001399
  1600.450,     0.001605,    -0.002140
  1600.500,    -0.020364,     0.003893
  1600.550,    -0.038217,    -0.003993
  1600.600,    -0.024896,     0.002721
  1600.650,    -0.021383,    -0.003531
  1600.700,    -0.033518,    -0.001095
  1600.750,    -0.010503,     0.004918
  1600.800,    -0.014494,     0.002448
  1600.850,    -0.026916,     0.000063
  1600.900,    -0.030481,     0.001791
  1600.950,    -0.053338,     0.001054
  1601.000,    -0.034596,    -0.001558
  1601.050,    -0.037137,     0.005752
  1601.100,    -0.051579,    -0.000481
  1601.150,    -0.035123,    -0.000976
  1601.200,    -0.060968,     0.006830
  1601.250,    -0.050436,    -0.000667
  1601.300,    -0.031151,    -0.001853
  1601.350,    -0.016013,    -0.006583
  1601.400,    -0.029652,    -0.001786
  1601.450,    -0.031127,     0.000033
  1601.500,    -0.045396,    -0.000511
  1601.550,    -0.039255,    -0.004318
  1601.600,    -0.044580,     0.003427
  1601.650,    -0.050811,     0.001137
  1601.700,    -0.049973,     0.002658
  1601.750,    -0.061047,    -0.001585
  1601.800,    -0.060781,    -0.002265
  1601.850,    -0.080718,     0.003325
  1601.900,    -0.072315,    -0.003953
  1601.950,    -0.083611,    -0.000370
  1602.000,    -0.080619,     0.001965
  1602.050,    -0.086637,    -0.010008
  1602.100,    -0.068577,     0.002716
  1602.150,    -0.086908,     0.002193
  1602.200,    -0.086811,     0.003354
  1602.250,    -0.079523,     0.007546
  1602.300,    -0.086933,     0.000709
  1602.350,    -0.085327,    -0.004645
  1602.400,    -0.080531,     0.000802
  1602.450,    -0.066585,     0.001729
  1602.500,    -0.096183,     0.003990
  1602.550,    -0.077446,    -0.005143
  1602.600,    -0.079876,     0.003042
  1602.650,    -0.072720,     0.002643
  1602.700,    -0.077993,     0.002482
  1602.750,    -0.088629,    -0.002309
  1602.800,    -0.090094,     0.004543
  1602.850,    -0.071562,    -0.000826
  1602.900,    -0.060371,    -0.005596
  1602.950,    -0.087142,     0.001774
  1603.000,    -0.071034,    -0.000184
  1603.050,    -0.074281,     0.000697
  1603.100,    -0.066064,    -0.001185
  1603.150,    -0.084501,    -0.000640
  1603.200,    -0.070276,     0.002586
  1603.250,    -0.069264,     0.001959
  1603.300,    -0.071338,     0.003596
