Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,    -0.003924,     0.007615,     0.000162,
  1600.050,     0.003105,    -0.004646,    -0.005115,
  1600.100,    -0.001704,     0.011497,     0.004746,
  1600.150,     0.010133,    -0.005388,    -0.001562,
  1600.200,    -0.007610,    -0.009079,     0.001770,
  1600.250,    -0.004257,    -0.022884,    -0.003808,
  1600.300,    -0.002270,    -0.011605,    -0.000447,
  1600.350,     0.005921,     0.000561,    -0.004704,
  1600.400,    -0.000117,     0.010459,    -0.004772,
  1600.450,    -0.021440,     0.008771,    -0.000770,
  1600.500,    -0.011557,    -0.000034,    -0.002538,
  1600.550,    -0.027777,    -0.009125,     0.001202,
  1600.600,    -0.032741,    -0.021215,     0.001226,
  1600.650,    -0.019224,    -0.028924,     0.000745,
  1600.700,    -0.015732,    -0.024922,     0.000879,
  1600.750,    -0.035941,    -0.033412,    -0.000635,
  1600.800,    -0.012483,    -0.027306,     0.004917,
  1600.850,    -0.021165,    -0.001638,     0.007061,
  1600.900,    -0.017645,    -0.017430,     0.001357,
  1600.950,    -0.021043,    -0.006954,     0.005634,
  1601.000,    -0.030376,    -0.025601,     0.001726,
  1601.050,    -0.037820,    -0.025349,     0.006233,
  1601.100,    -0.021977,    -0.009534,     0.007597,
  1601.150,    -0.030671,    -0.028449,     0.007836,
  1601.200,    -0.047582,    -0.018410,     0.011358,
  1601.250,    -0.032472,    -0.022588,     0.005057,
  1601.300,    -0.030830,    -0.037640,     0.011742,
  1601.350,    -0.018160,    -0.024145,     0.005803,
  1601.400,    -0.031853,    -0.019708,     0.005607,
  1601.450,    -0.030254,    -0.036830,     0.005553,
  1601.500,    -0.033174,    -0.020360,     0.003586,
  1601.550,    -0.053314,    -0.021295,     0.008059,
  1601.600,    -0.048164,    -0.019094,     0.000875,
  1601.650,    -0.063441,    -0.038961,     0.002921,
  1601.700,    -0.062407,    -0.039712,    -0.007736,
  1601.750,    -0.053378,    -0.046448,    -0.002287,
  1601.800,    -0.041670,    -0.049859,     0.003257,
  1601.850,    -0.039775,    -0.056273,     0.000086,
  1601.900,    -0.061056,    -0.066449,    -0.004559,
  1601.950,    -0.064783,    -0.072077,     0.002708,
  1602.000,    -0.073065,    -0.063971,    -0.007849,
  1602.050,    -0.081683,    -0.049452,     0.003758,
  1602.100,    -0.078208,    -0.059367,    -0.006469,
  1602.150,    -0.089512,    -0.063293,    -0.003279,
  1602.200,    -0.093712,    -0.057947,    -0.002337,
  1602.250,    -0.082600,    -0.047525,    -0.000855,
  1602.300,    -0.072422,    -0.066134,    -0.001279,
  1602.350,    -0.095951,    -0.074133,    -0.000311,
  1602.400,    -0.072015,    -0.077379,    -0.010329,
  1602.450,    -0.080500,    -0.060169,     0.001837,
  1602.500,    -0.071153,    -0.080268,     0.001249,
  1602.550,    -0.075098,    -0.067907,    -0.003928,
  1602.600,    -0.075438,    -0.099132,    -0.002878,
  1602.650,    -0.076098,    -0.079462,    -0.003036,
  1602.700,    -0.065481,    -0.061615,     0.002745,
  1602.750,    -0.064199,    -0.055587,    -0.001866,
  1602.800,    -0.064763,    -0.049285,     0.001340,
  1602.850,    -0.076198,    -0.061351,    -0.004841,
  1602.900,    -0.086092,    -0.051576,     0.006254,
  1602.950,    -0.091469,    -0.030425,     0.002987,
  1603.000,    -0.073170,    -0.045516,     0.001658,
  1603.050,    -0.061419,    -0.046597,     0.004507,
  1603.100,    -0.071738,    -0.041525,     0.002497,
  1603.150,    -0.081436,    -0.058770,     0.006547,
  1603.200,    -0.080436,    -0.067038,     0.005258,
  1603.250,    -0.080865,    -0.060943,     0.009087,
  1603.300,    -0.070149,    -0.046130,     0.002479,
  1603.350,    -0.092115,    -0.044856,     0.006679,
  1603.400,    -0.094279,    -0.048941,    -0.001319,
  1603.450,    -0.103549,    -0.057768,     0.002079,
  1603.500,    -0.089895,    -0.061647,     0.007200,
  1603.550,    -0.083463,    -0.072860,     0.007868,
  1603.600,    -0.089964,    -0.050958,     0.001939,
  1603.650,    -0.083472,    -0.058043,    -0.001025,
  1603.700,    -0.110589,    -0.046480,    -0.000194,
  1603.750,    -0.083977,    -0.039911,    -0.000243,
  1603.800,    -0.086696,    -0.055079,    -0.001772,
  1603.850,    -0.084627,    -0.055890,     0.002190,
  1603.900,    -0.088587,    -0.060794,    -0.002699,
  1603.950,    -0.082689,    -0.056321,    -0.003024,
  1604.000,    -0.097992,    -0.053461,    -0.003397,
  1604.050,    -0.103154,    -0.061511,    -0.006091,
  1604.100,    -0.096968,    -0.073083,    -0.000212,
  1604.150,    -0.080603,    -0.058812,     0.001805,
  1604.200,    -0.100644,    -0.056921,    -0.005607,
  1604.250,    -0.096799,    -0.052816,    -0.006689,
  1604.300,    -0.097993,    -0.051204,    -0.000478,
  1604.350,    -0.075031,    -0.050098,    -0.000618,
  1604.400,    -0.082498,    -0.051308,     0.000332,
  1604.450,    -0.097140,    -0.055452,     0.005327,
  1604.500,    -0.089713,    -0.068069,     0.004143,
  1604.550,    -0.070961,    -0.050001,     0.000136,
  1604.600,    -0.080882,    -0.060544,    -0.004981,
  1604.650,    -0.074310,    -0.066102,     0.001284,
  1604.700,    -0.081903,    -0.067510,     0.000609,
  1604.750,    -0.073321,    -0.069713,     0.004585,
  1604.800,    -0.100626,    -0.075049,     0.001477,
  1604.850,    -0.082089,    -0.068252,    -0.001696,
  1604.900,    -0.071661,    -0.068048,    -0.003250,
  1604.950,    -0.073165,    -0.057182,     0.001419,
  1605.000,    -0.076488,    -0.074073,     0.001866,
  1605.050,    -0.089885,    -0.073767,     0.000653,
  1605.100,    -0.082031,    -0.058804,     0.004537,
  1605.150,    -0.092393,    -0.074817,     0.005103,
  1605.200,    -0.069771,    -0.054424,    -0.001661,
  1605.250,    -0.079540,    -0.059604,     0.000160,
  1605.300,    -0.086751,    -0.073760,     0.000233,
  1605.350,    -0.075240,    -0.080658,     0.004545,
  1605.400,    -0.087185,    -0.064059,     0.004069,
  1605.450,    -0.083448,    -0.066206,     0.006542,
  1605.500,    -0.086099,    -0.061892,     0.007621,
  1605.550,    -0.079876,    -0.056416,     0.001372,
  1605.600,    -0.068853,    -0.060449,     0.006107,
  1605.650,    -0.093601,    -0.062375,     0.007759,
  1605.700,    -0.084124,    -0.064690,     0.003905,
