Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.013974,     0.007615,     0.002526,
  1600.050,    -0.000474,    -0.004646,    -0.001814,
  1600.100,    -0.013346,     0.011497,    -0.000127,
  1600.150,     0.007352,    -0.005388,     0.000066,
  1600.200,    -0.007506,    -0.009079,    -0.000651,
  1600.250,    -0.002304,    -0.022884,    -0.001565,
  1600.300,    -0.001985,    -0.011605,    -0.002685,
  1600.350,     0.013976,     0.000561,    -0.007506,
  1600.400,     0.005339,     0.010459,    -0.006886,
  1600.450,     0.004408,     0.008771,    -0.008785,
  1600.500,     0.033890,    -0.000034,    -0.009423,
  1600.550,    -0.011230,    -0.009125,    -0.002579,
  1600.600,     0.003557,    -0.021215,    -0.007766,
  1600.650,    -0.001736,    -0.028924,    -0.009434,
  1600.700,    -0.011364,    -0.024922,    -0.009112,
  1600.750,    -0.011493,    -0.033412,    -0.010840,
  1600.800,     0.000153,    -0.027306,    -0.007332,
  1600.850,    -0.013187,    -0.001638,    -0.009938,
  1600.900,    -0.004465,    -0.017430,    -0.008412,
  1600.950,    -0.016820,    -0.006954,    -0.001541,
  1601.000,    -0.022942,    -0.025601,    -0.010387,
  1601.050,    -0.017996,    -0.025349,    -0.007618,
  1601.100,    -0.015262,    -0.009534,    -0.011098,
  1601.150,    -0.035658,    -0.028449,    -0.001594,
  1601.200,    -0.010169,    -0.018410,    -0.004537,
  1601.250,    -0.025531,    -0.022588,    -0.004087,
  1601.300,    -0.031252,    -0.037640,    -0.003619,
  1601.350,    -0.005866,    -0.024145,    -0.006915,
  1601.400,    -0.020347,    -0.019708,    -0.012180,
  1601.450,    -0.025207,    -0.036830,    -0.001662,
  1601.500,    -0.024139,    -0.020360,     0.005800,
  1601.550,    -0.023087,    -0.021295,     0.000402,
  1601.600,    -0.012415,    -0.019094,     0.001205,
  1601.650,    -0.023376,    -0.038961,     0.001393,
  1601.700,    -0.012554,    -0.039712,     0.008395,
  1601.750,    -0.014464,    -0.046448,     0.001661,
  1601.800,    -0.002137,    -0.049859,    -0.004394,
  1601.850,     0.016211,    -0.056273,    -0.004204,
  1601.900,    -0.031297,    -0.066449,     0.003606,
  1601.950,    -0.013371,    -0.072077,    -0.000755,
  1602.000,    -0.028293,    -0.063971,     0.003268,
  1602.050,    -0.005503,    -0.049452,    -0.002529,
  1602.100,    -0.011175,    -0.059367,    -0.000571,
  1602.150,    -0.028429,    -0.063293,    -0.004890,
  1602.200,    -0.000763,    -0.057947,    -0.005940,
  1602.250,    -0.028885,    -0.047525,    -0.006023,
  1602.300,    -0.014613,    -0.066134,    -0.008369,
  1602.350,    -0.011059,    -0.074133,    -0.006193,
  1602.400,    -0.019115,    -0.077379,    -0.013398,
  1602.450,    -0.022653,    -0.060169,    -0.017142,
  1602.500,    -0.037356,    -0.080268,    -0.005216,
  1602.550,    -0.010279,    -0.067907,    -0.006944,
  1602.600,    -0.012652,    -0.099132,    -0.006698,
  1602.650,    -0.023222,    -0.079462,    -0.012340,
  1602.700,    -0.023901,    -0.061615,    -0.011421,
  1602.750,    -0.044172,    -0.055587,    -0.010165,
  1602.800,    -0.028989,    -0.049285,    -0.012316,
  1602.850,    -0.018252,    -0.061351,    -0.007963,
  1602.900,    -0.021755,    -0.051576,    -0.006095,
  1602.950,    -0.014710,    -0.030425,    -0.010823,
  1603.000,    -0.032525,    -0.045516,    -0.010575,
  1603.050,    -0.048467,    -0.046597,    -0.007168,
  1603.100,    -0.034407,    -0.041525,    -0.005595,
  1603.150,    -0.024200,    -0.058770,    -0.002114,
  1603.200,    -0.027962,    -0.067038,    -0.004127,
  1603.250,    -0.042618,    -0.060943,     0.001540,
  1603.300,    -0.042477,    -0.046130,     0.001413,
  1603.350,    -0.029980,    -0.044856,     0.007547,
  1603.400,    -0.009570,    -0.048941,     0.003565,
  1603.450,    -0.026700,    -0.057768,     0.002385,
  1603.500,    -0.024155,    -0.061647,     0.005975,
  1603.550,    -0.017543,    -0.072860,    -0.003877,
  1603.600,    -0.021772,    -0.050958,     0.002166,
  1603.650,     0.006814,    -0.058043,     0.009317,
  1603.700,    -0.004773,    -0.046480,     0.001697,
  1603.750,    -0.001831,    -0.039911,    -0.000135,
  1603.800,    -0.000539,    -0.055079,     0.007915,
  1603.850,    -0.024765,    -0.055890,     0.002767,
  1603.900,    -0.009432,    -0.060794,     0.002318,
  1603.950,    -0.029700,    -0.056321,     0.004767,
  1604.000,    -0.034743,    -0.053461,    -0.002996,
  1604.050,    -0.021219,    -0.061511,     0.004085,
  1604.100,    -0.030571,    -0.073083,    -0.002044,
  1604.150,    -0.033730,    -0.058812,    -0.002675,
  1604.200,    -0.032806,    -0.056921,    -0.000577,
  1604.250,    -0.033802,    -0.052816,    -0.005162,
  1604.300,    -0.019852,    -0.051204,    -0.007672,
  1604.350,    -0.050502,    -0.050098,    -0.006840,
  1604.400,    -0.053216,    -0.051308,    -0.012234,
  1604.450,    -0.041714,    -0.055452,    -0.011650,
  1604.500,    -0.049201,    -0.068069,    -0.012133,
  1604.550,    -0.027753,    -0.050001,    -0.009004,
  1604.600,    -0.019750,    -0.060544,    -0.009467,
  1604.650,    -0.024902,    -0.066102,    -0.016607,
  1604.700,    -0.039006,    -0.067510,    -0.014990,
  1604.750,    -0.031992,    -0.069713,    -0.015312,
  1604.800,    -0.050783,    -0.075049,    -0.014924,
  1604.850,    -0.043223,    -0.068252,    -0.008185,
  1604.900,    -0.032794,    -0.068048,    -0.020950,
  1604.950,    -0.047993,    -0.057182,    -0.016081,
  1605.000,    -0.028714,    -0.074073,    -0.008371,
  1605.050,    -0.023401,    -0.073767,    -0.014181,
  1605.100,    -0.034007,    -0.058804,    -0.013065,
  1605.150,    -0.037145,    -0.074817,    -0.005402,
  1605.200,    -0.045280,    -0.054424,    -0.008681,
  1605.250,    -0.031313,    -0.059604,    -0.014450,
  1605.300,    -0.030508,    -0.073760,    -0.007385,
  1605.350,    -0.037885,    -0.080658,    -0.007289,
  1605.400,    -0.036052,    -0.064059,    -0.003701,
  1605.450,    -0.031275,    -0.066206,     0.003968,
  1605.500,    -0.016062,    -0.061892,    -0.000371,
  1605.550,    -0.009777,    -0.056416,    -0.000417,
  1605.600,    -0.016680,    -0.060449,     0.002725,
  1605.650,    -0.015131,    -0.062375,     0.003927,
  1605.700,    -0.026630,    -0.064690,    -0.001253,
  1605.750,    -0.011836,    -0.067201,     0.002073,
  1605.800,    -0.012596,    -0.053317,     0.006282,
  1605.850,    -0.008849,    -0.075328,     0.007914,
  1605.900,    -0.001800,    -0.081720,     0.007174,
  1605.950,    -0.013953,    -0.084957,     0.007755,
  1606.000,     0.003332,    -0.063255,     0.009403,
  1606.050,    -0.006109,    -0.061329,     0.010145,
  1606.100,    -0.014291,    -0.043735,     0.010297,
  1606.150,     0.005590,    -0.050841,     0.006126,
  1606.200,    -0.007976,    -0.062682,     0.006060,
  1606.250,    -0.008736,    -0.048538,     0.001532,
  1606.300,    -0.000290,    -0.051206,    -0.003891,
  1606.350,    -0.000496,    -0.056931,     0.004441,
  1606.400,    -0.008628,    -0.061721,     0.000697,
