Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.352226E-3,    -3.14159,  6.818399E-3,    -3.14159,  9.784168E-3,    -3.14159,          NaN,         NaN
     1.0,  6.861169E-3,    -2.80598,  1.373429E-2,    -2.98700,  2.014780E-2,    -3.25391,          NaN,         NaN
     2.0,  7.308666E-3,    -2.48913,  1.402566E-2,    -2.83319,  2.178282E-2,    -3.34021,          NaN,         NaN
     3.0,  7.991397E-3,    -2.20155,  1.450766E-2,    -2.68085,  2.423115E-2,    -3.38805,          NaN,         NaN
     4.0,  8.844871E-3,    -1.94464,  1.517504E-2,    -2.53044,  2.723124E-2,    -3.39815,          NaN,         NaN
     5.0,  9.811995E-3,    -1.71466,  1.602076E-2,    -2.38219,  3.056854E-2,    -3.37709,          NaN,         NaN
     6.0,  1.084804E-2,    -1.50636,  1.703619E-2,    -2.23611,  3.408541E-2,    -3.33209,          NaN,         NaN
     7.0,  1.191955E-2,    -1.31490,  1.821129E-2,    -2.09207,  3.766923E-2,    -3.26913,          NaN,         NaN
     8.0,  1.300154E-2,    -1.13632,  1.953476E-2,    -1.94980,  4.123849E-2,    -3.19270,          NaN,         NaN
     9.0,  1.407508E-2,    -0.96758,  2.099413E-2,    -1.80900,  4.473257E-2,    -3.10604,          NaN,         NaN
    10.0,  1.512545E-2,    -0.80638,  2.257591E-2,    -1.66936,  4.810487E-2,    -3.01152,          NaN,         NaN
    11.0,  1.614088E-2,    -0.65098,  2.426565E-2,    -1.53059,  5.131863E-2,    -2.91082,          NaN,         NaN
    12.0,  1.711175E-2,    -0.50006,  2.604807E-2,    -1.39242,  5.434421E-2,    -2.80519,          NaN,         NaN
    13.0,  1.803009E-2,    -0.35258,  2.790721E-2,    -1.25462,  5.715748E-2,    -2.69557,          NaN,         NaN
    14.0,  1.888915E-2,    -0.20774,  2.982657E-2,    -1.11699,  5.973872E-2,    -2.58263,          NaN,         NaN
    15.0,  1.968327E-2,    -0.06491,  3.178923E-2,    -0.97936,  6.207192E-2,    -2.46692,          NaN,         NaN
    16.0,  2.040768E-2,     0.07644,  3.377806E-2,    -0.84160,  6.414436E-2,    -2.34881,          NaN,         NaN
    17.0,  2.105841E-2,     0.21675,  3.577586E-2,    -0.70358,  6.594625E-2,    -2.22864,          NaN,         NaN
    18.0,  2.163225E-2,     0.35639,  3.776558E-2,    -0.56519,  6.747054E-2,    -2.10662,          NaN,         NaN
    19.0,  2.212669E-2,     0.49567,  3.973047E-2,    -0.42636,  6.871270E-2,    -1.98294,          NaN,         NaN
    20.0,  2.253994E-2,     0.63489,  4.165423E-2,    -0.28700,  6.967065E-2,    -1.85773,          NaN,         NaN
    21.0,  2.287089E-2,     0.77431,  4.352127E-2,    -0.14704,  7.034459E-2,    -1.73110,          NaN,         NaN
    22.0,  2.311910E-2,     0.91417,  4.531678E-2,    -0.00640,  7.073690E-2,    -1.60311,          NaN,         NaN
    23.0,  2.328487E-2,     1.05471,  4.702698E-2,     0.13498,  7.085207E-2,    -1.47381,          NaN,         NaN
    24.0,  2.336918E-2,     1.19615,  4.863921E-2,     0.27717,  7.069657E-2,    -1.34321,          NaN,         NaN
    25.0,  2.337374E-2,     1.33872,  5.014212E-2,     0.42023,  7.027876E-2,    -1.21132,          NaN,         NaN
    26.0,  2.330101E-2,     1.48266,  5.152575E-2,     0.56423,  6.960877E-2,    -1.07810,          NaN,         NaN
    27.0,  2.315419E-2,     1.62820,  5.278171E-2,     0.70924,  6.869846E-2,    -0.94352,          NaN,         NaN
    28.0,  2.293726E-2,     1.77559,  5.390324E-2,     0.85533,  6.756125E-2,    -0.80752,          NaN,         NaN
    29.0,  2.265501E-2,     1.92509,  5.488532E-2,     1.00257,  6.621207E-2,    -0.67001,          NaN,         NaN
    30.0,  2.231303E-2,     2.07698,  5.572471E-2,     1.15105,  6.466726E-2,    -0.53087,          NaN,         NaN
    31.0,  2.191776E-2,     2.23155,  5.642005E-2,     1.30083,  6.294449E-2,    -0.38998,          NaN,         NaN
    32.0,  2.147647E-2,     2.38910,  5.697186E-2,     1.45201,  6.106268E-2,    -0.24717,          NaN,         NaN
    33.0,  2.099732E-2,     2.54994,  5.738254E-2,     1.60467,  5.904193E-2,    -0.10225,          NaN,         NaN
    34.0,  2.048931E-2,     2.71439,  5.765640E-2,     1.75889,  5.690351E-2,     0.04502,          NaN,         NaN
    35.0,  1.996230E-2,     2.88278,  5.779958E-2,     1.91476,  5.466983E-2,     0.19490,          NaN,         NaN
    36.0,  1.942690E-2,     3.05540,  5.782002E-2,     2.07236,  5.236442E-2,     0.34771,          NaN,         NaN
    37.0,  1.889448E-2,     3.23251,  5.772735E-2,     2.23177,  5.001196E-2,     0.50380,          NaN,         NaN
    38.0,  1.837688E-2,     3.41432,  5.753276E-2,     2.39307,  4.763833E-2,     0.66357,          NaN,         NaN
    39.0,  1.788630E-2,     3.60091,  5.724885E-2,     2.55631,  4.527068E-2,     0.82749,          NaN,         NaN
    40.0,  1.743488E-2,     3.79227,  5.688944E-2,     2.72154,  4.293741E-2,     0.99601,          NaN,         NaN
    41.0,  1.703428E-2,     3.98818,  5.646930E-2,     2.88879,  4.066825E-2,     1.16966,          NaN,         NaN
    42.0,  1.669515E-2,     4.18826,  5.600388E-2,     3.05806,  3.849410E-2,     1.34891,          NaN,         NaN
    43.0,  1.642649E-2,     4.39189,  5.550903E-2,     3.22933,  3.644678E-2,     1.53417,          NaN,         NaN
    44.0,  1.623509E-2,     4.59827,  5.500054E-2,     3.40255,  3.455842E-2,     1.72573,          NaN,         NaN
    45.0,  1.612498E-2,     4.80644,  5.449384E-2,     3.57761,  3.286048E-2,     1.92361,          NaN,         NaN
    46.0,  1.609712E-2,     5.01535,  5.400352E-2,     3.75439,  3.138219E-2,     2.12751,          NaN,         NaN
    47.0,  1.614929E-2,     5.22397,  5.354293E-2,     3.93270,  3.014849E-2,     2.33667,          NaN,         NaN
    48.0,  1.627636E-2,     5.43132,  5.312378E-2,     4.11232,  2.917756E-2,     2.54985,          NaN,         NaN
    49.0,  1.647070E-2,     5.63660,  5.275573E-2,     4.29300,  2.847852E-2,     2.76532,          NaN,         NaN
    50.0,  1.672280E-2,     5.83920,  5.244614E-2,     4.47445,  2.804969E-2,     2.98105,          NaN,         NaN
    51.0,  1.702194E-2,     6.03874,  5.219982E-2,     4.65636,  2.787818E-2,     3.19489,          NaN,         NaN
    52.0,  1.735689E-2,     6.23501,  5.201896E-2,     4.83841,  2.794097E-2,     3.40485,          NaN,         NaN
    53.0,  1.771643E-2,     6.42801,  5.190310E-2,     5.02027,  2.820726E-2,     3.60931,          NaN,         NaN
    54.0,  1.808983E-2,     6.61787,  5.184932E-2,     5.20165,  2.864159E-2,     3.80713,          NaN,         NaN
    55.0,  1.846713E-2,     6.80482,  5.185245E-2,     5.38226,  2.920686E-2,     3.99766,          NaN,         NaN
    56.0,  1.883944E-2,     6.98915,  5.190544E-2,     5.56184,  2.986683E-2,     4.18068,          NaN,         NaN
    57.0,  1.919898E-2,     7.17123,  5.199973E-2,     5.74017,  3.058784E-2,     4.35632,          NaN,         NaN
    58.0,  1.953922E-2,     7.35142,  5.212573E-2,     5.91710,  3.133980E-2,     4.52491,          NaN,         NaN
    59.0,  1.985485E-2,     7.53009,  5.227320E-2,     6.09250,  3.209648E-2,     4.68693,          NaN,         NaN
    60.0,  2.014183E-2,     7.70763,  5.243173E-2,     6.26628,  3.283552E-2,     4.84290,          NaN,         NaN
    61.0,  2.039731E-2,     7.88438,  5.259112E-2,     6.43840,  3.353810E-2,     4.99338,          NaN,         NaN
    62.0,  2.061960E-2,     8.06071,  5.274169E-2,     6.60886,  3.418852E-2,     5.13889,          NaN,         NaN
    63.0,  2.080818E-2,     8.23695,  5.287458E-2,     6.77768,  3.477376E-2,     5.27994,          NaN,         NaN
    64.0,  2.096355E-2,     8.41339,  5.298197E-2,     6.94491,  3.528303E-2,     5.41697,          NaN,         NaN
    65.0,  2.108728E-2,     8.59033,  5.305725E-2,     7.11064,  3.570740E-2,     5.55042,          NaN,         NaN
    66.0,  2.118185E-2,     8.76802,  5.309510E-2,     7.27495,  3.603939E-2,     5.68066,          NaN,         NaN
    67.0,  2.125062E-2,     8.94670,  5.309160E-2,     7.43795,  3.627271E-2,     5.80804,          NaN,         NaN
    68.0,  2.129775E-2,     9.12657,  5.304421E-2,     7.59975,  3.640196E-2,     5.93286,          NaN,         NaN
    69.0,  2.132804E-2,     9.30779,  5.295179E-2,     7.76047,  3.642246E-2,     6.05540,          NaN,         NaN
    70.0,  2.134688E-2,     9.49049,  5.281453E-2,     7.92025,  3.633004E-2,     6.17592,          NaN,         NaN
    71.0,  2.136004E-2,     9.67474,  5.263391E-2,     8.07921,  3.612094E-2,     6.29464,          NaN,         NaN
    72.0,  2.137354E-2,     9.86059,  5.241262E-2,     8.23748,  3.579170E-2,     6.41178,          NaN,         NaN
    73.0,  2.139347E-2,    10.04801,  5.215443E-2,     8.39519,  3.533914E-2,     6.52752,          NaN,         NaN
    74.0,  2.142577E-2,    10.23693,  5.186410E-2,     8.55246,  3.476031E-2,     6.64203,          NaN,         NaN
    75.0,  2.147603E-2,    10.42723,  5.154729E-2,     8.70940,  3.405250E-2,     6.75548,          NaN,         NaN
    76.0,  2.154929E-2,    10.61874,  5.121037E-2,     8.86615,  3.321328E-2,     6.86800,          NaN,         NaN
    77.0,  2.164982E-2,    10.81124,  5.086036E-2,     9.02280,  3.224058E-2,     6.97971,          NaN,         NaN
    78.0,  2.178099E-2,    11.00448,  5.050473E-2,     9.17945,  3.113275E-2,     7.09073,          NaN,         NaN
    79.0,  2.194511E-2,    11.19820,  5.015134E-2,     9.33620,  2.988866E-2,     7.20114,          NaN,         NaN
    80.0,  2.214334E-2,    11.39212,  4.980822E-2,     9.49312,  2.850781E-2,     7.31104,          NaN,         NaN
    81.0,  2.237569E-2,    11.58597,  4.948352E-2,     9.65028,  2.699046E-2,     7.42049,          NaN,         NaN
    82.0,  2.264106E-2,    11.77950,  4.918530E-2,     9.80773,  2.533775E-2,     7.52952,          NaN,         NaN
    83.0,  2.293728E-2,    11.97250,  4.892144E-2,     9.96552,  2.355182E-2,     7.63817,          NaN,         NaN
    84.0,  2.326127E-2,    12.16479,  4.869952E-2,    10.12366,  2.163593E-2,     7.74643,          NaN,         NaN
    85.0,  2.360921E-2,    12.35625,  4.852664E-2,    10.28217,  1.959458E-2,     7.85425,          NaN,         NaN
    86.0,  2.397670E-2,    12.54678,  4.840936E-2,    10.44103,  1.743362E-2,     7.96153,          NaN,         NaN
    87.0,  2.435898E-2,    12.73636,  4.835356E-2,    10.60022,  1.516033E-2,     8.06806,          NaN,         NaN
    88.0,  2.475113E-2,    12.92499,  4.836437E-2,    10.75971,  1.278353E-2,     8.17341,          NaN,         NaN
    89.0,  2.514821E-2,    13.11273,  4.844606E-2,    10.91945,  1.031366E-2,     8.27670,          NaN,         NaN
    90.0,  2.554547E-2,    13.29965,  4.860199E-2,    11.07938,  7.762905E-3,     8.37581,          NaN,         NaN
    91.0,  2.593848E-2,    13.48588,  4.883456E-2,    11.23945,  5.145773E-3,     8.46416,          NaN,         NaN
    92.0,  2.632328E-2,    13.67154,  4.914519E-2,    11.39958,  2.482921E-3,     8.50649,          NaN,         NaN
    93.0,  2.669647E-2,    13.85679,  4.953433E-2,    11.55973,  4.049060E-4,     6.51516,          NaN,         NaN
    94.0,  2.705529E-2,    14.04180,  5.000144E-2,    11.71984,  2.993997E-3,     5.82005,          NaN,         NaN
    95.0,  2.739771E-2,    14.22672,  5.054507E-2,    11.87985,  5.713998E-3,     5.87835,          NaN,         NaN
    96.0,  2.772248E-2,    14.41173,  5.116291E-2,    12.03973,  8.418132E-3,     5.96965,          NaN,         NaN
    97.0,  2.802914E-2,    14.59700,  5.185183E-2,    12.19945,  1.108094E-2,     6.06974,          NaN,         NaN
    98.0,  2.831805E-2,    14.78268,  5.260803E-2,    12.35899,  1.367911E-2,     6.17336,          NaN,         NaN
    99.0,  2.859036E-2,    14.96892,  5.342708E-2,    12.51837,  1.618920E-2,     6.27866,          NaN,         NaN
   100.0,  2.884802E-2,    15.15587,  5.430404E-2,    12.67758,  1.858746E-2,     6.38481,          NaN,         NaN
   101.0,  2.909370E-2,    15.34363,  5.523360E-2,    12.83665,  2.084996E-2,     6.49133,          NaN,         NaN
   102.0,  2.933073E-2,    15.53231,  5.621017E-2,    12.99562,  2.295286E-2,     6.59792,          NaN,         NaN
   103.0,  2.956302E-2,    15.72197,  5.722798E-2,    13.15454,  2.487263E-2,     6.70434,          NaN,         NaN
   104.0,  2.979493E-2,    15.91266,  5.828122E-2,    13.31346,  2.658638E-2,     6.81039,          NaN,         NaN
   105.0,  3.003114E-2,    16.10439,  5.936416E-2,    13.47243,  2.807217E-2,     6.91587,          NaN,         NaN
