Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1600.000,     0.004599,     0.007615,    -0.003299,
  1600.050,    -0.004353,    -0.004646,    -0.003337,
  1600.100,    -0.007071,     0.011497,    -0.001630,
  1600.150,    -0.006927,    -0.005388,     0.005828,
  1600.200,     0.013752,    -0.009079,     0.002438,
  1600.250,     0.012124,    -0.022884,     0.005095,
  1600.300,    -0.005823,    -0.011605,    -0.000247,
  1600.350,    -0.002464,     0.000561,     0.006460,
  1600.400,     0.021123,     0.010459,     0.006918,
  1600.450,     0.008246,     0.008771,     0.007756,
  1600.500,    -0.001395,    -0.000034,     0.006331,
  1600.550,     0.001565,    -0.009125,     0.008262,
  1600.600,    -0.000349,    -0.021215,     0.005255,
  1600.650,     0.010547,    -0.028924,     0.004714,
  1600.700,     0.003935,    -0.024922,     0.007230,
  1600.750,    -0.016042,    -0.033412,     0.008126,
  1600.800,    -0.007088,    -0.027306,     0.004981,
  1600.850,    -0.009291,    -0.001638,    -0.000924,
  1600.900,    -0.013804,    -0.017430,     0.010176,
  1600.950,    -0.020463,    -0.006954,    -0.004148,
  1601.000,    -0.023416,    -0.025601,     0.000183,
  1601.050,    -0.015309,    -0.025349,    -0.001367,
  1601.100,    -0.043835,    -0.009534,    -0.001536,
  1601.150,    -0.042231,    -0.028449,    -0.004789,
  1601.200,    -0.033944,    -0.018410,    -0.000056,
  1601.250,    -0.036027,    -0.022588,    -0.001561,
  1601.300,    -0.030310,    -0.037640,    -0.013208,
  1601.350,    -0.049355,    -0.024145,    -0.006542,
  1601.400,    -0.043168,    -0.019708,    -0.002998,
  1601.450,    -0.062843,    -0.036830,     0.001105,
  1601.500,    -0.045701,    -0.020360,    -0.004239,
  1601.550,    -0.024946,    -0.021295,     0.001301,
  1601.600,    -0.039560,    -0.019094,    -0.004883,
  1601.650,    -0.052929,    -0.038961,     0.004336,
  1601.700,    -0.060967,    -0.039712,    -0.000112,
  1601.750,    -0.051923,    -0.046448,     0.005498,
  1601.800,    -0.046097,    -0.049859,     0.004127,
  1601.850,    -0.052782,    -0.056273,     0.006506,
  1601.900,    -0.052141,    -0.066449,     0.000699,
  1601.950,    -0.046881,    -0.072077,     0.005112,
  1602.000,    -0.058615,    -0.063971,     0.006403,
  1602.050,    -0.091003,    -0.049452,     0.001861,
  1602.100,    -0.051183,    -0.059367,     0.002169,
  1602.150,    -0.077388,    -0.063293,     0.010800,
  1602.200,    -0.061683,    -0.057947,     0.010235,
  1602.250,    -0.044506,    -0.047525,     0.007256,
  1602.300,    -0.070736,    -0.066134,     0.010480,
  1602.350,    -0.068812,    -0.074133,     0.005414,
  1602.400,    -0.053778,    -0.077379,     0.011722,
  1602.450,    -0.071426,    -0.060169,    -0.000937,
  1602.500,    -0.074191,    -0.080268,     0.002683,
  1602.550,    -0.078449,    -0.067907,     0.003827,
  1602.600,    -0.075574,    -0.099132,    -0.001836,
  1602.650,    -0.053059,    -0.079462,    -0.000324,
  1602.700,    -0.065878,    -0.061615,    -0.001049,
  1602.750,    -0.052439,    -0.055587,     0.000008,
  1602.800,    -0.060613,    -0.049285,    -0.003493,
  1602.850,    -0.087810,    -0.061351,    -0.005635,
  1602.900,    -0.053811,    -0.051576,    -0.005123,
  1602.950,    -0.061926,    -0.030425,    -0.003845,
  1603.000,    -0.067241,    -0.045516,    -0.003768,
  1603.050,    -0.062174,    -0.046597,    -0.009270,
  1603.100,    -0.069575,    -0.041525,    -0.005020,
  1603.150,    -0.054549,    -0.058770,    -0.003291,
  1603.200,    -0.063687,    -0.067038,    -0.004729,
  1603.250,    -0.088535,    -0.060943,    -0.000060,
  1603.300,    -0.058166,    -0.046130,    -0.003941,
  1603.350,    -0.060169,    -0.044856,    -0.007685,
  1603.400,    -0.052839,    -0.048941,    -0.003079,
  1603.450,    -0.065072,    -0.057768,     0.001589,
  1603.500,    -0.069916,    -0.061647,     0.003970,
  1603.550,    -0.067764,    -0.072860,     0.005523,
  1603.600,    -0.061309,    -0.050958,     0.004332,
  1603.650,    -0.057126,    -0.058043,     0.010177,
  1603.700,    -0.070386,    -0.046480,     0.004663,
  1603.750,    -0.061167,    -0.039911,     0.006988,
  1603.800,    -0.055552,    -0.055079,     0.006015,
  1603.850,    -0.069430,    -0.055890,     0.007015,
  1603.900,    -0.054210,    -0.060794,     0.007220,
  1603.950,    -0.053586,    -0.056321,     0.006856,
  1604.000,    -0.064819,    -0.053461,     0.010481,
  1604.050,    -0.068001,    -0.061511,     0.009129,
  1604.100,    -0.065532,    -0.073083,     0.005182,
  1604.150,    -0.074199,    -0.058812,     0.009279,
  1604.200,    -0.088292,    -0.056921,     0.010767,
  1604.250,    -0.061759,    -0.052816,     0.010680,
  1604.300,    -0.060626,    -0.051204,     0.010557,
  1604.350,    -0.067274,    -0.050098,     0.005908,
  1604.400,    -0.069207,    -0.051308,     0.004282,
  1604.450,    -0.062166,    -0.055452,     0.002272,
  1604.500,    -0.057817,    -0.068069,     0.004398,
  1604.550,    -0.056835,    -0.050001,     0.002555,
  1604.600,    -0.054482,    -0.060544,     0.002056,
  1604.650,    -0.055890,    -0.066102,     0.001604,
  1604.700,    -0.062274,    -0.067510,    -0.000592,
  1604.750,    -0.058731,    -0.069713,    -0.006668,
  1604.800,    -0.062808,    -0.075049,    -0.004731,
  1604.850,    -0.064929,    -0.068252,    -0.002535,
  1604.900,    -0.059975,    -0.068048,    -0.005657,
  1604.950,    -0.073613,    -0.057182,    -0.008343,
  1605.000,    -0.069658,    -0.074073,    -0.003231,
  1605.050,    -0.069582,    -0.073767,     0.000883,
  1605.100,    -0.061849,    -0.058804,     0.003923,
  1605.150,    -0.047956,    -0.074817,    -0.004643,
  1605.200,    -0.056288,    -0.054424,    -0.005475,
  1605.250,    -0.049593,    -0.059604,    -0.000889,
  1605.300,    -0.059606,    -0.073760,    -0.002361,
  1605.350,    -0.043401,    -0.080658,    -0.001204,
  1605.400,    -0.048274,    -0.064059,    -0.001983,
  1605.450,    -0.069720,    -0.066206,    -0.001021,
  1605.500,    -0.052597,    -0.061892,     0.002737,
  1605.550,    -0.070603,    -0.056416,     0.007260,
  1605.600,    -0.052617,    -0.060449,     0.009496,
  1605.650,    -0.064532,    -0.062375,     0.005019,
  1605.700,    -0.080591,    -0.064690,    -0.001309,
  1605.750,    -0.076116,    -0.067201,     0.000550,
  1605.800,    -0.086393,    -0.053317,     0.002900,
  1605.850,    -0.069084,    -0.075328,     0.003686,
  1605.900,    -0.050241,    -0.081720,     0.003359,
  1605.950,    -0.075854,    -0.084957,     0.004352,
  1606.000,    -0.089021,    -0.063255,     0.006676,
  1606.050,    -0.081798,    -0.061329,     0.006937,
  1606.100,    -0.086550,    -0.043735,     0.006837,
  1606.150,    -0.077479,    -0.050841,     0.008436,
  1606.200,    -0.071891,    -0.062682,     0.008727,
  1606.250,    -0.062245,    -0.048538,     0.007804,
  1606.300,    -0.061736,    -0.051206,     0.008504,
  1606.350,    -0.058941,    -0.056931,     0.005360,
  1606.400,    -0.069196,    -0.061721,     0.007568,
  1606.450,    -0.079466,    -0.077838,     0.000733,
  1606.500,    -0.054900,    -0.075351,     0.000073,
  1606.550,    -0.059495,    -0.045355,     0.004516,
  1606.600,    -0.065000,    -0.075436,     0.003318,
  1606.650,    -0.055105,    -0.075216,    -0.002582,
  1606.700,    -0.056616,    -0.067222,     0.007302,
  1606.750,    -0.093192,    -0.063340,     0.006068,
  1606.800,    -0.078443,    -0.069187,     0.000611,
  1606.850,    -0.066756,    -0.065506,    -0.002260,
  1606.900,    -0.082241,    -0.051772,     0.001932,
  1606.950,    -0.073908,    -0.049198,     0.002120,
  1607.000,    -0.054489,    -0.044549,    -0.002575,
  1607.050,    -0.060729,    -0.057717,    -0.002297,
  1607.100,    -0.064576,    -0.057853,    -0.001833,
  1607.150,    -0.062425,    -0.075347,    -0.005030,
  1607.200,    -0.064787,    -0.075670,     0.000731,
  1607.250,    -0.063170,    -0.067853,     0.001850,
  1607.300,    -0.065169,    -0.065862,    -0.005501,
  1607.350,    -0.063787,    -0.091792,    -0.005315,
  1607.400,    -0.088831,    -0.095613,    -0.005622,
  1607.450,    -0.094365,    -0.089350,    -0.007288,
  1607.500,    -0.095168,    -0.075400,    -0.007251,
  1607.550,    -0.092468,    -0.104859,    -0.001617,
  1607.600,    -0.097284,    -0.098777,    -0.004689,
  1607.650,    -0.117560,    -0.092790,     0.005049,
  1607.700,    -0.109769,    -0.102410,     0.002044,
  1607.750,    -0.113677,    -0.103796,     0.002082,
  1607.800,    -0.137738,    -0.101278,     0.001824,
  1607.850,    -0.133925,    -0.124529,     0.002429,
  1607.900,    -0.152753,    -0.136633,     0.006068,
  1607.950,    -0.156651,    -0.124998,     0.003741,
  1608.000,    -0.160491,    -0.137278,     0.005862,
  1608.050,    -0.156067,    -0.131250,     0.007523,
  1608.100,    -0.133980,    -0.141260,     0.001232,
  1608.150,    -0.137591,    -0.161652,    -0.001991,
  1608.200,    -0.149485,    -0.162870,     0.005077,
  1608.250,    -0.128411,    -0.156415,     0.005547,
  1608.300,    -0.123326,    -0.147483,     0.005897,
  1608.350,    -0.139210,    -0.147606,     0.004453,
  1608.400,    -0.125311,    -0.157783,     0.007718,
  1608.450,    -0.103496,    -0.149063,     0.002216,
  1608.500,    -0.116473,    -0.130967,     0.001348,
  1608.550,    -0.120371,    -0.132564,     0.007919,
  1608.600,    -0.095534,    -0.131408,     0.004167,
  1608.650,    -0.112387,    -0.119437,     0.006924,
  1608.700,    -0.106857,    -0.132012,     0.009787,
  1608.750,    -0.077529,    -0.130531,     0.006729,
  1608.800,    -0.083596,    -0.127366,     0.006148,
  1608.850,    -0.084858,    -0.114349,     0.008093,
  1608.900,    -0.093078,    -0.118084,     0.008508,
  1608.950,    -0.099253,    -0.108535,     0.003741,
  1609.000,    -0.095345,    -0.122791,     0.007585,
  1609.050,    -0.076091,    -0.112637,     0.003507,
  1609.100,    -0.052840,    -0.100752,     0.000655,
  1609.150,    -0.077995,    -0.101737,     0.004712,
  1609.200,    -0.071190,    -0.083625,     0.002270,
  1609.250,    -0.069383,    -0.090299,     0.001059,
  1609.300,    -0.059510,    -0.092264,    -0.000129,
  1609.350,    -0.060158,    -0.063074,    -0.003931,
  1609.400,    -0.076189,    -0.072413,    -0.004053,
  1609.450,    -0.068519,    -0.097468,    -0.004403,
  1609.500,    -0.043019,    -0.062004,    -0.005544,
  1609.550,    -0.047480,    -0.074665,    -0.006422,
  1609.600,    -0.057137,    -0.082541,    -0.001270,
  1609.650,    -0.063743,    -0.095405,    -0.002642,
  1609.700,    -0.067002,    -0.072481,    -0.005574,
  1609.750,    -0.065129,    -0.073364,    -0.009383,
  1609.800,    -0.063116,    -0.048757,    -0.007790,
  1609.850,    -0.064059,    -0.050317,    -0.005166,
  1609.900,    -0.077494,    -0.050132,    -0.008966,
  1609.950,    -0.084538,    -0.052159,    -0.002160,
  1610.000,    -0.107213,    -0.076507,     0.000001,
  1610.050,    -0.109951,    -0.090168,    -0.002067,
  1610.100,    -0.107381,    -0.092489,    -0.000067,
  1610.150,    -0.114109,    -0.092585,     0.001014,
  1610.200,    -0.131056,    -0.087222,     0.000556,
  1610.250,    -0.118028,    -0.102442,     0.000518,
  1610.300,    -0.095920,    -0.110517,     0.003385,
  1610.350,    -0.129375,    -0.117500,     0.008023,
  1610.400,    -0.132765,    -0.123959,     0.001555,
  1610.450,    -0.135702,    -0.132789,     0.001106,
  1610.500,    -0.119344,    -0.137259,     0.007711,
  1610.550,    -0.121780,    -0.141640,     0.007559,
  1610.600,    -0.151099,    -0.131035,     0.009297,
  1610.650,    -0.148582,    -0.137492,     0.007547,
  1610.700,    -0.135648,    -0.131505,     0.003149,
  1610.750,    -0.163794,    -0.161033,     0.006158,
  1610.800,    -0.163981,    -0.172221,     0.006042,
  1610.850,    -0.157078,    -0.194941,     0.009826,
  1610.900,    -0.169759,    -0.172747,     0.005817,
  1610.950,    -0.178784,    -0.179672,     0.006401,
  1611.000,    -0.196258,    -0.196484,     0.006138,
  1611.050,    -0.198724,    -0.217035,     0.009040,
  1611.100,    -0.195642,    -0.213329,     0.011697,
  1611.150,    -0.200209,    -0.239635,     0.007696,
  1611.200,    -0.189080,    -0.240099,     0.005084,
  1611.250,    -0.176796,    -0.215287,     0.002418,
  1611.300,    -0.185560,    -0.217257,     0.000194,
  1611.350,    -0.196089,    -0.223915,     0.001396,
  1611.400,    -0.186217,    -0.225158,     0.000313,
  1611.450,    -0.178295,    -0.227445,     0.000561,
  1611.500,    -0.177633,    -0.219021,     0.000942,
  1611.550,    -0.188474,    -0.196926,    -0.003695,
  1611.600,    -0.191262,    -0.221091,    -0.004731,
  1611.650,    -0.182058,    -0.212736,    -0.000251,
  1611.700,    -0.188881,    -0.199161,    -0.001792,
  1611.750,    -0.182498,    -0.192209,    -0.006107,
  1611.800,    -0.195703,    -0.199529,    -0.006460,
  1611.850,    -0.204320,    -0.174264,    -0.006913,
  1611.900,    -0.204596,    -0.168421,    -0.001275,
  1611.950,    -0.189301,    -0.185613,    -0.003065,
  1612.000,    -0.197262,    -0.193127,    -0.005656,
  1612.050,    -0.198900,    -0.202004,     0.000339,
  1612.100,    -0.190417,    -0.203686,    -0.005967,
  1612.150,    -0.190668,    -0.192196,    -0.008495,
  1612.200,    -0.202938,    -0.228909,    -0.007518,
  1612.250,    -0.181063,    -0.217702,    -0.006173,
  1612.300,    -0.188921,    -0.218946,    -0.003960,
  1612.350,    -0.194350,    -0.226065,     0.002696,
  1612.400,    -0.189632,    -0.209106,     0.003654,
  1612.450,    -0.200449,    -0.219318,    -0.000770,
  1612.500,    -0.203127,    -0.206316,    -0.002764,
  1612.550,    -0.189871,    -0.213026,    -0.003382,
  1612.600,    -0.215143,    -0.230964,     0.003698,
  1612.650,    -0.225966,    -0.237960,     0.004402,
  1612.700,    -0.219626,    -0.240506,    -0.000150,
  1612.750,    -0.235119,    -0.236160,     0.004387,
  1612.800,    -0.237163,    -0.233167,     0.005141,
  1612.850,    -0.226503,    -0.256656,     0.002750,
  1612.900,    -0.197931,    -0.239617,     0.008251,
  1612.950,    -0.232859,    -0.245471,     0.009207,
  1613.000,    -0.229301,    -0.262886,     0.012508,
  1613.050,    -0.219453,    -0.251333,     0.007345,
  1613.100,    -0.227721,    -0.256567,     0.012189,
  1613.150,    -0.236242,    -0.244889,     0.010352,
  1613.200,    -0.240707,    -0.267568,     0.009657,
  1613.250,    -0.230064,    -0.263436,     0.008155,
  1613.300,    -0.235911,    -0.261406,     0.009654,
  1613.350,    -0.244163,    -0.262316,     0.007778,
  1613.400,    -0.258665,    -0.263597,     0.003581,
  1613.450,    -0.260352,    -0.263895,     0.004922,
  1613.500,    -0.259582,    -0.253962,     0.006095,
  1613.550,    -0.255387,    -0.267384,     0.004419,
  1613.600,    -0.271823,    -0.282852,     0.003052,
  1613.650,    -0.295813,    -0.294390,     0.007048,
  1613.700,    -0.300130,    -0.269291,     0.003711,
  1613.750,    -0.294847,    -0.296063,     0.006439,
  1613.800,    -0.290516,    -0.295676,     0.002229,
  1613.850,    -0.296074,    -0.290447,    -0.001331,
  1613.900,    -0.296233,    -0.308364,     0.002324,
  1613.950,    -0.316074,    -0.311033,     0.001678,
  1614.000,    -0.320102,    -0.298176,    -0.005976,
  1614.050,    -0.310164,    -0.320096,    -0.001050,
  1614.100,    -0.320107,    -0.327092,    -0.005112,
  1614.150,    -0.328186,    -0.336267,    -0.003674,
  1614.200,    -0.327007,    -0.347295,    -0.000215,
  1614.250,    -0.340294,    -0.345886,    -0.009022,
  1614.300,    -0.326637,    -0.330335,    -0.005124,
  1614.350,    -0.326521,    -0.335595,     0.004073,
  1614.400,    -0.314315,    -0.326397,     0.001367,
  1614.450,    -0.319570,    -0.335081,    -0.002450,
  1614.500,    -0.324950,    -0.341281,    -0.002460,
  1614.550,    -0.323997,    -0.341916,     0.002865,
  1614.600,    -0.330817,    -0.342900,     0.004539,
  1614.650,    -0.327748,    -0.342125,    -0.003322,
  1614.700,    -0.321995,    -0.318097,    -0.002536,
  1614.750,    -0.330445,    -0.315540,     0.000368,
  1614.800,    -0.330058,    -0.298863,     0.002201,
  1614.850,    -0.339941,    -0.298416,     0.003604,
  1614.900,    -0.351787,    -0.312369,     0.001187,
  1614.950,    -0.344905,    -0.298750,    -0.002919,
  1615.000,    -0.345359,    -0.299329,    -0.000799,
  1615.050,    -0.363638,    -0.316875,     0.000226,
  1615.100,    -0.372753,    -0.339941,    -0.003057,
  1615.150,    -0.388947,    -0.354372,    -0.003696,
  1615.200,    -0.400849,    -0.349586,     0.000590,
  1615.250,    -0.412636,    -0.375272,    -0.001757,
  1615.300,    -0.411261,    -0.391255,    -0.001939,
  1615.350,    -0.396427,    -0.412063,     0.001318,
  1615.400,    -0.414456,    -0.422098,     0.003219,
  1615.450,    -0.419689,    -0.408363,     0.006415,
  1615.500,    -0.392259,    -0.404922,     0.002901,
  1615.550,    -0.417744,    -0.411461,     0.007097,
  1615.600,    -0.432455,    -0.401083,     0.010561,
  1615.650,    -0.430262,    -0.408784,     0.004996,
  1615.700,    -0.434797,    -0.415894,     0.001297,
  1615.750,    -0.437052,    -0.406058,     0.004031,
  1615.800,    -0.431670,    -0.429032,     0.004159,
  1615.850,    -0.468069,    -0.454615,     0.003360,
  1615.900,    -0.466543,    -0.455064,     0.001604,
  1615.950,    -0.459293,    -0.455368,     0.000712,
  1616.000,    -0.458534,    -0.466990,     0.001800,
  1616.050,    -0.465256,    -0.474880,     0.006234,
  1616.100,    -0.471372,    -0.480263,     0.008326,
  1616.150,    -0.470734,    -0.480738,     0.001974,
  1616.200,    -0.470313,    -0.476577,     0.000754,
  1616.250,    -0.501854,    -0.483261,     0.002727,
  1616.300,    -0.492557,    -0.490949,    -0.001639,
  1616.350,    -0.491338,    -0.490765,     0.002970,
  1616.400,    -0.497833,    -0.495713,     0.002916,
  1616.450,    -0.494794,    -0.492477,    -0.000455,
  1616.500,    -0.502154,    -0.503176,     0.003145,
  1616.550,    -0.512052,    -0.526755,     0.004121,
  1616.600,    -0.518075,    -0.506274,     0.000767,
  1616.650,    -0.495726,    -0.492097,    -0.002752,
  1616.700,    -0.506657,    -0.494707,     0.000699,
  1616.750,    -0.508614,    -0.491688,    -0.001805,
  1616.800,    -0.508878,    -0.491173,    -0.001037,
  1616.850,    -0.496683,    -0.493725,     0.007188,
  1616.900,    -0.489522,    -0.487156,     0.002827,
  1616.950,    -0.498973,    -0.489569,    -0.001729,
  1617.000,    -0.485066,    -0.506868,     0.002629,
  1617.050,    -0.484029,    -0.487291,     0.001688,
  1617.100,    -0.466747,    -0.474220,    -0.002161,
  1617.150,    -0.468804,    -0.483483,     0.002271,
  1617.200,    -0.470313,    -0.473541,     0.007325,
  1617.250,    -0.473174,    -0.474562,     0.006186,
  1617.300,    -0.459287,    -0.456456,     0.004478,
  1617.350,    -0.438674,    -0.446705,     0.003095,
  1617.400,    -0.427426,    -0.459078,    -0.001200,
  1617.450,    -0.424853,    -0.445847,     0.002581,
  1617.500,    -0.422741,    -0.438835,     0.004873,
  1617.550,    -0.391729,    -0.433537,     0.004435,
  1617.600,    -0.392421,    -0.436497,     0.002604,
  1617.650,    -0.375722,    -0.418269,     0.001675,
  1617.700,    -0.363417,    -0.416141,     0.002724,
  1617.750,    -0.339917,    -0.407228,     0.008000,
  1617.800,    -0.317714,    -0.401720,     0.004679,
  1617.850,    -0.293780,    -0.380863,     0.001497,
  1617.900,    -0.248418,    -0.371745,     0.000273,
  1617.950,    -0.208957,    -0.338327,     0.000314,
  1618.000,    -0.157817,    -0.281234,     0.005123,
  1618.050,    -0.104290,    -0.232384,     0.009979,
