Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,     0.820365,     0.001477
  1610.050,     0.353390,    -0.006184
  1610.100,    -0.032358,    -0.005028
  1610.150,    -0.453217,    -0.000899
  1610.200,    -0.688180,     0.010633
  1610.250,    -0.783278,     0.016416
  1610.300,    -0.699119,     0.018980
  1610.350,    -0.466944,     0.026213
  1610.400,    -0.122784,     0.022645
  1610.450,     0.234584,     0.028672
  1610.500,     0.593785,     0.015084
  1610.550,     0.922409,     0.013979
  1610.600,     1.198712,     0.003064
  1610.650,     1.357431,    -0.001827
  1610.700,     1.504407,    -0.001016
  1610.750,     1.528780,     0.003679
  1610.800,     1.558632,     0.000805
  1610.850,     1.507332,     0.013539
  1610.900,     1.483599,     0.004646
  1610.950,     1.392105,     0.008701
  1611.000,     1.317061,     0.021772
  1611.050,     1.279076,     0.024106
  1611.100,     1.244414,     0.019197
  1611.150,     1.211295,     0.021103
  1611.200,     1.192305,     0.009514
  1611.250,     1.158582,     0.018832
  1611.300,     1.143815,     0.002302
  1611.350,     1.069765,     0.000968
  1611.400,     1.045848,     0.002813
  1611.450,     0.982132,    -0.009834
  1611.500,     0.976629,    -0.013401
  1611.550,     0.929383,    -0.001299
  1611.600,     0.907700,     0.015306
  1611.650,     0.897081,     0.007542
  1611.700,     0.870589,     0.011832
  1611.750,     0.900207,     0.017034
  1611.800,     0.872356,     0.030826
  1611.850,     0.868989,     0.025618
  1611.900,     0.924095,     0.013334
  1611.950,     0.875895,     0.013446
  1612.000,     0.880025,     0.010534
  1612.050,     0.903571,    -0.000002
  1612.100,     0.919799,    -0.004157
  1612.150,     0.883277,    -0.001933
  1612.200,     0.844308,     0.005450
  1612.250,     0.832540,    -0.006872
  1612.300,     0.835464,    -0.003618
  1612.350,     0.887731,    -0.002643
  1612.400,     0.826643,     0.010624
  1612.450,     0.862027,     0.003216
  1612.500,     0.803352,     0.016700
  1612.550,     0.800034,     0.008071
  1612.600,     0.751140,     0.026556
  1612.650,     0.672182,     0.024973
  1612.700,     0.600860,     0.024976
  1612.750,     0.484878,     0.025390
  1612.800,     0.366746,     0.010300
  1612.850,     0.274971,     0.008087
  1612.900,     0.227725,    -0.000640
  1612.950,     0.284235,    -0.006574
  1613.000,     0.381759,    -0.010598
  1613.050,     0.490308,    -0.014781
  1613.100,     0.639799,    -0.004776
  1613.150,     0.698402,    -0.007572
  1613.200,     0.769302,     0.003702
  1613.250,     0.815498,     0.005774
  1613.300,     0.780290,     0.013709
  1613.350,     0.736159,     0.006717
  1613.400,     0.691990,     0.021001
  1613.450,     0.594863,     0.022190
  1613.500,     0.487183,     0.030605
  1613.550,     0.390877,     0.015620
  1613.600,     0.326577,     0.020501
  1613.650,     0.280262,     0.010352
  1613.700,     0.293913,     0.005871
  1613.750,     0.244410,    -0.002284
  1613.800,     0.252393,    -0.007326
  1613.850,     0.307947,    -0.006286
  1613.900,     0.300328,    -0.004455
  1613.950,     0.344261,     0.001163
  1614.000,     0.374295,    -0.005697
  1614.050,     0.418714,    -0.006270
  1614.100,     0.479675,    -0.002359
  1614.150,     0.509695,     0.007975
  1614.200,     0.605785,     0.010619
  1614.250,     0.709766,     0.019862
