Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  5.629420E-3,    -3.14159,          NaN,         NaN,  1.546856E-3,    -3.14159,          NaN,         NaN
     1.0,  1.687715E-2,    -3.83124,          NaN,         NaN,  7.520929E-3,    -1.83892,          NaN,         NaN
     2.0,  2.733532E-2,    -3.98650,          NaN,         NaN,  1.394287E-2,    -1.48317,          NaN,         NaN
     3.0,  3.846257E-2,    -3.96400,          NaN,         NaN,  2.034426E-2,    -1.25704,          NaN,         NaN
     4.0,  4.926454E-2,    -3.88146,          NaN,         NaN,  2.646532E-2,    -1.06728,          NaN,         NaN
     5.0,  5.933486E-2,    -3.77333,          NaN,         NaN,  3.217145E-2,    -0.89327,          NaN,         NaN
     6.0,  6.842079E-2,    -3.65276,          NaN,         NaN,  3.735872E-2,    -0.72815,          NaN,         NaN
     7.0,  7.633841E-2,    -3.52588,          NaN,         NaN,  4.194077E-2,    -0.56923,          NaN,         NaN
     8.0,  8.295129E-2,    -3.39608,          NaN,         NaN,  4.584711E-2,    -0.41544,          NaN,         NaN
     9.0,  8.816473E-2,    -3.26552,          NaN,         NaN,  4.902414E-2,    -0.26650,          NaN,         NaN
    10.0,  9.192439E-2,    -3.13576,          NaN,         NaN,  5.143702E-2,    -0.12265,          NaN,         NaN
    11.0,  9.421615E-2,    -3.00813,          NaN,         NaN,  5.307215E-2,     0.01554,          NaN,         NaN
    12.0,  9.506622E-2,    -2.88385,          NaN,         NaN,  5.393998E-2,     0.14715,          NaN,         NaN
    13.0,  9.454113E-2,    -2.76419,          NaN,         NaN,  5.407853E-2,     0.27092,          NaN,         NaN
    14.0,  9.274770E-2,    -2.65059,          NaN,         NaN,  5.355747E-2,     0.38523,          NaN,         NaN
    15.0,  8.983327E-2,    -2.54468,          NaN,         NaN,  5.248313E-2,     0.48811,          NaN,         NaN
    16.0,  8.598642E-2,    -2.44842,          NaN,         NaN,  5.100407E-2,     0.57727,          NaN,         NaN
    17.0,  8.143859E-2,    -2.36415,          NaN,         NaN,  4.931604E-2,     0.65036,          NaN,         NaN
    18.0,  7.646645E-2,    -2.29458,          NaN,         NaN,  4.766324E-2,     0.70550,          NaN,         NaN
    19.0,  7.139394E-2,    -2.24264,          NaN,         NaN,  4.632959E-2,     0.74221,          NaN,         NaN
    20.0,  6.659010E-2,    -2.21095,          NaN,         NaN,  4.561125E-2,     0.76270,          NaN,         NaN
    21.0,  6.245452E-2,    -2.20083,          NaN,         NaN,  4.576591E-2,     0.77265,          NaN,         NaN
    22.0,  5.937788E-2,    -2.21076,          NaN,         NaN,  4.695089E-2,     0.78062,          NaN,         NaN
    23.0,  5.767046E-2,    -2.23498,          NaN,         NaN,  4.918117E-2,     0.79572,          NaN,         NaN
    24.0,  5.747635E-2,    -2.26387,          NaN,         NaN,  5.233330E-2,     0.82483,          NaN,         NaN
    25.0,  5.872317E-2,    -2.28664,          NaN,         NaN,  5.618930E-2,     0.87134,          NaN,         NaN
    26.0,  6.114813E-2,    -2.29496,          NaN,         NaN,  6.049056E-2,     0.93557,          NaN,         NaN
    27.0,  6.438310E-2,    -2.28481,          NaN,         NaN,  6.497827E-2,     1.01590,          NaN,         NaN
    28.0,  6.804310E-2,    -2.25593,          NaN,         NaN,  6.941529E-2,     1.10994,          NaN,         NaN
    29.0,  7.178166E-2,    -2.21033,          NaN,         NaN,  7.359482E-2,     1.21517,          NaN,         NaN
    30.0,  7.531189E-2,    -2.15084,          NaN,         NaN,  7.734217E-2,     1.32927,          NaN,         NaN
    31.0,  7.840746E-2,    -2.08038,          NaN,         NaN,  8.051414E-2,     1.45022,          NaN,         NaN
    32.0,  8.089567E-2,    -2.00161,          NaN,         NaN,  8.299761E-2,     1.57629,          NaN,         NaN
    33.0,  8.264948E-2,    -1.91684,          NaN,         NaN,  8.470841E-2,     1.70598,          NaN,         NaN
    34.0,  8.358105E-2,    -1.82811,          NaN,         NaN,  8.559033E-2,     1.83801,          NaN,         NaN
    35.0,  8.363741E-2,    -1.73727,          NaN,         NaN,  8.561433E-2,     1.97119,          NaN,         NaN
    36.0,  8.279841E-2,    -1.64611,          NaN,         NaN,  8.477781E-2,     2.10443,          NaN,         NaN
    37.0,  8.107668E-2,    -1.55647,          NaN,         NaN,  8.310372E-2,     2.23667,          NaN,         NaN
    38.0,  7.851960E-2,    -1.47037,          NaN,         NaN,  8.063951E-2,     2.36680,          NaN,         NaN
    39.0,  7.521337E-2,    -1.39016,          NaN,         NaN,  7.745583E-2,     2.49367,          NaN,         NaN
    40.0,  7.128934E-2,    -1.31864,          NaN,         NaN,  7.364491E-2,     2.61601,          NaN,         NaN
    41.0,  6.693290E-2,    -1.25922,          NaN,         NaN,  6.931866E-2,     2.73238,          NaN,         NaN
    42.0,  6.239439E-2,    -1.21584,          NaN,         NaN,  6.460642E-2,     2.84112,          NaN,         NaN
    43.0,  5.799893E-2,    -1.19261,          NaN,         NaN,  5.965232E-2,     2.94036,          NaN,         NaN
    44.0,  5.414602E-2,    -1.19266,          NaN,         NaN,  5.461206E-2,     3.02796,          NaN,         NaN
    45.0,  5.127914E-2,    -1.21589,          NaN,         NaN,  4.964865E-2,     3.10160,          NaN,         NaN
    46.0,  4.980184E-2,    -1.25635,          NaN,         NaN,  4.492647E-2,     3.15898,          NaN,         NaN
    47.0,  4.994697E-2,    -1.30164,          NaN,         NaN,  4.060221E-2,     3.19816,          NaN,         NaN
    48.0,  5.167245E-2,    -1.33688,          NaN,         NaN,  3.681152E-2,     3.21824,          NaN,         NaN
    49.0,  5.467133E-2,    -1.35085,          NaN,         NaN,  3.365131E-2,     3.22005,          NaN,         NaN
    50.0,  5.848539E-2,    -1.33896,          NaN,         NaN,  3.116131E-2,     3.20656,          NaN,         NaN
    51.0,  6.262894E-2,    -1.30209,          NaN,         NaN,  2.931387E-2,     3.18249,          NaN,         NaN
    52.0,  6.666242E-2,    -1.24385,          NaN,         NaN,  2.802241E-2,     3.15292,          NaN,         NaN
    53.0,  7.021816E-2,    -1.16860,          NaN,         NaN,  2.717064E-2,     3.12158,          NaN,         NaN
    54.0,  7.300201E-2,    -1.08049,          NaN,         NaN,  2.665264E-2,     3.08996,          NaN,         NaN
    55.0,  7.478788E-2,    -0.98317,          NaN,         NaN,  2.640789E-2,     3.05756,          NaN,         NaN
    56.0,  7.541263E-2,    -0.87990,          NaN,         NaN,  2.644003E-2,     3.02321,          NaN,         NaN
    57.0,  7.477332E-2,    -0.77373,          NaN,         NaN,  2.681474E-2,     2.98675,          NaN,         NaN
    58.0,  7.282749E-2,    -0.66777,          NaN,         NaN,  2.763624E-2,     2.95038,          NaN,         NaN
    59.0,  6.959652E-2,    -0.56554,          NaN,         NaN,  2.900715E-2,     2.91891,          NaN,         NaN
    60.0,  6.517355E-2,    -0.47146,          NaN,         NaN,  3.098568E-2,     2.89856,          NaN,         NaN
    61.0,  5.973901E-2,    -0.39159,          NaN,         NaN,  3.355860E-2,     2.89481,          NaN,         NaN
    62.0,  5.359021E-2,    -0.33471,          NaN,         NaN,  3.663959E-2,     2.91084,          NaN,         NaN
    63.0,  4.719666E-2,    -0.31365,          NaN,         NaN,  4.008688E-2,     2.94720,          NaN,         NaN
    64.0,  4.129045E-2,    -0.34530,          NaN,         NaN,  4.372639E-2,     3.00252,          NaN,         NaN
    65.0,  3.694788E-2,    -0.44357,          NaN,         NaN,  4.737126E-2,     3.07440,          NaN,         NaN
    66.0,  3.542009E-2,    -0.59674,          NaN,         NaN,  5.083533E-2,     3.16006,          NaN,         NaN
    67.0,  3.740796E-2,    -0.75123,          NaN,         NaN,  5.394176E-2,     3.25680,          NaN,         NaN
    68.0,  4.244803E-2,    -0.85151,          NaN,         NaN,  5.652905E-2,     3.36210,          NaN,         NaN
    69.0,  4.938917E-2,    -0.88316,          NaN,         NaN,  5.845556E-2,     3.47362,          NaN,         NaN
    70.0,  5.714067E-2,    -0.85927,          NaN,         NaN,  5.960358E-2,     3.58921,          NaN,         NaN
    71.0,  6.490162E-2,    -0.79684,          NaN,         NaN,  5.988324E-2,     3.70674,          NaN,         NaN
    72.0,  7.210774E-2,    -0.70897,          NaN,         NaN,  5.923674E-2,     3.82395,          NaN,         NaN
    73.0,  7.835189E-2,    -0.60461,          NaN,         NaN,  5.764316E-2,     3.93831,          NaN,         NaN
    74.0,  8.333489E-2,    -0.48992,          NaN,         NaN,  5.512479E-2,     4.04665,          NaN,         NaN
    75.0,  8.684120E-2,    -0.36937,          NaN,         NaN,  5.175637E-2,     4.14481,          NaN,         NaN
    76.0,  8.872898E-2,    -0.24653,          NaN,         NaN,  4.768013E-2,     4.22698,          NaN,         NaN
    77.0,  8.892834E-2,    -0.12458,          NaN,         NaN,  4.313170E-2,     4.28482,          NaN,         NaN
