Time_abs/ps, Signal 1/nA, Signal 2/nA
  1610.000,    -0.016889,    -0.002905
  1610.050,    -0.008634,     0.003707
  1610.100,     0.020302,     0.006673
  1610.150,     0.006944,    -0.004698
  1610.200,    -0.001723,    -0.002777
  1610.250,    -0.006180,    -0.004786
  1610.300,    -0.031205,    -0.006993
  1610.350,    -0.016350,    -0.018787
  1610.400,    -0.031894,    -0.013436
  1610.450,    -0.050029,    -0.011012
  1610.500,     0.011679,    -0.010747
  1610.550,     0.019763,    -0.007735
  1610.600,     0.012537,     0.000314
  1610.650,     0.010453,     0.006568
  1610.700,    -0.004368,     0.010534
  1610.750,    -0.014579,     0.008073
  1610.800,    -0.004436,     0.001041
  1610.850,     0.010833,     0.003313
  1610.900,    -0.001246,    -0.003757
  1610.950,    -0.020003,    -0.005997
  1611.000,    -0.018307,    -0.003233
  1611.050,    -0.034799,    -0.007187
  1611.100,    -0.038505,    -0.007930
  1611.150,    -0.047368,    -0.019941
  1611.200,    -0.063761,    -0.008744
  1611.250,    -0.020158,    -0.016997
  1611.300,    -0.053398,     0.007294
  1611.350,    -0.048429,    -0.001850
  1611.400,    -0.046137,     0.012028
  1611.450,    -0.059739,     0.007237
  1611.500,    -0.048675,    -0.004458
  1611.550,    -0.013463,    -0.000031
  1611.600,    -0.055359,    -0.004002
  1611.650,    -0.065330,    -0.000745
  1611.700,    -0.057222,    -0.012210
  1611.750,    -0.056037,    -0.018288
  1611.800,    -0.061131,    -0.013157
  1611.850,    -0.039292,    -0.017609
  1611.900,    -0.069719,    -0.006598
  1611.950,    -0.082702,    -0.001371
  1612.000,    -0.063774,    -0.005297
  1612.050,    -0.047119,    -0.020438
  1612.100,    -0.054079,    -0.000303
  1612.150,    -0.022944,    -0.004045
  1612.200,    -0.048160,     0.007891
  1612.250,    -0.088671,     0.006023
  1612.300,    -0.027324,     0.006494
  1612.350,    -0.035482,     0.008453
  1612.400,    -0.059233,     0.003902
  1612.450,    -0.021119,    -0.005610
  1612.500,    -0.031450,    -0.005764
  1612.550,    -0.064091,    -0.012328
  1612.600,    -0.057243,     0.000209
  1612.650,    -0.064481,    -0.015731
  1612.700,    -0.070108,    -0.010623
  1612.750,    -0.095309,    -0.012645
  1612.800,    -0.030613,    -0.009801
  1612.850,    -0.067023,    -0.010758
  1612.900,    -0.062259,    -0.014981
  1612.950,    -0.042224,    -0.002378
  1613.000,    -0.036137,     0.002195
  1613.050,    -0.001857,     0.002295
  1613.100,    -0.058018,     0.013044
  1613.150,    -0.026724,     0.009776
  1613.200,    -0.022735,     0.003972
  1613.250,    -0.002742,    -0.002807
  1613.300,    -0.011617,    -0.008763
  1613.350,    -0.011202,    -0.001562
  1613.400,     0.030293,    -0.016060
  1613.450,     0.049143,    -0.009701
  1613.500,     0.029360,    -0.005851
  1613.550,     0.086050,    -0.021395
  1613.600,     0.064723,    -0.012544
  1613.650,     0.097563,    -0.003892
  1613.700,     0.152087,    -0.017647
  1613.750,     0.179534,    -0.008789
  1613.800,     0.186843,    -0.006438
  1613.850,     0.259870,     0.001096
  1613.900,     0.271002,     0.006028
  1613.950,     0.300573,     0.005713
  1614.000,     0.348964,     0.005395
  1614.050,     0.337660,     0.001681
  1614.100,     0.282063,     0.015591
  1614.150,     0.170346,     0.008473
  1614.200,    -0.036187,     0.011056
  1614.250,    -0.263898,    -0.007278
  1614.300,    -0.556309,    -0.008606
  1614.350,    -0.877983,    -0.007235
  1614.400,    -1.130839,    -0.017919
  1614.450,    -1.353452,    -0.006036
  1614.500,    -1.512357,    -0.007828
  1614.550,    -1.494093,    -0.014824
  1614.600,    -1.384660,    -0.017296
  1614.650,    -1.172329,    -0.013784
  1614.700,    -0.920063,    -0.005423
  1614.750,    -0.663155,    -0.004045
  1614.800,    -0.378150,    -0.000949
  1614.850,    -0.199283,     0.000679
  1614.900,     0.002886,     0.007457
  1614.950,     0.090054,     0.010019
  1615.000,     0.163680,     0.012916
  1615.050,     0.180370,     0.000390
