Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.741965E-4,    -0.00000,          NaN,         NaN,  1.031349E-3,    -3.14159,          NaN,         NaN
     1.0,  8.914768E-3,     1.66879,          NaN,         NaN,  2.819038E-3,    -2.22293,          NaN,         NaN
     2.0,  1.762509E-2,     1.89227,          NaN,         NaN,  4.342207E-3,    -1.72840,          NaN,         NaN
     3.0,  2.603423E-2,     2.08765,          NaN,         NaN,  6.039636E-3,    -1.41314,          NaN,         NaN
     4.0,  3.398642E-2,     2.27564,          NaN,         NaN,  7.745958E-3,    -1.16526,          NaN,         NaN
     5.0,  4.134144E-2,     2.46026,          NaN,         NaN,  9.398163E-3,    -0.94800,          NaN,         NaN
     6.0,  4.797227E-2,     2.64274,          NaN,         NaN,  1.095979E-2,    -0.74696,          NaN,         NaN
     7.0,  5.376696E-2,     2.82346,          NaN,         NaN,  1.240377E-2,    -0.55551,          NaN,         NaN
     8.0,  5.863087E-2,     3.00248,          NaN,         NaN,  1.370752E-2,    -0.37028,          NaN,         NaN
     9.0,  6.248873E-2,     3.17966,          NaN,         NaN,  1.485149E-2,    -0.18940,          NaN,         NaN
    10.0,  6.528646E-2,     3.35473,          NaN,         NaN,  1.581864E-2,    -0.01184,          NaN,         NaN
    11.0,  6.699271E-2,     3.52727,          NaN,         NaN,  1.659458E-2,     0.16297,          NaN,         NaN
    12.0,  6.760024E-2,     3.69674,          NaN,         NaN,  1.716779E-2,     0.33527,          NaN,         NaN
    13.0,  6.712702E-2,     3.86236,          NaN,         NaN,  1.752993E-2,     0.50503,          NaN,         NaN
    14.0,  6.561744E-2,     4.02313,          NaN,         NaN,  1.767632E-2,     0.67204,          NaN,         NaN
    15.0,  6.314362E-2,     4.17764,          NaN,         NaN,  1.760636E-2,     0.83586,          NaN,         NaN
    16.0,  5.980756E-2,     4.32396,          NaN,         NaN,  1.732404E-2,     0.99581,          NaN,         NaN
    17.0,  5.574458E-2,     4.45942,          NaN,         NaN,  1.683850E-2,     1.15093,          NaN,         NaN
    18.0,  5.112945E-2,     4.58023,          NaN,         NaN,  1.616469E-2,     1.29986,          NaN,         NaN
    19.0,  4.618697E-2,     4.68105,          NaN,         NaN,  1.532421E-2,     1.44077,          NaN,         NaN
    20.0,  4.120894E-2,     4.75469,          NaN,         NaN,  1.434656E-2,     1.57115,          NaN,         NaN
    21.0,  3.657658E-2,     4.79238,          NaN,         NaN,  1.327077E-2,     1.68762,          NaN,         NaN
    22.0,  3.277319E-2,     4.78665,          NaN,         NaN,  1.214788E-2,     1.78575,          NaN,         NaN
